ciudad,mes,week::multi-filter,category::multi-filter,subcategoria,microsegment,GMV ALL,%_GMV SD/ALL,%_GMV SDMS/ALL,Orders ALL,PEN_orders ALL,%_orders SD/ALL,%_orders SDMS/ALL,Users ALL,PEN_users ALL,%_users SD/ALL,%_users SDMS/ALL,SPEND ALL,SPEND SD,SPEND SDMS,AOV ALL,AOV SD,AOV SDMS,ARPU ALL,ARPU SD,Contribution ARPU by SD,ARPU SDMS,Contribution ARPU by SDMS,SD_GMV,SD_DISCOUNT,SD DISCOUNT_OVER_GMV,SDMS_GMV,SDMS_DISCOUNT,SDMS DISCOUNT_OVER_GMV
VCP,2022-07-01 00:00,28,Descartáveis,Utensílios,,138.05927835051546,0,0,28,2.1021021021021,0,0,27,2.51162790697674,0,0,5.113306605574647,,,4.930688512518409,,,0.128427235674898,0,0,0,0,,,,,,
GDL,2022-07-01 00:00,29,Lácteos & Huevos,Cremas,other,2243.0026055237104,8.590737403010277,8.590737403010277,122,3.51483722270239,0.4033419763756841,0.4033419763756841,107,4.15533980582524,0.5436893203883492,0.5436893203883492,20.962641173118786,13.763604555944315,13.763604555944315,18.385267258391067,13.763604555944315,13.763604555944315,0.871068973018917,0.07483124807115352,8.590737403010268,0.07483124807115352,8.590737403010268,192.69046378322042,15.41219,7.998418654147274,192.69046378322042,15.41219,7.998418654147274
GDL,2022-07-01 00:00,26,Lácteos & Huevos,Mantequillas,other,68.24648254299115,17.913182911464894,17.913182911464894,8,1.15440115440115,0.14430014430014376,0.14430014430014376,8,1.17302052785924,0.146627565982405,0.146627565982405,8.530810317873893,12.225117248566962,12.225117248566962,8.530810317873893,12.225117248566962,12.225117248566962,0.100068156221395,0.017925391860068897,17.91318291146487,0.017925391860068897,17.91318291146487,12.225117248566962,0.97759,7.9965695225916456,12.225117248566962,0.97759,7.9965695225916456
GDL,2022-07-01 00:00,27,Lácteos & Huevos,Leches,other,3701.572570038959,3.701527856805049,3.701527856805049,387,11.233671988389,2.0319303338171317,2.0319303338171317,356,13.8306138306138,2.7195027195027133,2.7195027195027133,10.397675758536401,1.9573534259978094,1.9573534259978091,9.564787002684648,1.9573534259978094,1.9573534259978091,1.43806238152252,0.05323027965028995,3.701527856805033,0.05323027965028995,3.701527856805033,137.01473981984665,9.26524,6.76222135821472,137.01473981984665,9.26524,6.76222135821472
PBC,2022-07-01 00:00,28,Aseo e Higiene,Desinfectantes & Sanitizantes,,46.823345492443984,0,0,1,0.03000300030003,0,0,1,0.0404858299595142,0,0,46.823345492443984,,,46.823345492443984,,,0.0189568200374267,0,0,0,0,,,,,,
PBC,2022-07-01 00:00,31,Aseo e Higiene,Papel & Toallas,other,28.23425662404297,36.866801067635876,36.866801067635876,11,20.7547169811321,7.547169811320763,7.547169811320763,11,21.1538461538462,7.692307692307709,7.692307692307709,2.5667506021857247,2.6022668056279312,2.6022668056279312,2.5667506021857247,2.6022668056279312,2.6022668056279312,0.542966473539288,0.20017436966368746,36.86680106763595,0.20017436966368746,36.86680106763595,10.409067222511725,0.90984,8.74084085106383,10.409067222511725,0.90984,8.74084085106383
MDE,2022-07-01 00:00,27,Lácteos & Huevos,Huevos,other,8272.159333333333,8.608393181337014,8.608393181337014,495,20.0974421437272,1.827040194884291,1.827040194884291,419,24.6180963572268,2.6439482961222103,2.6439482961222103,19.74262370723946,15.824444444444445,15.824444444444444,16.711432996632997,15.824444444444445,15.824444444444444,4.86025812769291,0.41839012925969465,8.608393181337016,0.4183901292596946,8.608393181337016,712.1,64.089,9.0,712.1,64.089,9.0
GDL,2022-07-01 00:00,27,Aseo e Higiene,Implementos de Aseo,,113.26524231370506,0,0,35,1.01596516690856,0,0,35,1.35975135975136,0,0,3.236149780391573,,,3.236149780391573,,,0.0440035906424651,0,0,0,0,,,,,,
CWB,2022-07-01 00:00,27,Bebidas,Cervejas,other,10747.98797250859,17.974594142050723,17.974594142050723,240,9.23076923076923,2.4230769230769225,2.4230769230769225,219,13.6109384711001,3.91547545059044,3.91547545059044,49.07757065072416,30.665193912616594,30.665193912616594,44.7832832187858,30.665193912616594,30.665193912616594,6.67991794438073,1.2006881395244569,17.97459414205077,1.2006881395244569,17.97459414205077,1931.9072164948454,150.24742,7.777155068171509,1931.9072164948454,150.24742,7.777155068171509
PBC,2022-07-01 00:00,30,Desechables,Bolsas,other,279.50807712350183,49.97091592464987,49.97091592464987,66,2.7511463109629,1.6256773655689865,1.6256773655689865,64,3.30237358101135,2.0123839009287914,2.0123839009287914,4.367313705054716,3.581352467230529,3.581352467230529,4.234970865507603,3.581352467230529,3.581352467230529,0.144225013995615,0.07207056048606324,49.970915924649844,0.07207056048606324,49.970915924649844,139.67274622199062,9.7457,6.977524437380611,139.67274622199062,9.7457,6.977524437380611
