region_code,offer_id,customer_segment_id_test,customer_segment_id_control,discount,start_date,end_date,value_discount,card_id,name
BAQ,560691,442083,442038,20231101_BAQ_corrientazo_piloto_NB_aguas_W44,2023-11-01,2023-11-30,10.0,"[412377, 465809]","['Agua Cristalina 24und x 300 ml', 'Agua Cielo x 1000 ml']"
BAQ,560692,442953,442658,20231101_BAQ_corrientazo_piloto_NB_papelytoallas_W44,2023-11-01,2023-11-30,12.0,"[141513, 296559, 438274]","['Servilletas cortadas Mia x 200 und ', 'Papel higienico Rosal G x 1 und', 'Servilleta cortada Nube x 300 und']"
BAQ,560693,443338,442793,20231101_BAQ_fritos_piloto_NB_harinasymezclas_W44,2023-11-01,2023-11-30,6.0,"[-200869, 25524, 207250]","['Harina Haz de Oros x 500gr', 'Harina De Trigo Tradicional La Nieve x 500gr', 'Harina Blanca Doñarepa x 1kg']"
BAQ,560694,442094,442049,20231101_BAQ_corrientazo_piloto_NB_detergentejabonylavalozas_W44,2023-11-01,2023-11-30,17.0,"[419412, 419413, 443634, 419411]","['Lavaloza en crema limón Moppy x 500 gr', 'Lavaloza en crema limón Moppy x 1000 gr', 'Detergente en Polvo Multiusos Floral Moppy x 1Kg', 'Lavaloza en crema limón Moppy x 3000 gr']"
BAQ,560695,442086,442041,20231101_BAQ_corrientazo_piloto_NB_azucaryendulzantes_W44,2023-11-01,2023-11-30,5.0,"[67822, 446362]","['Azúcar en Bulto Nacional x 50kg', 'Panela cuadrada Oromiel x 480gr']"
BAQ,560696,442098,442653,20231101_BAQ_corrientazo_piloto_NB_granos_W44,2023-11-01,2023-11-30,10.0,"[465812, 183321, 465810]","['Lenteja Algran x 500gr', 'Frijol Zaragoza Naoli de 500gr', 'Frijol zaragoza Algran x 500gr']"
BAQ,560697,442085,442040,20231101_BAQ_corrientazo_piloto_NB_arroz_W44,2023-11-01,2023-11-30,6.0,"[399349, 331819]","['Arroz Roa 25und x 500gr', 'Arroz Naoli Bulto x 22,5Kg']"
BAQ,560698,442099,442654,20231101_BAQ_corrientazo_piloto_NB_harinasymezclas_W44,2023-11-01,2023-11-30,4.0,"[207250, -200869, 25524]","['Harina Blanca Doñarepa x 1kg', 'Harina Haz de Oros x 500gr', 'Harina De Trigo Tradicional La Nieve x 500gr']"
BAQ,560699,442777,442082,20231101_BAQ_corrientazo_piloto_NB_salsas_W44,2023-11-01,2023-11-30,13.0,"[409759, 208115, 357213, 208113, 208121, 208119]","['Vinagre Blanco Bary galón x 3000ml', 'Salsa con Tomate Pompeya x 4.300gr', 'Salsa Soya Casta Gourmet x 3350 ml', 'Salsa con Tomate Pompeya Bolsa x 1.000gr', 'Salsa con Mostaza Pompeya x 4.100gr', 'Salsa con Mostaza Pompeya Bolsa x 1.000gr']"
BAQ,560700,442954,442659,20231101_BAQ_corrientazo_piloto_NB_pasta_W44,2023-11-01,2023-11-30,12.0,"[-200859, 207245, 207246]","['Pasta  Spaguetti La Muñeca x 250gr', 'Pasta fideo la muñeca x 500gr', 'Pasta spaguetti  la muñeca x 1000gr ']"
BAQ,560701,442093,442048,20231101_BAQ_corrientazo_piloto_NB_desinfectantesysanitizantes_W44,2023-11-01,2023-11-30,19.0,[236666],['Blanqueador Moppy x 2000 ml']
BAQ,560702,442097,442652,20231101_BAQ_corrientazo_piloto_NB_gaseosas_W44,2023-11-01,2023-11-30,9.0,"[411575, 217564, 440825, 465818, 184217, 217568]","['Gaseosa Manzana Postobon 12und x 250 ml ', 'Gaseosa Manzana Postobon 15und x 400 ml', 'Gaseosa Coca Cola x 1.5Lt', 'Gaseosa Negra Big Cola x 1000ml', 'Gaseosa Coca Cola pet 12und x 400 ml', 'Gaseosa Manzana Postobon x 1.5Lt']"
BAQ,560703,442951,442656,20231101_BAQ_corrientazo_piloto_NB_jugos_W44,2023-11-01,2023-11-30,12.0,"[432729, 411587, 432736, 411578]","['Jugo Hit Naranja Piña x 1Lt', 'Jugo Hit Frutas Tropicales x 1Lt', 'Jugo Hit Mora x 1Lt', 'Jugo Hit Mango x 1Lt']"
BAQ,560704,442095,442050,20231101_BAQ_corrientazo_piloto_NB_embutidos_W44,2023-11-01,2023-11-30,9.0,"[229117, 117827, 117826, 465110]","['Chorizo Antioqueño  Santa Cruz x 480gr ', 'Salchicha Cazadora  Cunit x 500gr', 'Salchichon Cervecero  Cunit x 1kg ', 'Butifarra Criolla Santa Cruz x 500gr']"
BAQ,560705,442088,442043,20231101_BAQ_corrientazo_piloto_NB_cerdo_W44,2023-11-01,2023-11-30,12.0,"[388110, 403467, 403464]","['Chuleta de Cerdo Calypso', 'Pulpa de Cerdo Porcionada 10und x 100gr', 'Pulpa de Cerdo Porcionada 5und x 200gr']"
BAQ,560706,442955,442660,20231101_BAQ_corrientazo_piloto_NB_pescadosymariscoscongelado_W44,2023-11-01,2023-11-30,12.0,"[432068, 452580]","['Basa en Rodajas Frigogher', 'Mojarra Roja Sesa Dispez x 1kg']"
BAQ,560707,442956,442661,20231101_BAQ_corrientazo_piloto_NB_pollo_W44,2023-11-01,2023-11-30,12.0,"[156059, 117079, 156060, 117312]","['Pechuga con Hueso y Piel  Campollo', 'Pechuga Mercapollo', 'Muslo con Contra Muslo  Campollo', 'Pollo Entero Marinado  Mercapollo']"
BAQ,560708,442776,442078,20231101_BAQ_corrientazo_piloto_NB_res_W44,2023-11-01,2023-11-30,12.0,"[426072, 423726, 423730, 426078]","['Carne Blanda para Asar 10und x 100gr', 'Carne Molida Corriente de Res ', 'Carne Molida Especial de Res ', 'carne Blanda para Asar 5und x 200gr']"
BAQ,560709,442084,442039,20231101_BAQ_corrientazo_piloto_NB_alimentoscongelados_W44,2023-11-01,2023-11-30,13.0,"[376713, 376714, 376716, 376722]","['Papa Francesa - Mydibel x 2.5kg', 'Papa Francesa - Ricongelisto x 2kg', 'Yuca en Croqueta Calypso x 1kg', 'Maiz Super Dulce Calypso x 1kg']"
BAQ,560710,442957,442662,20231101_BAQ_corrientazo_piloto_NB_pulpasdefruta_W44,2023-11-01,2023-11-30,14.0,"[432732, 454064, 432739]","['Pulpa de Fresa Sas x 1kg', 'Pulpa de Mora Larga Vida Sas x 1kg', 'Pulpa de Lulo Sas x 1kg']"
