customer_id,week,business_type,gmv
-255037,2,1.0,56300.0000000
-255037,5,1.0,56948.0000000
-255037,7,1.0,401524.4700000
-255037,8,1.0,186747.4300000
-255037,9,1.0,413113.1300000
-255037,10,1.0,79653.5000000
-255037,11,1.0,196476.6800000
-253388,8,2.0,151493.4300000
-253388,10,2.0,317011.4000000
-253388,11,2.0,444000.0000000
-252748,1,1.0,66179.5300000
-252748,2,1.0,82996.8300000
-252748,3,1.0,68801.7100000
-252748,5,1.0,161006.1800000
-252748,6,1.0,74333.6300000
-252748,7,1.0,80801.5800000
-252748,8,1.0,149377.0000000
-252748,9,1.0,67572.8100000
-252748,10,1.0,107646.0000000
-252748,11,1.0,207465.7900000
-252724,1,1.0,517652.5700000
-252724,2,1.0,280664.7600000
-252724,3,1.0,395258.2800000
-252724,4,1.0,225908.9800000
-252724,5,1.0,1329163.1100000
-252724,6,1.0,816757.9400000
-252724,7,1.0,787040.7800000
-252724,8,1.0,977808.1900000
-252724,9,1.0,256367.2900000
-252724,10,1.0,713026.9100000
-252724,11,1.0,670481.0400000
-252724,12,1.0,736571.2200000
-252595,2,1.0,84651.2800000
-252595,3,1.0,315240.1700000
-252595,4,1.0,152691.0600000
-252595,5,1.0,123065.0400000
-252595,6,1.0,77664.6300000
-252595,7,1.0,82160.3100000
-252595,8,1.0,312107.2100000
-252595,10,1.0,330979.2800000
-252595,11,1.0,159934.0000000
-251397,1,1.0,230481.4000000
-251397,3,1.0,153759.0000000
-251397,6,1.0,143516.0000000
-251397,7,1.0,201506.0000000
-251397,8,1.0,386321.2900000
-251397,9,1.0,597644.4300000
-251397,10,1.0,360741.7500000
-251397,11,1.0,572121.6000000
-251176,3,1.0,377127.1000000
-251176,5,1.0,545608.3500000
-251176,6,1.0,218470.9000000
-251176,7,1.0,170406.0400000
-251176,8,1.0,285023.5000000
-251176,9,1.0,89853.9800000
-251176,10,1.0,186502.6300000
-251176,11,1.0,284939.9300000
-251176,12,1.0,192542.5100000
-251062,6,1.0,15230.3500000
-251062,7,1.0,101695.5000000
-251062,8,1.0,371004.8800000
-251062,9,1.0,1031304.0200000
-251062,11,1.0,818791.9100000
-251062,12,1.0,341185.4200000
-250350,1,1.0,418314.1800000
-250350,4,1.0,69971.0900000
-250350,6,1.0,175698.9400000
-250350,7,1.0,67782.1700000
-250350,8,1.0,350443.9800000
-250350,9,1.0,286124.1700000
-250350,10,1.0,293688.6500000
-250350,11,1.0,250052.3500000
-250350,12,1.0,303386.3600000
-249981,1,1.0,817176.3000000
-249981,2,1.0,977824.5100000
-249981,3,1.0,1336616.5400000
-249981,4,1.0,1150732.5300000
-249981,5,1.0,1057122.5300000
-249981,6,1.0,921398.3800000
-249981,7,1.0,856148.5900000
-249981,8,1.0,741042.2700000
-249981,9,1.0,688212.4900000
-249981,10,1.0,921598.8900000
-249981,11,1.0,1491657.6600000
-249981,12,1.0,686440.2300000
-249852,5,1.0,156401.4200000
-249852,6,1.0,538148.5600000
-249852,7,1.0,156526.8800000
-249852,8,1.0,151493.4300000
-249852,9,1.0,151493.4300000
-249852,11,1.0,581555.6300000
