customer_id,week,business_type,gmv
-255037,2,1.0,56300.0000000
-255037,5,1.0,56948.0000000
-255037,7,1.0,401524.4700000
-255037,8,1.0,186747.4300000
-255037,9,1.0,413113.1300000
-255037,10,1.0,79653.5000000
-255037,11,1.0,196476.6800000
-254982,1,1.0,159072.8000000
-254982,3,1.0,159224.7400000
-254982,4,1.0,161343.6600000
-254982,7,1.0,39750.0000000
-254982,9,1.0,295523.0000000
-254982,10,1.0,81000.0000000
-254982,11,1.0,90209.0000000
-254971,1,1.0,153210.0000000
-254971,3,1.0,110022.0000000
-254971,4,1.0,364292.4500000
-254971,5,1.0,235743.2600000
-254971,6,1.0,163018.4200000
-254971,9,1.0,530791.9100000
-254971,10,1.0,221053.0000000
-254971,11,1.0,477590.7000000
-254971,12,1.0,224172.7100000
-254818,3,1.0,229160.5800000
-254818,4,1.0,225218.0100000
-254818,6,1.0,159400.0000000
-254818,7,1.0,171000.0000000
-254818,8,1.0,179000.0000000
-254818,9,1.0,1103068.6400000
-254818,10,1.0,181000.0000000
-254818,11,1.0,532926.5200000
-254818,12,1.0,68216.2300000
-253388,8,2.0,151493.4300000
-253388,10,2.0,317011.4000000
-253388,11,2.0,444000.0000000
-252748,1,1.0,66179.5300000
-252748,2,1.0,82996.8300000
-252748,3,1.0,68801.7100000
-252748,5,1.0,161006.1800000
-252748,6,1.0,74333.6300000
-252748,7,1.0,80801.5800000
-252748,8,1.0,149377.0000000
-252748,9,1.0,67572.8100000
-252748,10,1.0,107646.0000000
-252748,11,1.0,207465.7900000
-252724,1,1.0,517652.5700000
-252724,2,1.0,280664.7600000
-252724,3,1.0,395258.2800000
-252724,4,1.0,225908.9800000
-252724,5,1.0,1329163.1100000
-252724,6,1.0,816757.9400000
-252724,7,1.0,787040.7800000
-252724,8,1.0,977808.1900000
-252724,9,1.0,256367.2900000
-252724,10,1.0,713026.9100000
-252724,11,1.0,670481.0400000
-252724,12,1.0,736571.2200000
-252595,2,1.0,84651.2800000
-252595,3,1.0,315240.1700000
-252595,4,1.0,152691.0600000
-252595,5,1.0,123065.0400000
-252595,6,1.0,77664.6300000
-252595,7,1.0,82160.3100000
-252595,8,1.0,312107.2100000
-252595,10,1.0,330979.2800000
-252595,11,1.0,159934.0000000
-252465,1,1.0,737653.5800000
-252465,2,1.0,291829.7000000
-252465,3,1.0,1530879.0700000
-252465,4,1.0,1127851.5700000
-252465,5,1.0,1426140.6200000
-252465,6,1.0,122541.0900000
-252465,8,1.0,433410.0000000
-252465,9,1.0,1864788.2300000
-252465,11,1.0,584361.5300000
-252373,2,1.0,159072.8000000
-252373,3,1.0,102660.0000000
-252373,4,1.0,182068.8300000
-252373,5,1.0,285129.4000000
-252373,6,1.0,94572.0000000
-252373,7,1.0,260985.8900000
-252373,8,1.0,292266.2400000
-252373,9,1.0,664000.3000000
-252373,10,1.0,183686.4100000
-252373,12,1.0,358765.3900000
-252277,1,1.0,350993.9900000
-252277,2,1.0,266283.5800000
-252277,3,1.0,167950.1200000
-252277,4,1.0,172748.2000000
-252277,9,1.0,224526.4700000
-252277,10,1.0,175166.9600000
