customer_id,week,business_type,gmv
-255037,2,1.0,56300.0000000
-255037,5,1.0,56948.0000000
-255037,7,1.0,401524.4700000
-255037,8,1.0,186747.4300000
-255037,9,1.0,413113.1300000
-255037,10,1.0,79653.5000000
-255037,11,1.0,196476.6800000
-253388,8,2.0,151493.4300000
-253388,10,2.0,317011.4000000
-253388,11,2.0,444000.0000000
-252748,1,1.0,66179.5300000
-252748,2,1.0,82996.8300000
-252748,3,1.0,68801.7100000
-252748,5,1.0,161006.1800000
-252748,6,1.0,74333.6300000
-252748,7,1.0,80801.5800000
-252748,8,1.0,149377.0000000
-252748,9,1.0,67572.8100000
-252748,10,1.0,107646.0000000
-252748,11,1.0,207465.7900000
-252724,1,1.0,517652.5700000
-252724,2,1.0,280664.7600000
-252724,3,1.0,395258.2800000
-252724,4,1.0,225908.9800000
-252724,5,1.0,1329163.1100000
-252724,6,1.0,816757.9400000
-252724,7,1.0,787040.7800000
-252724,8,1.0,977808.1900000
-252724,9,1.0,256367.2900000
-252724,10,1.0,713026.9100000
-252724,11,1.0,670481.0400000
-252724,12,1.0,736571.2200000
-252595,2,1.0,84651.2800000
-252595,3,1.0,315240.1700000
-252595,4,1.0,152691.0600000
-252595,5,1.0,123065.0400000
-252595,6,1.0,77664.6300000
-252595,7,1.0,82160.3100000
-252595,8,1.0,312107.2100000
-252595,10,1.0,330979.2800000
-252595,11,1.0,159934.0000000
-250350,1,1.0,418314.1800000
-250350,4,1.0,69971.0900000
-250350,6,1.0,175698.9400000
-250350,7,1.0,67782.1700000
-250350,8,1.0,350443.9800000
-250350,9,1.0,286124.1700000
-250350,10,1.0,293688.6500000
-250350,11,1.0,250052.3500000
-250350,12,1.0,303386.3600000
-249852,5,1.0,156401.4200000
-249852,6,1.0,538148.5600000
-249852,7,1.0,156526.8800000
-249852,8,1.0,151493.4300000
-249852,9,1.0,151493.4300000
-249852,11,1.0,581555.6300000
-249852,12,1.0,470592.7100000
-249822,7,1.0,251578.9900000
-249822,8,1.0,151493.4300000
-249822,9,1.0,147328.7800000
-249822,11,1.0,44440.0000000
-247759,1,1.0,223408.7700000
-247759,2,1.0,159224.7400000
-247759,3,1.0,223096.7400000
-247759,4,1.0,158188.2600000
-247759,5,1.0,154668.4300000
-247759,6,1.0,224601.5900000
-247759,7,1.0,227730.5200000
-247759,8,1.0,222493.4300000
-247759,9,1.0,224293.4300000
-247759,11,1.0,170592.7100000
-247759,12,1.0,76980.0000000
-246598,1,1.0,377055.5600000
-246598,2,1.0,692453.9400000
-246598,3,1.0,275797.5000000
-246598,4,1.0,682212.7900000
-246598,5,1.0,304500.0000000
-246598,6,1.0,154000.0000000
-246598,7,1.0,120750.0000000
-246598,8,1.0,151493.4300000
-246500,1,1.0,442577.3700000
-246500,2,1.0,413141.5800000
-246500,3,1.0,251974.7400000
-246500,4,1.0,309619.8200000
-246500,5,1.0,257689.6700000
-246500,6,1.0,254776.5900000
-246500,7,1.0,490278.5000000
-246500,8,1.0,524463.6300000
-246500,9,1.0,151493.4300000
-246500,11,1.0,886502.7300000
-246500,12,1.0,90650.0000000
