customer_id,week,business_type,gmv
-254982,1,1.0,159072.8000000
-254982,3,1.0,159224.7400000
-254982,4,1.0,161343.6600000
-254982,7,1.0,39750.0000000
-254982,9,1.0,295523.0000000
-254982,10,1.0,81000.0000000
-254982,11,1.0,90209.0000000
-254971,1,1.0,153210.0000000
-254971,3,1.0,110022.0000000
-254971,4,1.0,364292.4500000
-254971,5,1.0,235743.2600000
-254971,6,1.0,163018.4200000
-254971,9,1.0,530791.9100000
-254971,10,1.0,221053.0000000
-254971,11,1.0,477590.7000000
-254971,12,1.0,224172.7100000
-254818,3,1.0,229160.5800000
-254818,4,1.0,225218.0100000
-254818,6,1.0,159400.0000000
-254818,7,1.0,171000.0000000
-254818,8,1.0,179000.0000000
-254818,9,1.0,1103068.6400000
-254818,10,1.0,181000.0000000
-254818,11,1.0,532926.5200000
-254818,12,1.0,68216.2300000
-252465,1,1.0,737653.5800000
-252465,2,1.0,291829.7000000
-252465,3,1.0,1530879.0700000
-252465,4,1.0,1127851.5700000
-252465,5,1.0,1426140.6200000
-252465,6,1.0,122541.0900000
-252465,8,1.0,433410.0000000
-252465,9,1.0,1864788.2300000
-252465,11,1.0,584361.5300000
-252373,2,1.0,159072.8000000
-252373,3,1.0,102660.0000000
-252373,4,1.0,182068.8300000
-252373,5,1.0,285129.4000000
-252373,6,1.0,94572.0000000
-252373,7,1.0,260985.8900000
-252373,8,1.0,292266.2400000
-252373,9,1.0,664000.3000000
-252373,10,1.0,183686.4100000
-252373,12,1.0,358765.3900000
-252277,1,1.0,350993.9900000
-252277,2,1.0,266283.5800000
-252277,3,1.0,167950.1200000
-252277,4,1.0,172748.2000000
-252277,9,1.0,224526.4700000
-252277,10,1.0,175166.9600000
-252277,11,1.0,589096.6100000
-252277,12,1.0,176318.3700000
-252075,9,1.0,605973.7300000
-251955,8,1.0,126733.8000000
-251955,9,1.0,1635681.0000000
-251955,11,1.0,783171.7600000
-251955,12,1.0,294657.5600000
-251636,4,1.0,158315.3500000
-251636,6,1.0,241200.7200000
-251636,9,1.0,364217.3700000
-251636,12,1.0,388248.2400000
-251619,1,1.0,754539.4500000
-251619,2,1.0,391374.7900000
-251619,3,1.0,773603.2700000
-251619,4,1.0,179945.2000000
-251619,5,1.0,138001.6300000
-251619,6,1.0,688788.0200000
-251619,7,1.0,511327.2900000
-251619,8,1.0,287314.8700000
-251619,9,1.0,497038.7600000
-251619,10,1.0,383598.4000000
-251619,11,1.0,91165.4500000
-251619,12,1.0,439576.1700000
-250512,1,1.0,326850.0300000
-250512,7,1.0,164960.0200000
-250512,8,1.0,827698.7600000
-250512,9,1.0,490138.8000000
-250512,10,1.0,171533.3900000
-250512,11,1.0,259655.6300000
-250512,12,1.0,314007.0000000
-250007,1,1.0,130962.5000000
-250007,2,1.0,293460.8000000
-250007,3,1.0,730702.3400000
-250007,4,1.0,239111.0000000
-250007,5,1.0,371325.1500000
-250007,6,1.0,368432.5900000
-250007,7,1.0,425250.5700000
-250007,8,1.0,292605.0700000
-250007,9,1.0,789429.2100000
-250007,10,1.0,419339.1400000
-250007,11,1.0,618298.0000000
-250007,12,1.0,531727.0000000
-249583,1,1.0,211227.2300000
-249583,3,1.0,91350.0000000
-249583,4,1.0,82560.0000000
-249583,5,1.0,101559.2900000
-249583,6,1.0,98175.0000000
-249583,7,1.0,91440.0000000
-249583,8,1.0,74422.0000000
-249583,9,1.0,397306.8700000
-249583,11,1.0,89355.0000000
-249399,1,1.0,2585579.1400000
-249399,2,1.0,1839178.6500000
-249399,3,1.0,2145496.2100000
-249399,4,1.0,1934658.5500000
-249399,5,1.0,2373215.8000000
-249399,6,1.0,1462106.7000000
-249399,7,1.0,1812312.6800000
-249399,8,1.0,1505770.5400000
-249399,9,1.0,1988166.6500000
-249399,10,1.0,2308805.1000000
-249399,11,1.0,3090579.8100000
-249399,12,1.0,609886.8100000
-249208,2,1.0,294325.4800000
-249208,3,1.0,574744.7600000
-249208,4,1.0,485709.1900000
-249208,5,1.0,684612.3000000
-249208,6,1.0,479138.7700000
-249208,7,1.0,81250.0000000
-249208,8,1.0,193725.5200000
-249208,9,1.0,356848.8700000
-249208,10,1.0,67506.4000000
-249208,11,1.0,1252425.7800000
-249208,12,1.0,177981.1600000
-249202,1,1.0,860116.3800000
-249202,2,1.0,1355840.6400000
-249202,3,1.0,329494.8600000
-249202,4,1.0,971556.1400000
-249202,5,1.0,596619.3500000
-249202,6,1.0,901720.7000000
-249202,7,1.0,731219.0500000
-249202,8,1.0,1148322.6900000
-249202,9,1.0,678693.4300000
-249202,10,1.0,797578.0000000
-249202,11,1.0,890249.4600000
-249202,12,1.0,338776.8000000
-249099,1,1.0,275406.0700000
-249099,2,1.0,238383.7300000
-249099,3,1.0,218147.0000000
-249099,4,1.0,401304.2500000
-249099,5,1.0,494813.1700000
-249099,6,1.0,317762.6200000
-249099,7,1.0,730712.6600000
-249099,8,1.0,128448.5000000
-249099,9,1.0,513608.4200000
-249099,10,1.0,584568.0000000
-249099,11,1.0,139866.0000000
-249099,12,1.0,220962.5500000
-246239,1,1.0,116412.0000000
-246239,2,1.0,134460.0000000
-246239,3,1.0,122175.0000000
-246239,5,1.0,138530.6800000
-246239,6,1.0,207801.6300000
-246239,8,1.0,307766.1300000
-246239,9,1.0,390271.8700000
-246239,10,1.0,83481.0000000
-246239,11,1.0,61229.0000000
-244946,7,1.0,156601.5900000
-244946,8,1.0,181308.4600000
-244946,9,1.0,299235.1100000
-244946,10,1.0,162357.1500000
-244946,12,1.0,348914.0100000
-244940,3,1.0,157080.3600000
-244940,4,1.0,157813.0000000
-244940,5,1.0,457280.8400000
-244940,6,1.0,83304.7200000
-244940,7,1.0,326316.7000000
-244940,9,1.0,151493.4300000
-244940,11,1.0,212807.7700000
-244940,12,1.0,175304.8900000
-243779,1,1.0,415749.8000000
-243779,2,1.0,630197.0000000
-243779,3,1.0,601494.2100000
-243779,4,1.0,634944.0000000
-243779,5,1.0,641950.0000000
-243779,6,1.0,422291.5900000
-243779,7,1.0,260664.0000000
-243779,8,1.0,437439.0000000
-243779,9,1.0,729240.4100000
-243779,10,1.0,1116634.9000000
-243779,11,1.0,779003.6400000
