offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220328_BAQ_NB_tuberculos_W13,,8,true,28-03-2022,04-04-2022,2,2,,-302280#-302913#-302562#277542#-302916#-302280#-302913#-302028#-300387#-302025#18446#-302949#-302028#-300387#-302025
20220328_BAQ_NB_arroz_W13,,7,true,28-03-2022,04-04-2022,4,2,,280862#280865#280868#-303030#124710#124708#63697#124716#281192#-303057#124700#124702
20220328_BAQ_NB_frutas_W13,,20,true,28-03-2022,04-04-2022,50,2,,142749#-301143#94846#134238#-302220#63739#142264#-300510#-301137#-301077#134238#-302220#63739#-300150#94852#368990#-303369#-302466#206651#142264#-300510#97944#-300795#-300669#134283#134243#-301326#-302484#-300501#-300783#62922#-300453#-302412#63754#139111#-302343#-301128#-302505#-302469#62927#48297#63772#196373#-300153#-300045
20220328_BAQ_NB_huevos_W13,,10,true,28-03-2022,04-04-2022,12,2,,97203#-302529#122090#121994
20220328_BAQ_NB_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,26107#287738#73211#258690#258696#73267#-302556#112755#-300645#-300657#18439#-300477#-300879#62904#-300753#62906#-300777#-302256#327559#327556#327561#210159#-300543#212438#62912#210161#73211#258690#258696#73267#214690#214696#214692#214694#214698#214700#-300477#-300879#62904#-300753#62906#-300777#73211#258690#258696#73267#210159#-300543#212438#62912#210161#327559#327556#327561#92108#-300957#-301668#160938#-302595#112739#-300207#73211#258690#258696#73267#63788#214690#214696#214692#214694#214698#214700#-302661#-300927#-302694#286789#206639#258799#287277#-302130#16224#-301269#62896#-301668#160938#-302100#-302598#-302559#112749#112747#210159#-300543#212438#62912#210161#-302703#42875#-302544
20220328_BAQ_NB_vasos_W13,,7,true,28-03-2022,04-04-2022,6,2,,21984#275142#275143#275142#275143#332189#332190#332189#332190#275145#275146#275155#275154#275145#275146
20220328_BAQ_NB_contenedores_W13,,7,true,28-03-2022,04-04-2022,6,2,,145641#111047#117735#111047#117735#118004#118002#82846#117840#111049#191992#117997#117995#111039#117997#117995#288239#288240
20220328_BAQ_NB_detergentejabonylavalozas_W13,,-1,true,28-03-2022,04-04-2022,-1,-1,,161712#57855#161706#304401#338311#338312#161710#161708#338311#338312#304399#338307
20220328_BAQ_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,30,2,,200608#200610#192891#200035#200608#200610#143319#132650#132652#192891#200035#221589#132650#132652#194539#200789#194539#200789
20220328_BAQ_NB_res_W13,,18,true,28-03-2022,04-04-2022,20,2,,-302454#226895#226891#235495#86687#130636#226893
20220328_BAQ_NB_cerdo_W13,,18,true,28-03-2022,04-04-2022,15,2,,116462#83969#97137#241989#271594#271602
20220328_BAQ_NB_pescadosymariscoscongelado_W13,,-1,true,28-03-2022,04-04-2022,-1,-1,,403689#84290#86806#51251
20220328_BAQ_NB_embutidos_W13,,18,true,28-03-2022,04-04-2022,10,2,,288722#288716#288719#146323#288713#146889
20220328_BAQ_NB_bebidas,,18,true,28-03-2022,05-04-2022,12,1,,271666#271667#271668#226955#251220#251193#226941#251193#226941#271674#271676#271675#226955#251220#253779#253777#271666#271667#271668#271670#271672#271671#271654#271655#271666#271667#271668#295388#295389#295392#295393#271648#271649#271674#271676#271675#226945#251205#295392#295393#295388#295389#226939#251188#295390#295391#271612#271613#271612#271613
20220328_BAQ_NB_congelados,,18,true,28-03-2022,05-04-2022,12,1,,186939#42509#241789#241791
20220328_BAQ_NB_lacteosyhuevos,,18,true,28-03-2022,05-04-2022,12,1,,328503#328509#97203#-302529#122090#121994#126901#392744#-302517#22074#189989#189995#189991#328489
20220328_BAQ_NB_aseoehigiene,,18,true,28-03-2022,05-04-2022,12,1,,304403#304405#126909#304397#304395#161724#307641#307663#161716#307647#307665#161714#161939#126913#197077#307643#307664#310688#126917#175697#423289#175699#422691#-302535#422688#-301335#422689#422690#76914#389239#389240#76890#282553#282554#282559#282560#282556#282557#76920#282553#282554#282559#282560#161712#57855#161706#304401#338311#338312#161710#161708#338311#338312#304399#338307#-301353#83205#57867#57785#57761#57755#387463#346769#57885#387495#346839#387496#57861#387457#346760#387438#346739#346740#387439#402242#387494#387463#346769#387596#387597#349239#349240#57847#387482#387483#387457#346760#363534#387588#346857#387497#346842#387498#387479#387480#387455#346757#387456#387495#346839#387496#387458#346762#387485#387472#363536
20220328_BAQ_NB_desechables,,18,true,28-03-2022,05-04-2022,12,1,,145641#111047#117735#111047#117735#118004#118002#82846#117840#111049#191992#117997#117995#111039#117997#117995#288239#288240#197087#139016#139031#139036#197083#200889#139026#197085#338325#338326#145639#257384#257385#352171#352172#352174#352173#352144#352145#258489#258490#197239#197243#352139#352140#352142#352141#48553#352171#352172#352174#352173#258489#258490#197241#21984#275142#275143#275142#275143#332189#332190#332189#332190#275145#275146#275155#275154#275145#275146#316171#217397#217395#316174#308602#49005#301039#301040#338289#352185#352187#352186#352193
