offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_BAQ_NB_tuberculos_W16,,8,true,20-04-2022,27-04-2022,2,2,,-302280#-302913#-302562#277542#-302280#-302913#-302028#-300387#-302025#-302916#18446#-302949#-302028#-300387#-302025
20220420_BAQ_NB_arroz_W16,,7,true,20-04-2022,27-04-2022,4,2,,280862#280865#280868#-303030#124710#124708#281192#63697#124716#280862#280865#280868#-303030#124710#124708
20220420_BAQ_NB_frutas_W16,,20,true,20-04-2022,27-04-2022,50,2,,142264#-300510#-301143#94846#142749#134238#-302220#63739#-301137#-301077#134238#-302220#63739#-303369#-302466#206651#-300795#142264#-300510#97944#134243#-301326#-302484#-300783#62922#-300501#-301128#48297#63772#-300150#94852#368990#-300453#-302412#63754#139111#-302343#-302505#-302469#62927#-300393#142273#-300669#134283
20220420_BAQ_NB_huevos_W16,,10,true,20-04-2022,27-04-2022,12,2,,97203#-302529#122090#121994
20220420_BAQ_NB_verduras_W16,,20,true,20-04-2022,27-04-2022,50,2,,26107#287738#73211#258690#258696#73267#-302556#112755#18439#-300645#-300657#-302256#73211#258690#258696#73267#-300477#-300879#62904#62906#-300777#-300753#327559#327556#327561#-300477#-300879#62904#62906#-300777#-300753#210159#-300543#212438#62912#210161#214690#214696#214692#214694#214700#214698#73211#258690#258696#73267#210159#-300543#212438#62912#210161#-301668#160938#-300957#327559#327556#327561#92108#-302595#112739#-300207#73211#258690#258696#73267#63788#-302661#258799#287277#-302130#-302544#16224#-300927#-302694#286789#206639#-302100#210159#-300543#212438#62912#210161#-302598#-302559#112749#112747#-300888#214690#214696#214692#214694#214700#214698#401340#401346#401348#-301269#62896#-302703
20220420_BAQ_NB_vasos_W16,,7,true,20-04-2022,27-04-2022,6,2,,21984#275142#275143#275142#275143#332190#332189#332190#332189#275145#275146#275145#275146#275155#275154#275139#275140
20220420_BAQ_NB_contenedores_W16,,7,true,20-04-2022,27-04-2022,6,2,,145641#145422#111047#117735#111047#117735#118004#118002#191992#82846#117840#111049#117997#117995#111039#117840#111049#117997#117995#118004#118002#288239#288240
20220420_BAQ_NB_detergentejabonylavalozas_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,161712#57855#161706#338311#338312#161710#161708#304401#338311#338312#304399#338307
20220420_BAQ_NB_pollo_W16,,18,true,20-04-2022,27-04-2022,30,2,,200608#200610#200608#200610#143319#192891#200035#192891#200035#132650#132652#145410#145412#132650#132652
20220420_BAQ_NB_res_W16,,18,true,20-04-2022,27-04-2022,20,2,,-302454#226895#235495#226891#86687#130636
20220420_BAQ_NB_cerdo_W16,,18,true,20-04-2022,27-04-2022,15,2,,116462#241989#83969#97137#271594#271602
20220420_BAQ_NB_pescadosymariscoscongelado_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,403689#84290#86806#51251
20220420_BAQ_NB_embutidos_W16,,18,true,20-04-2022,27-04-2022,10,2,,288722#288719#288716#288713#146323#234661#146889
20220420_BAQ_NB_bebidas,,18,true,20-04-2022,28-04-2022,12,1,,271666#271668#271667#226955#251220#226955#251220#251193#226941#271674#271676#271675#251193#226941#253779#253777#271666#271668#271667#271670#271672#271671#271654#271655#271666#271668#271667#295388#295389#295392#295393#271674#271676#271675#295392#295393#271648#271649#295388#295389#226945#251205#254671#226939#251188#295390#295391
20220420_BAQ_NB_congelados,,18,true,20-04-2022,28-04-2022,12,1,,186939#42509#169961#241791#241789
20220420_BAQ_NB_lacteosyhuevos,,18,true,20-04-2022,28-04-2022,12,1,,97203#-302529#122090#121994#392744#417799#-302517#126901#328499#41668#189989#189995#189991
20220420_BAQ_NB_aseoehigiene,,18,true,20-04-2022,28-04-2022,12,1,,161712#57855#161706#338311#338312#161710#161708#304401#338311#338312#304399#338307#304403#304405#126909#304395#161724#307641#307663#307647#307665#161939#161716#161714#304397#126917#410893#307651#175697#423289#423288#175699#422691#-302535#422688#-301335#422689#422690#282559#282560#389239#389240#76914#282539#282541#282540#76890#282559#282560#282556#282557#282539#282541#282540#76920#282562#282563#57867#57785#57761#57755#57885#387463#346769#387495#387496#346839#387457#346760#387438#346739#387439#346740#57861#387596#387597#349239#349240#387482#387483#363534#387494#402242#387455#346757#387456#387472#387471#387479#387480#387497#387498#346842#387458#57749#387485#387486#387588#346857#-301353#83205#83200#-302532#363536
20220420_BAQ_NB_desechables,,18,true,20-04-2022,28-04-2022,12,1,,352171#352172#352174#352173#352144#352145#258489#258490#197239#197243#352171#352172#352174#352173#48553#258489#258490#197241#352168#352169#21984#275142#275143#275142#275143#332190#332189#332190#332189#275145#275146#275145#275146#275155#275154#275139#275140#145641#145422#111047#117735#111047#117735#118004#118002#191992#82846#117840#111049#117997#117995#111039#117840#111049#117997#117995#118004#118002#288239#288240#197087#139016#197083#139031#139036#417442#417443#417442#417443#417445#417446#197085#338325#338326#257384#257385#316171#217397#217395#253768#253769#308602#316174#327639#327640#49005#338289#301039#301040#352185#352187#352186#352193
