20220420_BAQ_NB_tuberculos_W16,20220420_BAQ_NB_arroz_W16,20220420_BAQ_NB_frutas_W16,20220420_BAQ_NB_huevos_W16,20220420_BAQ_NB_verduras_W16,20220420_BAQ_NB_vasos_W16,20220420_BAQ_NB_contenedores_W16,20220420_BAQ_NB_detergentejabonylavalozas_W16
138792963.0,124439056.0,145902086.0,145902086.0,146221312.0,138792963.0,138792963.0,138792963.0
145902086.0,145407507.0,124439056.0,124439056.0,-217470.0,145902086.0,124439056.0,145902086.0
124439056.0,141878821.0,145407507.0,145407507.0,145417609.0,124439056.0,145407507.0,124439056.0
145407507.0,-220634.0,140825621.0,140825621.0,145411465.0,145407507.0,140825621.0,145407507.0
140825621.0,136664104.0,142285335.0,140362788.0,47315084.0,140825621.0,142241304.0,142285335.0
142285335.0,139388459.0,142241304.0,141878821.0,124439056.0,142285335.0,141671452.0,142241304.0
140362788.0,145463341.0,141671452.0,-220634.0,140955924.0,141901852.0,141901852.0,140362788.0
136664104.0,140768304.0,140362788.0,136664104.0,87179030.0,141878821.0,140362788.0,141878821.0
139388459.0,142282805.0,141878821.0,145369643.0,142241304.0,-220634.0,-220634.0,-220634.0
145463341.0,141875770.0,139388459.0,142282805.0,142260636.0,136664104.0,136664104.0,136664104.0
140768304.0,145113149.0,145369643.0,138677816.0,143077790.0,145369643.0,145369643.0,145369643.0
142282805.0,140423751.0,142282805.0,141875770.0,128562337.0,145463341.0,145463341.0,145463341.0
138677816.0,145218631.0,138677816.0,104540219.0,137183524.0,142282805.0,142282805.0,104540219.0
141875770.0,141813833.0,141875770.0,146176061.0,139751206.0,138677816.0,138677816.0,142551619.0
145392188.0,142388831.0,104540219.0,145113149.0,142278823.0,141875770.0,104540219.0,145218631.0
140282945.0,141647969.0,145392188.0,140282945.0,136664104.0,104540219.0,145392188.0,142388831.0
140423751.0,137111657.0,146176061.0,138074691.0,146115753.0,145392188.0,145113149.0,141647969.0
145218631.0,91422831.0,145113149.0,142551619.0,142498726.0,145113149.0,146176061.0,137111657.0
141813833.0,129182320.0,140282945.0,140423751.0,145369643.0,146176061.0,138074691.0,145231469.0
142388831.0,132329076.0,142551619.0,141813833.0,-213587.0,140282945.0,142551619.0,73906286.0
137111657.0,140308087.0,140423751.0,142388831.0,138793263.0,140423751.0,140423751.0,129182320.0
145231469.0,141824508.0,141813833.0,145231469.0,140768304.0,145218631.0,145218631.0,132329076.0
129182320.0,140311175.0,142388831.0,91422831.0,62456111.0,141813833.0,141813833.0,140308087.0
140308087.0,130035856.0,141647969.0,129182320.0,73178290.0,141647969.0,141647969.0,52351607.0
52351607.0,142404758.0,137111657.0,132329076.0,142244151.0,137111657.0,137111657.0,141824508.0
141824508.0,139191449.0,145231469.0,140308087.0,141875770.0,145231469.0,145231469.0,-217470.0
-217470.0,131537561.0,91422831.0,52351607.0,145901370.0,73906286.0,73906286.0,-252795.0
-252795.0,128562337.0,129182320.0,-217470.0,146176061.0,91422831.0,129182320.0,47315084.0
140311175.0,142555813.0,140308087.0,-252795.0,145113149.0,129182320.0,132329076.0,142404758.0
47315084.0,142278823.0,52351607.0,140311175.0,142968638.0,132329076.0,52351607.0,131537561.0
130035856.0,146115753.0,141824508.0,47315084.0,144643776.0,52351607.0,140308087.0,142555813.0
142525074.0,140782771.0,-217470.0,130035856.0,142296259.0,140308087.0,-217470.0,142278823.0
142404758.0,138146998.0,-252795.0,142525074.0,143039939.0,-217470.0,-252795.0,146115753.0
139191449.0,144643776.0,140311175.0,142404758.0,104353989.0,-252795.0,140311175.0,145064107.0
131537561.0,140293315.0,47315084.0,127341718.0,146161143.0,47315084.0,47315084.0,73178290.0
142555813.0,142520517.0,142525074.0,139191449.0,145218631.0,142525074.0,130035856.0,128091826.0
142278823.0,142259398.0,142404758.0,131537561.0,141813833.0,142404758.0,142525074.0,138146998.0
73178290.0,142215885.0,127341718.0,128562337.0,123318007.0,127341718.0,139191449.0,144643776.0
140782771.0,73187536.0,139191449.0,142555813.0,142473166.0,139191449.0,131537561.0,142296259.0
128091826.0,138857683.0,131537561.0,146115753.0,73187536.0,131537561.0,142555813.0,142520517.0
138146998.0,145075418.0,142555813.0,145064107.0,-247466.0,128562337.0,146115753.0,142215885.0
139730110.0,143166686.0,142278823.0,73178290.0,140771801.0,142555813.0,73178290.0,73187536.0
144643776.0,145175262.0,145064107.0,138146998.0,141617372.0,142278823.0,128091826.0,141617372.0
140293315.0,131770096.0,73178290.0,139730110.0,142555105.0,146115753.0,139730110.0,145175262.0
142520517.0,139233521.0,138146998.0,144643776.0,141269988.0,145064107.0,144643776.0,131770096.0
142259398.0,140361458.0,139730110.0,140293315.0,131548132.0,73178290.0,140293315.0,139233521.0
142215885.0,123318007.0,144643776.0,142296259.0,137111657.0,140782771.0,142296259.0,123318007.0
73187536.0,143071480.0,142296259.0,142520517.0,143024505.0,128091826.0,104353989.0,143071480.0
141666521.0,50162938.0,104353989.0,142259398.0,91422831.0,138146998.0,142259398.0,145942265.0
145075418.0,146221312.0,142259398.0,73187536.0,129182320.0,144643776.0,142520517.0,50162938.0
141617372.0,139285267.0,142520517.0,141666521.0,139233521.0,140293315.0,142215885.0,146221312.0
143166686.0,140955924.0,142215885.0,141617372.0,143057908.0,142215885.0,73187536.0,140955924.0
145175262.0,87179030.0,73187536.0,143166686.0,140308087.0,73187536.0,138857683.0,141631764.0
131770096.0,55022872.0,138857683.0,145175262.0,41959288.0,138857683.0,141666521.0,87179030.0
139233521.0,139751206.0,141666521.0,131770096.0,145942265.0,145075418.0,145075418.0,137183524.0
140361458.0,139331367.0,145075418.0,140361458.0,50162938.0,141617372.0,141617372.0,139751206.0
123318007.0,140902694.0,141617372.0,123318007.0,142473212.0,143166686.0,143166686.0,140902694.0
140470017.0,62456111.0,143166686.0,143071480.0,,145175262.0,145175262.0,62456111.0
138573067.0,139941685.0,145175262.0,145942265.0,,131770096.0,139233521.0,146020149.0
139285267.0,142244151.0,131770096.0,50162938.0,,139233521.0,140361458.0,142241605.0
140955924.0,142241605.0,140361458.0,146221312.0,,140361458.0,143071480.0,140458322.0
141631764.0,-213681.0,123318007.0,138573067.0,,123318007.0,145942265.0,-247466.0
87179030.0,143022932.0,143071480.0,139285267.0,,143071480.0,50162938.0,140808560.0
55022872.0,-247466.0,145942265.0,140955924.0,,145942265.0,138573067.0,41959288.0
138793263.0,130031964.0,50162938.0,141631764.0,,50162938.0,139285267.0,140406654.0
62456111.0,141900133.0,140470017.0,55022872.0,,146221312.0,140955924.0,146226053.0
139941685.0,141819754.0,139285267.0,137183524.0,,139239693.0,141631764.0,129918854.0
142241605.0,140808560.0,140955924.0,139751206.0,,140955924.0,87179030.0,145417609.0
-213681.0,139829109.0,141631764.0,140902694.0,,87179030.0,55022872.0,143187339.0
140458322.0,145458039.0,55022872.0,138793263.0,,55022872.0,137183524.0,139734413.0
141693268.0,41959288.0,139751206.0,62456111.0,,137183524.0,139751206.0,143077790.0
143022932.0,143024505.0,139331367.0,142968638.0,,140902694.0,139331367.0,142498726.0
-247466.0,140406654.0,140902694.0,142288197.0,,138793263.0,140902694.0,142471590.0
130031964.0,146226053.0,62456111.0,-213681.0,,62456111.0,138793263.0,140862888.0
143010142.0,129918854.0,139941685.0,140458322.0,,139941685.0,139941685.0,-213587.0
141900133.0,145411465.0,146020149.0,141693268.0,,146020149.0,146020149.0,145943981.0
