20220420_BAQ_NB_bebidas,20220420_BAQ_NB_congelados,20220420_BAQ_NB_lacteosyhuevos,20220420_BAQ_NB_aseoehigiene,20220420_BAQ_NB_desechables
146221312.0,138792963.0,146221312.0,-217470.0,-217470.0
-217470.0,145902086.0,-217470.0,-252795.0,138792963.0
138792963.0,124439056.0,-252795.0,129918854.0,-252795.0
-252795.0,145407507.0,47315084.0,47315084.0,129918854.0
145902086.0,140825621.0,124439056.0,124439056.0,145411465.0
140311175.0,142285335.0,145407507.0,140955924.0,47315084.0
129918854.0,142241304.0,139285267.0,87179030.0,139734413.0
138573067.0,141901852.0,140955924.0,142285335.0,124439056.0
47315084.0,140362788.0,127341718.0,131537561.0,140955924.0
124439056.0,-220634.0,141631764.0,145463341.0,140825621.0
142525074.0,136664104.0,131537561.0,-213587.0,87179030.0
139285267.0,139388459.0,139191449.0,62456111.0,55022872.0
140955924.0,145369643.0,140362788.0,73178290.0,131537561.0
141631764.0,145463341.0,139751206.0,146020149.0,139191449.0
142241304.0,140768304.0,142471590.0,104540219.0,141901852.0
131537561.0,142282805.0,136664104.0,144643776.0,122290590.0
55022872.0,138677816.0,140862888.0,-224827.0,142498726.0
141901852.0,141875770.0,145064107.0,140308087.0,136664104.0
142260636.0,104540219.0,-213587.0,123318007.0,146031019.0
122290590.0,145392188.0,145943981.0,73187536.0,145463341.0
-220634.0,145113149.0,73178290.0,144741856.0,-213587.0
142498726.0,146176061.0,138146998.0,131548132.0,138793263.0
136664104.0,140282945.0,138677816.0,137111657.0,73178290.0
146115753.0,138074691.0,104540219.0,73906286.0,128091826.0
145369643.0,142551619.0,145113149.0,129182320.0,104540219.0
145463341.0,140423751.0,139730110.0,139233521.0,144643776.0
-213587.0,145218631.0,144643776.0,140808560.0,146245056.0
73178290.0,141813833.0,142551619.0,132329076.0,-224827.0
128091826.0,141647969.0,146161143.0,143057908.0,142215885.0
104540219.0,137111657.0,142259398.0,52351607.0,145925071.0
139730110.0,145231469.0,123318007.0,143071480.0,73187536.0
142968638.0,73906286.0,73187536.0,,140458322.0
144643776.0,129182320.0,143166686.0,,-247466.0
138074691.0,132329076.0,145175262.0,,144741856.0
142551619.0,52351607.0,144741856.0,,142555105.0
140293315.0,-217470.0,141269988.0,,131548132.0
142241605.0,-252795.0,141900133.0,,52351607.0
145218631.0,140311175.0,131548132.0,,137111657.0
-224827.0,47315084.0,143024505.0,,143024505.0
142230986.0,142525074.0,129182320.0,,73906286.0
123318007.0,142404758.0,131770096.0,,145458039.0
145198925.0,127341718.0,140361458.0,,129182320.0
145925071.0,139191449.0,140808560.0,,139233521.0
73187536.0,128562337.0,132329076.0,,140808560.0
143022932.0,142555813.0,143057908.0,,132329076.0
41959288.0,142278823.0,140308087.0,,143057908.0
-247466.0,146115753.0,143071480.0,,140308087.0
145175262.0,145064107.0,145942265.0,,143071480.0
144741856.0,73178290.0,50162938.0,,145942265.0
142555105.0,140782771.0,140406654.0,,50162938.0
141269988.0,128091826.0,,,
141900133.0,138146998.0,,,
131548132.0,139730110.0,,,
52351607.0,140293315.0,,,
137111657.0,142296259.0,,,
73906286.0,104353989.0,,,
129182320.0,142259398.0,,,
131770096.0,142520517.0,,,
139233521.0,142215885.0,,,
140808560.0,73187536.0,,,
132329076.0,138857683.0,,,
143057908.0,141666521.0,,,
140308087.0,145075418.0,,,
143071480.0,141617372.0,,,
50162938.0,145175262.0,,,
142473212.0,131770096.0,,,
140406654.0,139233521.0,,,
,123318007.0,,,
,143071480.0,,,
,50162938.0,,,
,139239693.0,,,
,139285267.0,,,
,140955924.0,,,
,141631764.0,,,
,87179030.0,,,
,55022872.0,,,
,137183524.0,,,
,139751206.0,,,
,139331367.0,,,
,140902694.0,,,
,62456111.0,,,
,139941685.0,,,
,142244151.0,,,
,145901370.0,,,
,142968638.0,,,
,142241605.0,,,
,142288197.0,,,
,145198925.0,,,
,-213681.0,,,
,143022932.0,,,
,-247466.0,,,
,130031964.0,,,
,143010142.0,,,
,141819754.0,,,
,140808560.0,,,
,142966644.0,,,
,139829109.0,,,
,145458039.0,,,
,41959288.0,,,
,143024505.0,,,
,146226053.0,,,
,129918854.0,,,
,145417609.0,,,
,145411465.0,,,
,143187339.0,,,
,139734413.0,,,
,145200528.0,,,
,142260636.0,,,
,143077790.0,,,
,122290590.0,,,
,140371365.0,,,
,139229094.0,,,
,142498726.0,,,
,140862888.0,,,
,142471590.0,,,
,146031019.0,,,
,142473212.0,,,
,-213587.0,,,
,141703604.0,,,
,146245056.0,,,
,143039939.0,,,
,-224827.0,,,
,141723591.0,,,
,143035335.0,,,
,142230986.0,,,
,142473166.0,,,
,145925071.0,,,
,140771801.0,,,
,144741856.0,,,
,142555105.0,,,
,141269988.0,,,
,131548132.0,,,
,141608427.0,,,
,145270766.0,,,
,143057908.0,,,
,143122420.0,,,
,146161143.0,,,
,141824508.0,,,
