20220420_BAQ_NB_pollo_W16,20220420_BAQ_NB_res_W16,20220420_BAQ_NB_cerdo_W16,20220420_BAQ_NB_pescadosymariscoscongelado_W16,20220420_BAQ_NB_embutidos_W16
145902086.0,145902086.0,138792963.0,138792963.0,138792963.0
124439056.0,124439056.0,145902086.0,145902086.0,145902086.0
145407507.0,145407507.0,124439056.0,124439056.0,124439056.0
140825621.0,140825621.0,145407507.0,145407507.0,145407507.0
141671452.0,142285335.0,142285335.0,140825621.0,140825621.0
-220634.0,142241304.0,142241304.0,142285335.0,142285335.0
136664104.0,141671452.0,141671452.0,142241304.0,142241304.0
145369643.0,141901852.0,141901852.0,141671452.0,141901852.0
145463341.0,140362788.0,140362788.0,140362788.0,140362788.0
142282805.0,141878821.0,141878821.0,141878821.0,141878821.0
138677816.0,-220634.0,-220634.0,-220634.0,-220634.0
141875770.0,136664104.0,139388459.0,136664104.0,136664104.0
104540219.0,139388459.0,145369643.0,139388459.0,139388459.0
145392188.0,145369643.0,145463341.0,145369643.0,145369643.0
146176061.0,145463341.0,140768304.0,145463341.0,145463341.0
140282945.0,140768304.0,142282805.0,142282805.0,140768304.0
138074691.0,142282805.0,141875770.0,138677816.0,142282805.0
140423751.0,138677816.0,104540219.0,141875770.0,138677816.0
145218631.0,141875770.0,145392188.0,104540219.0,141875770.0
141813833.0,104540219.0,145113149.0,145392188.0,104540219.0
142388831.0,145392188.0,146176061.0,145113149.0,145392188.0
141647969.0,145113149.0,140282945.0,146176061.0,145113149.0
145231469.0,146176061.0,138074691.0,140282945.0,146176061.0
73906286.0,140282945.0,142551619.0,138074691.0,140282945.0
91422831.0,138074691.0,140423751.0,142551619.0,138074691.0
129182320.0,142551619.0,145218631.0,140423751.0,140423751.0
132329076.0,140423751.0,141813833.0,145218631.0,145218631.0
140308087.0,145218631.0,142388831.0,141813833.0,141813833.0
-217470.0,141813833.0,141647969.0,142388831.0,142388831.0
-252795.0,142388831.0,137111657.0,141647969.0,141647969.0
140311175.0,141647969.0,145231469.0,137111657.0,137111657.0
130035856.0,145231469.0,73906286.0,145231469.0,145231469.0
142525074.0,73906286.0,91422831.0,73906286.0,73906286.0
127341718.0,91422831.0,129182320.0,91422831.0,91422831.0
131537561.0,129182320.0,132329076.0,129182320.0,129182320.0
142555813.0,132329076.0,52351607.0,132329076.0,132329076.0
142278823.0,52351607.0,140308087.0,52351607.0,52351607.0
146115753.0,140308087.0,-217470.0,140308087.0,140308087.0
140782771.0,-217470.0,-252795.0,-217470.0,-217470.0
139730110.0,-252795.0,47315084.0,-252795.0,-252795.0
144643776.0,47315084.0,130035856.0,140311175.0,140311175.0
142296259.0,130035856.0,142525074.0,47315084.0,47315084.0
142520517.0,142525074.0,142404758.0,130035856.0,130035856.0
142215885.0,142404758.0,127341718.0,142525074.0,142525074.0
143166686.0,127341718.0,139191449.0,142404758.0,142404758.0
145175262.0,139191449.0,131537561.0,127341718.0,127341718.0
131770096.0,131537561.0,128562337.0,139191449.0,139191449.0
