offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_BHZ_NB_tuberculos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,252263#252257#319043#374271
20220420_BHZ_NB_verduras_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,252251#252243#313551#430958
20220420_BHZ_NB_frutas_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,252255#252249#252261#351707#374393#374274#252267#319047
20220420_BHZ_NB_legumes_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,252259#252245#252253#313549#252265#310989#313543
20220420_BHZ_NB_leite_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,328374#328373#358740#358739#251902#251901
20220420_BHZ_NB_ovos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,360089
20220420_BHZ_NB_detergentesabaoelava-louas_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,258304#258305#258304#258305#258286#258287#258280#258281#258253#258254
20220420_BHZ_NB_feijao_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,269746#269745#389740#389739#269746#269745#269748#269749#389740#389739
20220420_BHZ_NB_frango_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,322415#322413#322414#322415#322413#322414#322415#322413#322414#322431#322429#322430#322431#322429#322430#322423#322421#322422#322401#322403#322402#322431#322429#322430#322423#322421#322422#322389#322391#322390#263237#263338#263339#263229#263230#263231#322409#322411#322410#322423#322421#322422#322405#322407#322406#322401#322403#322402#322393#322394#322395#304384#304380#304382#263345#263346#263347#324889#324891#324890#263349#263351#263350#400293#400295#400294
20220420_BHZ_NB_suinos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,263745#263747#263746#263749#263750#263751#263761#263763#263762#263745#263747#263746#428623#428624#263749#263750#263751#263749#263750#263751
20220420_BHZ_NB_embutidos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,263365#263367#263366#263084#263086#263085#263076#263078#263077#400289#400290#400291#263385#263387#263386#263741#263742#263743#428525#428527#428526#428525#428527#428526#263953#263955#263954#263773#263775#263365#263367#263366#263663#428525#428527#428526#263365#263367#263366#428603#428604#400289#400290#400291#381633#381635#381634#263769#263771#356843#356844#400289#400290#400291
20220420_BHZ_NB_carnevermelha_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,322489#322491#322490#322493#322494#322495#322497#322498#322499#322505#322506#322507#263357#263358#263359#382291#382293#382292#322489#322491#322490#263300#263301#263302#263072#263074#263073#322489#322491#322490#263308#263310#263309
20220420_BHZ_NB_peixesefrutosdomar_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,263539#263541#263540#262884#262886#262885#262888#262890#262889#263551#263553#263552#262892#263539#263541#263540#428517#428519#428518#263547#263549#263548#263539#263541#263540
20220420_BHZ_NB_bebidas,,18,true,20-04-2022,28-04-2022,12,1,,258190#258191#258190#258191#258193#258194#258178#258179#258184#258185#258175#258176#258172#258173#258181#258182#258169#258170#258175#258176#258193#258194#258166#258167#363897#363896#363897#363896#258142#258143#258142#258143#324005#324003#324004#324005#324003#324004#258146#258145#304089#363887#363888#419187#419185#419186#419187#419185#419186#258148#258149#304090#363870#363871#363872#258148#258149#304090#258148#258149#304090#258160#258161#363879#363880#258151#258152
20220420_BHZ_NB_congelados,,18,true,20-04-2022,28-04-2022,12,1,,356539#356790#356788#356539#356790#356788#356539#356790#356788#263673#263671#263672#263673#263671#263672#263667#263668#263669#356875#356876#356877#382303#382305#382304#382299#382300#382301#263673#263671#263672#356883#356884#356885#263677#263675#263676#263667#263668#263669#263667#263668#263669#263677#263675#263676#356879#356881#356880#263583#263585#263584#263603#263605#263604#263599#263601#263600#263595#263597#263596#263575#263577#263576#263579#263581#263580#263591#263593#263592#263587
20220420_BHZ_NB_laticinioseovos,,18,true,20-04-2022,28-04-2022,12,1,,263788#263789#263790#263377#263379#263378#263787#263939#263938#263941#263942#263943#263945#263946#263947#263753#263754#263755#263792#263793#263753#263754#263755#263784#263783#263785#356847#356849#356848#263784#263783#263785#328374#328373#358740#358739#251902#251901#356859#356860#356861#263655#263657#263656#356863#356865#356864#263651#263652#263653#263328#263330#263329#263332#263334#263333#356851#356853#356852#262917#262918#262919#263451#263452#263453#356855#356859#356860#356861#356859#356860#356861#263659#263661#263660#263639#263640#356863#356865#356864#373793#373794#373795#263439#263440#263441#358763#358764#251819#251820#251822#251823#251895#251896#251819#251820#358763#358764#360089
20220420_BHZ_NB_limpezaehigiene,,18,true,20-04-2022,28-04-2022,12,1,,258272#258271#258238#258239#258278#258277#258238#258239#258274#258275#258272#258271#258260#258259#258317#258316#258278#258277#258256#258257#258302#258301#258302#258301#258256#258257#258304#258305#258304#258305#258286#258287#258280#258281#258253#258254#258250#258251#258244#258245#258244#258245#258343#258344#258343#258344
20220420_BHZ_NB_descartaveis,,18,true,20-04-2022,28-04-2022,12,1,,363862#363863#363862#363863#353296#353297#353311#353312#353300#353301#328245#328246#328245#328246#333875#333874#258217#258218#258205#258206#258217#258218#258205#258206#258223#258224#258223#258224#258211#258212#301739#301740#258196#258197#258220#258221#258202#258203#366189#366190#328284#328285#328284#328285#328282#328281#328282#328281#353314#353315#328278#328279#333859#333860#333856#333857#333859#333860#333862#333863#333856#333857
