20220420_BHZ_NB_bebidas,20220420_BHZ_NB_congelados,20220420_BHZ_NB_laticinioseovos,20220420_BHZ_NB_limpezaehigiene,20220420_BHZ_NB_descartaveis
139695106.0,145951744.0,142989316.0,142989316.0,142989316.0
142972420.0,139695106.0,145917962.0,144374277.0,142411784.0
144374277.0,142989316.0,143482893.0,139256326.0,145917962.0
142411784.0,142411784.0,64763923.0,129973255.0,143482893.0
139811336.0,145917962.0,145342490.0,142411784.0,145342490.0
134544394.0,134544394.0,84518941.0,142972420.0,84518941.0
143547912.0,143482893.0,142925856.0,134544394.0,142925856.0
141819401.0,142234638.0,140355619.0,140483083.0,138692641.0
139808266.0,64763923.0,136730661.0,145125900.0,140355619.0
64763923.0,145342490.0,138094630.0,143547912.0,136730661.0
144375315.0,139086875.0,67385383.0,139316754.0,139227174.0
145822743.0,84518941.0,140419112.0,144375315.0,67385383.0
145237528.0,141581342.0,142925864.0,142193176.0,142925864.0
145342490.0,142925856.0,139175992.0,145237528.0,142370884.0
139086875.0,138692641.0,143913029.0,145342490.0,142903365.0
145128988.0,140355619.0,139751497.0,139086875.0,139751497.0
141694493.0,145361955.0,139710552.0,84518941.0,145461329.0
141581342.0,136730661.0,139743322.0,141694493.0,142379094.0
139078175.0,139227174.0,139780187.0,139078175.0,139710552.0
143592480.0,138094630.0,141772890.0,142925856.0,141772890.0
138692641.0,140419112.0,139677792.0,145361955.0,145160295.0
140355619.0,67385383.0,145160295.0,145358371.0,143538280.0
139653668.0,142925864.0,139806824.0,136730661.0,142332013.0
136730661.0,142378020.0,142332013.0,139227174.0,129239150.0
139227174.0,131429418.0,129239150.0,67385383.0,145240176.0
67385383.0,139175992.0,142907516.0,140419112.0,142186617.0
140419112.0,138695741.0,142471305.0,142374437.0,142907516.0
142925864.0,143537213.0,141705354.0,142340660.0,142471305.0
127502884.0,142370884.0,89442446.0,87383606.0,89442446.0
145072681.0,142903365.0,142377103.0,145452598.0,140234895.0
131429418.0,143913029.0,145084558.0,143092281.0,143515796.0
140359205.0,142400581.0,145232019.0,135038524.0,143104154.0
