offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220325_BOG_NB_tuberculos_W12,,16,true,25-03-2022,01-04-2022,2,2,,-302769#-302061#58488#56283#-302769#-302061#58488#56283#56112#56110#59057#70468#59055#70466#56112#56110#59057#70468#59055#70466#-302769#-302061#58488#56283#56112#56110#59057#70468#59055#70466#94271#-302265#150900#-302769#-302061#58488#56283#-303201#-302175#-302424#-301494#132490#60070#-302163#-303459#59065#48738#358689#132738#59067#59063#48790#132740#358693#358691#-302196#56112#56110#59057#70468#59055#70466#-303459#59065#48738#358689#132738#59067#59063#48790#132740#358693#358691#-302196#-303201#-302175#-302424#-301494#132490#60070#-302163#-303459#59065#48738#358689#132738#59067#59063#48790#132740#358693#358691#-302196#-303201#-302175#-302424#-301494#132490#60070#-302163
20220325_BOG_NB_verduras_W12,,20,true,25-03-2022,01-04-2022,50,2,,-300324#-300327#58813#-300330#-300882#-303333#-303336#-300324#-300327#58813#-300330#-300165#58827#-303432#-303339#-303354#59130#-303342#59132#-301119#-303432#-303339#-303354#59130#-303342#59132#-303432#-303339#-303354#59130#-303342#59132#-301296#-301266#58822#-302802#-303408#58478#-301104#134651#-301158#134653#-303300#58952#58979#-303267#-302361#58977#58979#-303267#-302361#58977#150741#150743#150745#150747#150483#150487#150485#150689#58979#-303267#-302361#58977#-301056#-301059#211601#-301206#-301209#-303432#-303339#-303354#59130#-303342#59132#-303432#-303339#-303354#59130#-303342#59132#150758#150754#150760#150756#-301056#-301059#211601#-303333#-303336#12058#12060#58483#12156#58473#58979#-303267#-302361#58977#-301296#-301266#58822#-303240#150758#150754#150760#150756#-300252#-300294#59123#32734#-302370#48702#58967#-303402#-302364#-302808#-302805#-301206#-301209#147156#-301203#59079#-303462#-303450#-301194#59094#150741#150743#150745#150747#150483#150487#150485#150689#150758#150754#150760#150756#-303171#48723#-301464#-300183#59143#150758#150754#150760#150756#-300933#-300939#-300324#-300327#58813#-300330#12058#12060#58483#-302808#-302805#-302040#-302052#58793#-303462#-303450
20220325_BOG_NB_frutas_W12,,20,true,25-03-2022,01-04-2022,50,2,,-301131#48733#-302379#58962#-303249#-303252#-300531#98138#-303249#-303252#-300531#98138#-302271#-302286#367833#-302313#59028#-302301#150910#-302772#56867#56869#-302271#-302286#367833#144924#144936#144920#144934#144938#144922#-301131#48733#-300036#-302379#58962#-302313#59028#-300138#58947#144924#144936#144920#144934#144938#144922#-300093#-300147#-300120#150925#150927#150929#-302199#144878#144882#144886#144888#144884#211590#144880#211594#211592#-300078#58985#-303180#-302328#-302331#-302325#59008#65867#-302319#59018#-302376#150936#144878#144882#144886#144888#144884#211590#144880#211594#211592#144924#144936#144920#144934#144938#144922#12091#54045#12038#59074#144878#144882#144886#144888#144884#211590#144880#211594#211592#56867#56869#-302640#-303243#58994#-302328#-302331#-302325#59008#65867#-303249#-303252#-300531#98138#-300093#-300147#-300120#150925#150927#150929#12091#54045#12038#59074#-302322#71964#-303249#-303252#-300531#98138#144878#144882#144886#144888#144884#211590#144880#211594#211592#51156#65925#-300093#-300147#-300120#150925#150927#150929
20220325_BOG_NB_huevos_W12,,10,true,25-03-2022,01-04-2022,12,2,,169189#290511#130690#136080#136082#161739#161740
20220325_BOG_NB_aceitesygrasas_W12,,10,true,25-03-2022,01-04-2022,2,2,,283255#340889#340895#212501#89946#114505#341789#341790#344339#344340#333298#131489#162590#340889#340895#114503
20220325_BOG_NB_vasos_W12,,10,true,25-03-2022,01-04-2022,6,2,,274948#274949#274948#274949#277245#277246#274955#274954#41258#274955#274954#277245#277246#329245#329244#274946#274945#329247#329248#329245#329244#277242#277243#329247#329248#274961#274960#277242#277243#274946#274945#274952#274951#287090#287089
20220325_BOG_NB_contenedores_W12,,10,true,25-03-2022,01-04-2022,6,2,,9991#118010#178589#102355#82996#57791#9991#118010#145643#145458#118027#118025#111139#31507#118020#31501#118015#71944#102355#82996#57817#61757#118033#118027#118025#111139#118027#118025#111139#57803
20220325_BOG_NB_papelytoallas_W12,,15,true,25-03-2022,01-04-2022,12,2,,197543#254437#421595#197341#197541#421592#421593#421594#197545#421596#421597#75487#126189#421380#421381#421379#197543#254437#421595#-301122#420393#420394#420395#75487#126189#421380#421381#421379#197343#417928#417929#197553#417935#197347#417931#75376#179747#179739#197345#417930#75345#421382#336743#336742#126854#423338#336743#336742#197547#417932#-302211#420399#75487#126189#421380#421381#421379
20220325_BOG_NB_pollo_W12,,18,true,25-03-2022,01-04-2022,10,2,,24106#73744#273998#80658#88865#239244#394839#24106#73744#273998#84440#239246#313145#259095#259096#24106#73744#273998#80658#88865#389953#313153#312789#312791#187093#210457#240538#259095#259096#313155#313147
20220325_BOG_NB_res_W12,,18,true,25-03-2022,01-04-2022,12,2,,262089#260830#260836#260837#84477#70953#209297#213412#256517#239389#121688#127045#394738#199447#199439#419110#127049#199443#260818#356251#70686#260833#256537#404301#256523#260821#404289#127037#199445#209289#209297#213412#256534#260836#260837#256520
20220325_BOG_NB_cerdo_W12,,18,true,25-03-2022,01-04-2022,10,2,,350244#394588#356239#394589#350244#394588#176446#394638#307497#307495#333684#326105#260827#307503#366673#307499#366667#356239#394589#366645#376039#121422#356243#366653#366665#307505#333682#176446#394638#307507
20220325_BOG_NB_pescadosymariscoscongelado_W12,,18,true,25-03-2022,01-04-2022,10,2,,179757#86872#168262#215626#230589#84635
20220325_BOG_NB_embutidos_W12,,18,true,25-03-2022,01-04-2022,10,2,,146297#353643#146305#146291#353647#121604#353639
20220325_BOG_NB_bebidas,,18,true,25-03-2022,02-04-2022,12,1,,194399#271114#271116#271115#227091#194393#271110#271112#271111#271118#271120#271119#194389#227089#257335#194403#257333#257339#295238#295239#271092#271093#271114#271116#271115#257291#271098#271099#271118#271120#271119#271110#271112#271111#257337#257325#295240#295241#271114#271116#271115#257295
20220325_BOG_NB_congelados,,18,true,25-03-2022,02-04-2022,12,1,,77594#48855#-303366#77623#-301350#48886#77609#48869#-300042#77575#-300108#48844#77599#-300057#48862#147145#147147#77628#-300468#77615#48984#77594#48855#-303366#77566#49001#147145#147147#86858#412928#244593#351389#168438#86858#412928#244589
