20220328_BOG_NB_tuberculos_W13,20220328_BOG_NB_verduras_W13,20220328_BOG_NB_frutas_W13,20220328_BOG_NB_huevos_W13,20220328_BOG_NB_aceitesygrasas_W13,20220328_BOG_NB_vasos_W13,20220328_BOG_NB_contenedores_W13,20220328_BOG_NB_papelytoallas_W13
-229371.0,39813125.0,112058372.0,126795777.0,112058372.0,126795777.0,126795777.0,126795777.0
39813125.0,-229371.0,39813125.0,-229371.0,39813125.0,-229371.0,112058372.0,112058372.0
16023559.0,16023559.0,-229371.0,39813125.0,125018118.0,39813125.0,39813125.0,39813125.0
17121288.0,16228359.0,16023559.0,16023559.0,16023559.0,16023559.0,-229371.0,-229371.0
19283978.0,107077637.0,125018118.0,19283978.0,16228359.0,17121288.0,16023559.0,16023559.0
106921997.0,19283978.0,16228359.0,117587980.0,17121288.0,19283978.0,125018118.0,125018118.0
22970383.0,-204792.0,114270218.0,106921997.0,19283978.0,106921997.0,17121288.0,17121288.0
107347984.0,22970383.0,17121288.0,125861902.0,107077637.0,125861902.0,114270218.0,19283978.0
85278738.0,107347984.0,19283978.0,22970383.0,-204792.0,22970383.0,19283978.0,107077637.0
56524826.0,39837713.0,106921997.0,107347984.0,106921997.0,107347984.0,107077637.0,-204792.0
90308641.0,85278738.0,107077637.0,85278738.0,125861902.0,90308641.0,-204792.0,106921997.0
112230433.0,34431001.0,22970383.0,56524826.0,22970383.0,112230433.0,125861902.0,125861902.0
106545197.0,16310301.0,107347984.0,112230433.0,107347984.0,106545197.0,22970383.0,22970383.0
33767473.0,90308641.0,-204792.0,106545197.0,85352464.0,33767473.0,107347984.0,107347984.0
17907764.0,112230433.0,85278738.0,33767473.0,19185682.0,17907764.0,85352464.0,85278738.0
16465975.0,131620907.0,85352464.0,17907764.0,85278738.0,-212938.0,39837713.0,-253931.0
99860536.0,106545197.0,39837713.0,-212938.0,39837713.0,16465975.0,-253931.0,124264474.0
118931511.0,33767473.0,34431001.0,99860536.0,-253931.0,99860536.0,56524826.0,16310301.0
22020154.0,17907764.0,56524826.0,118931511.0,34431001.0,118931511.0,124264474.0,133554205.0
125927487.0,17997877.0,124264474.0,22020154.0,124264474.0,22020154.0,16310301.0,90308641.0
120651842.0,118931511.0,16310301.0,125927487.0,16310301.0,125927487.0,133554205.0,112230433.0
31080516.0,99860536.0,90308641.0,120651842.0,133554205.0,120651842.0,90308641.0,131620907.0
109936719.0,15245369.0,112230433.0,31080516.0,90308641.0,31080516.0,112230433.0,106545197.0
17907792.0,22020154.0,129835047.0,109936719.0,112230433.0,109936719.0,129835047.0,33767473.0
49856603.0,17850429.0,131620907.0,15302738.0,129835047.0,113524828.0,106545197.0,16048178.0
-229282.0,20406334.0,106545197.0,49856603.0,106545197.0,-229282.0,33767473.0,17907764.0
56049767.0,125927487.0,33767473.0,113524828.0,33767473.0,56049767.0,16048178.0,-212938.0
-229268.0,17850432.0,16048178.0,56049767.0,17907764.0,-229268.0,17907764.0,16465975.0
123240590.0,31080516.0,17907764.0,52248712.0,-212938.0,133300361.0,-212938.0,99860536.0
-212843.0,23945284.0,16465975.0,133300361.0,118931511.0,123240590.0,16465975.0,15245369.0
9765014.0,15302738.0,99860536.0,123240590.0,99860536.0,-212843.0,99860536.0,22020154.0
15401111.0,39936083.0,15245369.0,-212843.0,15245369.0,9765014.0,15245369.0,17850429.0
81969305.0,62218326.0,22020154.0,9765014.0,22020154.0,15401111.0,118931511.0,20406334.0
127565985.0,52895831.0,17850429.0,15401111.0,20406334.0,81969305.0,17850429.0,125927487.0
89981092.0,49856603.0,20406334.0,81969305.0,125927487.0,127565985.0,20406334.0,-253889.0
16040103.0,49766492.0,125927487.0,127565985.0,-253889.0,89981092.0,125927487.0,17850432.0
24084648.0,-221082.0,17850432.0,89981092.0,17850432.0,24084648.0,-253889.0,31080516.0
-229207.0,56049767.0,120651842.0,16040103.0,120651842.0,-229207.0,17850432.0,23945284.0
18727082.0,17457260.0,31080516.0,24084648.0,31080516.0,18727082.0,120651842.0,-237487.0
100286634.0,15540333.0,23945284.0,-229207.0,23945284.0,54771886.0,31080516.0,15302738.0
54771886.0,120807532.0,109936719.0,18727082.0,16703556.0,17907900.0,23945284.0,-253870.0
95289533.0,113582212.0,17907792.0,54771886.0,109936719.0,19660992.0,40624206.0,16687186.0
108429504.0,123240590.0,-253870.0,-229194.0,17907792.0,131580097.0,109936719.0,39936083.0
19660992.0,61989007.0,16687186.0,95289533.0,-237487.0,-212797.0,-253870.0,62218326.0
131580097.0,117973136.0,39936083.0,19660992.0,73146454.0,26362052.0,39936083.0,52895831.0
-212797.0,-212843.0,62218326.0,131580097.0,52895831.0,131023049.0,73146454.0,49766492.0
26362052.0,9765014.0,52895831.0,-212797.0,62218326.0,132055242.0,52895831.0,-237469.0
131023049.0,15401111.0,49766492.0,26362052.0,113524828.0,35864778.0,49856603.0,56049767.0
132055242.0,131014813.0,-221082.0,131023049.0,49766492.0,119652566.0,113524828.0,-229268.0
131629260.0,127565985.0,56049767.0,132055242.0,-229282.0,106266848.0,49766492.0,15540333.0
35864778.0,121757859.0,-229268.0,131629260.0,16572514.0,33554659.0,-229282.0,17457260.0
-212789.0,15769766.0,15540333.0,35864778.0,-237469.0,119226599.0,-237469.0,113582212.0
