20220325_BOG_NB_pollo_W12,20220325_BOG_NB_res_W12,20220325_BOG_NB_cerdo_W12,20220325_BOG_NB_pescadosymariscoscongelado_W12,20220325_BOG_NB_embutidos_W12
126795777.0,126795777.0,126795777.0,126795777.0,126795777.0
-229371.0,-229371.0,-229371.0,-229371.0,39813125.0
39813125.0,39813125.0,39813125.0,39813125.0,16023559.0
16023559.0,16023559.0,16023559.0,16023559.0,17121288.0
17121288.0,17121288.0,17121288.0,17121288.0,19283978.0
19283978.0,19283978.0,19283978.0,19283978.0,117587980.0
117587980.0,117587980.0,106921997.0,106921997.0,106921997.0
106921997.0,106921997.0,125861902.0,125861902.0,125861902.0
125861902.0,125861902.0,22970383.0,22970383.0,22970383.0
22970383.0,22970383.0,107347984.0,107347984.0,107347984.0
107347984.0,107347984.0,85278738.0,19185682.0,19185682.0
85278738.0,85278738.0,56524826.0,85278738.0,85278738.0
56524826.0,56524826.0,90308641.0,56524826.0,56524826.0
90308641.0,90308641.0,112230433.0,90308641.0,90308641.0
106545197.0,112230433.0,106545197.0,112230433.0,112230433.0
33767473.0,106545197.0,33767473.0,106545197.0,106545197.0
17907764.0,33767473.0,17907764.0,33767473.0,33767473.0
-212938.0,17907764.0,-212938.0,17907764.0,17907764.0
99860536.0,-212938.0,16465975.0,-212938.0,-212938.0
22020154.0,99860536.0,99860536.0,99860536.0,16465975.0
31080516.0,118931511.0,118931511.0,118931511.0,99860536.0
109936719.0,22020154.0,22020154.0,22020154.0,22020154.0
17907792.0,120651842.0,120651842.0,120651842.0,120651842.0
49856603.0,31080516.0,31080516.0,31080516.0,31080516.0
113524828.0,109936719.0,109936719.0,109936719.0,109936719.0
-229282.0,17907792.0,17907792.0,17907792.0,17907792.0
126664809.0,49856603.0,113524828.0,49856603.0,15302738.0
-229268.0,113524828.0,-229282.0,113524828.0,49856603.0
52248712.0,-229282.0,126664809.0,-229282.0,113524828.0
123240590.0,56049767.0,52248712.0,56049767.0,-229282.0
-212843.0,126664809.0,123240590.0,126664809.0,56049767.0
9765014.0,-229268.0,-212843.0,-229268.0,126664809.0
15401111.0,52248712.0,9765014.0,52248712.0,-229268.0
81969305.0,123240590.0,15401111.0,123240590.0,52248712.0
89981092.0,-212843.0,81969305.0,-212843.0,123240590.0
16040103.0,9765014.0,127565985.0,9765014.0,-212843.0
-229207.0,15401111.0,89981092.0,15401111.0,9765014.0
18727082.0,81969305.0,24084648.0,81969305.0,15401111.0
100286634.0,127565985.0,-229207.0,127565985.0,127565985.0
