20220517_BOG_NB_tuberculos_W20,20220517_BOG_NB_verduras_W20,20220517_BOG_NB_frutas_W20,20220517_BOG_NB_huevos_W20,20220517_BOG_NB_aceitesygrasas_W20,20220517_BOG_NB_vasos_W20,20220517_BOG_NB_contenedores_W20,20220517_BOG_NB_papelytoallas_W20,20220517_BOG_NB_arroz_W20,20220517_BOG_NB_frutasjugo_W20,20220517_BOG_NB_bebidassinalcohol_W20
-229371.0,39813125.0,112058372.0,-229371.0,112058372.0,39813125.0,112058372.0,-229371.0,112058372.0,-229371.0,39813125.0
39813125.0,125018118.0,39813125.0,39813125.0,39813125.0,16023559.0,39813125.0,39813125.0,39813125.0,39813125.0,16023559.0
16023559.0,16023559.0,-229371.0,16023559.0,-229371.0,17121288.0,-229371.0,16023559.0,-229371.0,16023559.0,17121288.0
17121288.0,16228359.0,16023559.0,17121288.0,16023559.0,148127752.0,16023559.0,17121288.0,16023559.0,17121288.0,148127752.0
148127752.0,148127752.0,125018118.0,148127752.0,125018118.0,42156046.0,125018118.0,148127752.0,125018118.0,148127752.0,117587980.0
42156046.0,114270218.0,16228359.0,117587980.0,16228359.0,107347984.0,17121288.0,42156046.0,16228359.0,117587980.0,42156046.0
107347984.0,-204792.0,17121288.0,42156046.0,114270218.0,138018833.0,114270218.0,107347984.0,114270218.0,42156046.0,107347984.0
138018833.0,42156046.0,148127752.0,107347984.0,17121288.0,128466960.0,148127752.0,138018833.0,17121288.0,107347984.0,138018833.0
128466960.0,107347984.0,-204792.0,138018833.0,148127752.0,85278738.0,117587980.0,128466960.0,148127752.0,138018833.0,128466960.0
85278738.0,138018833.0,42156046.0,128466960.0,117587980.0,90308641.0,-204792.0,19185682.0,117587980.0,85278738.0,19185682.0
90308641.0,128466960.0,107347984.0,19185682.0,42156046.0,155648041.0,42156046.0,85278738.0,42156046.0,153534486.0,85278738.0
156450856.0,85278738.0,128466960.0,85278738.0,-204792.0,33767473.0,107347984.0,90308641.0,-204792.0,90308641.0,90308641.0
135266345.0,139747347.0,85278738.0,90308641.0,107347984.0,17907764.0,138018833.0,156450856.0,107347984.0,156450856.0,135266345.0
155648041.0,-253931.0,85352464.0,135266345.0,128466960.0,156303413.0,128466960.0,155648041.0,138018833.0,155648041.0,33767473.0
33767473.0,124264474.0,39837713.0,155648041.0,85278738.0,-212938.0,85278738.0,33767473.0,128466960.0,33767473.0,17907764.0
17907764.0,158064671.0,-253931.0,33767473.0,39837713.0,22020154.0,39837713.0,17907764.0,19185682.0,17907764.0,156303413.0
156303413.0,90308641.0,139747347.0,17907764.0,139747347.0,150945853.0,-253931.0,156303413.0,85278738.0,156303413.0,-212938.0
22020154.0,135266345.0,34431001.0,-212938.0,-253931.0,17907792.0,148217878.0,-212938.0,-253931.0,-212938.0,16465975.0
150945853.0,33767473.0,124264474.0,16465975.0,148217878.0,49856603.0,139747347.0,22020154.0,139747347.0,16465975.0,22020154.0
17907792.0,16048178.0,158064671.0,22020154.0,153534486.0,113524828.0,124264474.0,150945853.0,34431001.0,22020154.0,150945853.0
49856603.0,17907764.0,90308641.0,150945853.0,34431001.0,-229282.0,158064671.0,49856603.0,124264474.0,150945853.0,17907792.0
113524828.0,142565433.0,156450856.0,17907792.0,124264474.0,-229280.0,90308641.0,113524828.0,158064671.0,120651842.0,49856603.0
-229282.0,22020154.0,135266345.0,15302738.0,158064671.0,56049767.0,156450856.0,-229282.0,90308641.0,17907792.0,113524828.0
-229280.0,150945853.0,155648041.0,49856603.0,90308641.0,156369000.0,135266345.0,-229280.0,156450856.0,15302738.0,-229282.0
56049767.0,40624206.0,131620907.0,113524828.0,156450856.0,16400489.0,155648041.0,56049767.0,135266345.0,49856603.0,-229280.0
156369000.0,137977936.0,18341936.0,-229282.0,33767473.0,155074665.0,131620907.0,156369000.0,155648041.0,113524828.0,56049767.0
16400489.0,73146454.0,33767473.0,-229280.0,16048178.0,156516469.0,33767473.0,16400489.0,131620907.0,-229282.0,16400489.0
