20220517_BOG_NB_congelados,20220517_BOG_NB_aseoehigiene,20220517_BOG_NB_lacteosyhuevos,20220517_BOG_NB_desechables
-229371.0,112058372.0,39813125.0,39813125.0
39813125.0,39813125.0,16023559.0,125018118.0
16023559.0,-229371.0,17121288.0,16023559.0
17121288.0,16023559.0,148127752.0,148127752.0
148127752.0,125018118.0,117587980.0,-204792.0
117587980.0,16228359.0,42156046.0,42156046.0
42156046.0,114270218.0,107347984.0,107347984.0
107347984.0,148127752.0,138018833.0,138018833.0
128466960.0,-204792.0,128466960.0,128466960.0
19185682.0,42156046.0,19185682.0,85278738.0
85278738.0,107347984.0,85278738.0,39837713.0
153534486.0,85352464.0,90308641.0,-253931.0
90308641.0,19185682.0,155648041.0,148217878.0
156450856.0,85278738.0,33767473.0,139747347.0
135266345.0,139747347.0,17907764.0,124264474.0
155648041.0,-253931.0,-212938.0,90308641.0
33767473.0,124264474.0,22020154.0,131620907.0
17907764.0,90308641.0,150945853.0,33767473.0
156303413.0,33767473.0,17907792.0,16048178.0
16465975.0,16048178.0,49856603.0,17907764.0
22020154.0,17907764.0,113524828.0,-212938.0
150945853.0,142565433.0,-229282.0,142565433.0
17907792.0,22020154.0,-229280.0,150945853.0
49856603.0,150945853.0,56049767.0,16703556.0
113524828.0,17850432.0,156369000.0,137977936.0
-229280.0,16703556.0,156516469.0,39936083.0
56049767.0,137977936.0,154173558.0,73146454.0
156369000.0,-237487.0,133300361.0,49856603.0
16400489.0,16687186.0,136577172.0,113524828.0
155074665.0,-253870.0,9765014.0,-229282.0
156516469.0,39936083.0,81969305.0,-229280.0
133300361.0,73146454.0,89981092.0,-237469.0
136577172.0,49856603.0,155304101.0,-221082.0
-212843.0,113524828.0,16040103.0,56049767.0
9765014.0,-229280.0,24084648.0,156369000.0
81969305.0,-237469.0,-229207.0,16400489.0
89981092.0,-221082.0,100286634.0,155074665.0
155304101.0,56049767.0,54771886.0,21733483.0
16040103.0,16400489.0,-229194.0,17457260.0
24084648.0,155074665.0,110411963.0,15540333.0
-229207.0,21733483.0,17907900.0,139698285.0
100286634.0,17457260.0,95289533.0,156516469.0
18727082.0,15540333.0,108429504.0,157245561.0
54771886.0,139698285.0,19660992.0,157753467.0
110411963.0,156516469.0,131580097.0,113647740.0
17907900.0,157753467.0,-212797.0,113582212.0
95289533.0,113647740.0,149422279.0,133300361.0
108429504.0,113582212.0,132055242.0,17457291.0
19660992.0,133300361.0,-229173.0,16228497.0
131580097.0,17457291.0,-212789.0,40198290.0
-212797.0,16228497.0,134217941.0,-212843.0
149422279.0,40198290.0,154042589.0,81969305.0
132055242.0,-212843.0,152600798.0,120676507.0
-229173.0,81969305.0,106266848.0,121757859.0
134217941.0,120676507.0,119226599.0,89981092.0
154042589.0,121757859.0,159580394.0,96395432.0
106266848.0,89981092.0,102596850.0,-229207.0
119226599.0,16040103.0,9748730.0,100286634.0
159580394.0,96395432.0,106578184.0,18727082.0
120914162.0,-229207.0,31146250.0,54771886.0
102596850.0,100286634.0,47022348.0,56402097.0
9748730.0,18727082.0,157417740.0,74490036.0
106578184.0,156459176.0,146850058.0,-229194.0
31146250.0,54771886.0,112951570.0,158572727.0
47022348.0,56402097.0,104317205.0,15573175.0
157417740.0,74490036.0,38879515.0,15229111.0
146850058.0,158572727.0,156320027.0,155197626.0
112951570.0,15573175.0,16384291.0,146497719.0
104317205.0,84910264.0,159858982.0,14409918.0
38879515.0,120692921.0,141951278.0,-220993.0
156320027.0,15229111.0,16417071.0,108429504.0
16384291.0,95289533.0,136577332.0,19660992.0
157008163.0,14409918.0,15679800.0,131580097.0
159858982.0,-220993.0,16924985.0,-212797.0
41582889.0,108429504.0,-229054.0,132055242.0
141951278.0,19660992.0,15663427.0,-212789.0
136577332.0,131580097.0,106332485.0,15147212.0
15679800.0,-212797.0,15663430.0,138748113.0
16924985.0,132055242.0,114032968.0,134217941.0
-229054.0,15147212.0,-212663.0,154042589.0
15663427.0,138748113.0,-229045.0,-220963.0
106332485.0,17604826.0,38388046.0,106266848.0
15663430.0,15114458.0,115425615.0,42377445.0
114032968.0,-220963.0,18202959.0,114122981.0
-212663.0,106266848.0,120160593.0,119226599.0
-229045.0,-220958.0,139886935.0,79470824.0
38388046.0,42377445.0,42516831.0,15589606.0
115425615.0,15589606.0,15270246.0,139780326.0
18202959.0,119226599.0,143704422.0,115384555.0
120160593.0,79470824.0,146948463.0,53797097.0
139886935.0,139780326.0,15532408.0,-204563.0
15270246.0,53797097.0,-212615.0,102596850.0
143704422.0,-204563.0,116162940.0,48374004.0
146948463.0,48374004.0,18055549.0,125018359.0
