20220517_BOG_NB_pollo_W20,20220517_BOG_NB_res_W20,20220517_BOG_NB_cerdo_W20,20220517_BOG_NB_pescadosymariscoscongelado_W20,20220517_BOG_NB_embutidos_W20
-229371.0,-229371.0,39813125.0,-229371.0,-229371.0
39813125.0,39813125.0,16023559.0,39813125.0,39813125.0
16023559.0,16023559.0,17121288.0,16023559.0,16023559.0
17121288.0,17121288.0,148127752.0,17121288.0,17121288.0
148127752.0,148127752.0,117587980.0,148127752.0,148127752.0
117587980.0,117587980.0,42156046.0,117587980.0,117587980.0
42156046.0,42156046.0,107347984.0,42156046.0,42156046.0
107347984.0,107347984.0,128466960.0,107347984.0,107347984.0
138018833.0,128466960.0,85278738.0,138018833.0,128466960.0
128466960.0,19185682.0,153534486.0,128466960.0,19185682.0
85278738.0,85278738.0,90308641.0,19185682.0,85278738.0
153534486.0,153534486.0,156450856.0,85278738.0,153534486.0
90308641.0,90308641.0,135266345.0,153534486.0,90308641.0
135266345.0,156450856.0,155648041.0,90308641.0,156450856.0
155648041.0,135266345.0,33767473.0,156450856.0,135266345.0
33767473.0,155648041.0,17907764.0,135266345.0,155648041.0
17907764.0,33767473.0,156303413.0,155648041.0,33767473.0
22020154.0,17907764.0,16465975.0,33767473.0,17907764.0
150945853.0,156303413.0,22020154.0,17907764.0,156303413.0
120651842.0,-212938.0,150945853.0,156303413.0,-212938.0
17907792.0,22020154.0,120651842.0,-212938.0,16465975.0
49856603.0,120651842.0,17907792.0,16465975.0,22020154.0
113524828.0,17907792.0,49856603.0,22020154.0,150945853.0
-229282.0,49856603.0,113524828.0,150945853.0,120651842.0
-229280.0,113524828.0,-229282.0,120651842.0,17907792.0
56049767.0,-229282.0,-229280.0,17907792.0,49856603.0
156369000.0,-229280.0,56049767.0,49856603.0,113524828.0
155074665.0,56049767.0,156369000.0,113524828.0,-229282.0
156516469.0,156369000.0,155074665.0,-229282.0,-229280.0
154173558.0,156516469.0,156516469.0,-229280.0,56049767.0
133300361.0,154173558.0,133300361.0,56049767.0,156369000.0
-212843.0,133300361.0,136577172.0,156369000.0,16400489.0
9765014.0,136577172.0,-212843.0,16400489.0,155074665.0
81969305.0,-212843.0,9765014.0,155074665.0,156516469.0
89981092.0,9765014.0,81969305.0,156516469.0,154173558.0
155304101.0,81969305.0,89981092.0,154173558.0,133300361.0
16040103.0,89981092.0,155304101.0,133300361.0,136577172.0
