offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_CMX_NB_azucaryendulzantes_W16,,10,true,20-04-2022,27-04-2022,2,2,,66553#101175#119540#228491#101151#-304089#119540#228491
20220420_CMX_NB_tuberculos_W16,,10,true,20-04-2022,27-04-2022,4,2,,64193#64195#80054#213205#80052#-304971#64193#64195#80054#213205#80052#66520#66518#-303774#-303834
20220420_CMX_NB_granos_W16,,10,true,20-04-2022,27-04-2022,25,2,,283143#-304527#25993#-304548#287441#287442#287443#283141#-303753#287429#287430#287431#290405#290406#288253#288255#288256#290405#290406#-304521#287396#287397#287398#360256#288263#288264#288265#288266#287441#287442#287443#25981
20220420_CMX_NB_frutas_W16,,20,true,20-04-2022,27-04-2022,50,2,,-303687#70318#40493#-304389#213215#70313#-304347#-304944#70349#162633#162635#-304956#-303822#-303828#69751#69744#-304344#-304266#70334#-303756#-303825#112958#112960#-304956#-303822#-303828#69751#69744#-304950#-304953#112950#112948#-304254#-304941#112942#112636#412662#414214#-304383#70324#-304950#-304953#112950#112948#-303756#-303825#112958#112960#-304083#-303744#113009#-304587#-303771#70558#70560#-304884#70354#-304917#-303543#112968#112966#411648#-304080#112974#-304254#-304941#112942#112636#-304587#-303771#70558#70560#412652#412654#-304116#113082#76989#163093#163095#-304944#70349
20220420_CMX_NB_verduras_W16,,20,true,20-04-2022,27-04-2022,50,2,,-303531#-303603#-303522#-303516#213218#213220#71746#213222#213224#80507#-305073#70273#-304368#-304371#-304374#70293#73977#421881#421883#70291#421885#-304227#70255#-304437#-304443#213208#213210#80527#80525#-304617#-304614#213230#213232#70548#70550#-304368#-304371#-304374#70293#73977#421881#421883#70291#421885#-304566#-304611#54992#70359#70362#-304617#-304614#213230#213232#70548#70550#-303531#-303603#-303522#-303516#213218#213220#71746#213222#213224#80507#12661#113740#-303618#-303702#-304947#-305004#74549#74551#-303627#70250#-303630#70542#-304437#-304443#213208#213210#80527#80525#-304365#-304926#12634#113173#-304368#-304371#-304374#70293#73977#421881#421883#70291#421885#-304362#113030#-304947#-305004#74549#74551#-303555#-304959#70302#70300#75331#-304068#80058#-305082#113040#-304656#113615#-304353#-304356#70265#70267#162624#162626#-303531#-303603#-303522#-303516#213218#213220#71746#213222#213224#80507#-303531#-303603#-303522#-303516#213218#213220#71746#213222#213224#80507#20086#113178#-304515#113620#-304899#163102#-304554#70476#-304368#-304371#-304374#70293#73977#421881#421883#70291#421885#12692#113077#-303531#-303603#-303522#-303516#213218#213220#71746#213222#213224#80507#-303618#-303702#-304341#-304131#-304566#-304611#54992#70359#70362#-304863#-304368#-304371#-304374#70293#73977#421881#421883#70291#421885#-303537#-303534#74943#74941#-305115#70248#-304617#-304614#213230#213232#70548#70550#-304839#113251#-303555#-304959#70302#70300#-303939#70238#-303891#113187#-304341#-304131#-304923#-304377#70286
20220420_CMX_NB_huevos_W16,,10,true,20-04-2022,27-04-2022,3,2,,123410#123412
20220420_CMX_NB_leches_W16,,12,true,20-04-2022,27-04-2022,5,2,,220924#-303930#361104#361106#220924#-303930#361104#361106#220516#-303780#361352#361346#220516#-303780#361352#361346#220519#-303690#361338#220905#-303636#220519#-303690#361338#220905#-303636#220924#-303930#361104#361106#220929#48667#361358
20220420_CMX_NB_vasoscontenedoresyplatos_W16,,7,true,20-04-2022,27-04-2022,6,2,,37211#219702#37188#219697#62808#219873#70218#219840#62803#219867#180139#219961#37222#219746#36995#219739#63251#219879#70080#219437#73433#219884#296040#296041#53047#219846#180145#230170#70218#219840#380699#380701#380700#37211#219702#-305028#-305127#37188#219697#-305136#-305133#-305142#-305139#62808#219873#180142#219954#234855#234856#234857#296040#296041#380694#380695#380696#-305136#-305133#-305142#-305139#62803#219867#180139#219961
20220420_CMX_NB_detergentejabonylavatrastes_W16,,15,true,20-04-2022,27-04-2022,5,2,,-305196#218224#-305190#218792#-305196#218224#283724#283725#121308#222465#283721#283722#416893#416895#416894#283705#283706#416889#416890#416891#73519#141306#141295#378074#284140#284141#283736#283737#284144#284145
20220420_CMX_NB_pollo_W16,,20,true,20-04-2022,27-04-2022,10,2,,167266#167267#278241#278242#290277#290275#290276#167259#167260#167261#167266#167267#167263#167264#213604#213606#213605#278247#278248#278241#278242#179989#179990#175239#175240#167263#167264#290277#290275#290276#290277#290275#290276#167245#308265#285341#285342#213604#213606#213605#167911#168495#213604#213606#213605#382435#295332#290076#406149#406150#406151#167150#167895
