20220420_CMX_NB_congelados,20220420_CMX_NB_lacteosyhuevos,20220420_CMX_NB_aseoehigiene,20220420_CMX_NB_desechables
142262276.0,142262276.0,130017287.0,130017287.0
138625031.0,130017287.0,140417037.0,141903879.0
141903879.0,141903879.0,142360602.0,140417037.0
130017287.0,139821073.0,134148123.0,139845647.0
140417037.0,134148123.0,132272158.0,134148123.0
139845647.0,142469165.0,137336868.0,132272158.0
139821073.0,142276658.0,142272562.0,137336868.0
142360602.0,70928435.0,70928435.0,141705253.0
134148123.0,133228599.0,133228599.0,142469165.0
132272158.0,22306877.0,22306877.0,142276658.0
137336868.0,143718471.0,40771654.0,70928435.0
141705253.0,141723732.0,143718471.0,140339252.0
142469165.0,141895775.0,-260014.0,133228599.0
142276658.0,142391398.0,139798626.0,22306877.0
142272562.0,146167915.0,133304419.0,142278725.0
140339252.0,141817972.0,142391398.0,40771654.0
70928435.0,129951868.0,136747111.0,143718471.0
139235382.0,143020163.0,137367673.0,125626440.0
133228599.0,142393481.0,129951868.0,141656141.0
139761721.0,143642765.0,28731526.0,-260014.0
22306877.0,141785231.0,139774107.0,141723732.0
142471235.0,141246613.0,138014877.0,140300381.0
142278725.0,139774107.0,146094259.0,141895775.0
40771654.0,143149220.0,142254262.0,139798626.0
143718471.0,139776175.0,140466374.0,143249506.0
125626440.0,145397937.0,143319240.0,133304419.0
141656141.0,145342654.0,145285335.0,142391398.0
-260014.0,140466374.0,140957911.0,136747111.0
141723732.0,143319240.0,105533660.0,143040617.0
140300381.0,140957911.0,137550049.0,137367673.0
141895775.0,143583448.0,140777708.0,129951868.0
139798626.0,105533660.0,135962862.0,140451970.0
143097955.0,137550049.0,143603957.0,143020163.0
143249506.0,138645730.0,92029175.0,142977157.0
133304419.0,142993638.0,123648257.0,28731526.0
142391398.0,140323047.0,141875460.0,142393481.0
136747111.0,143603957.0,145334533.0,143642765.0
143040617.0,92029175.0,134025493.0,141785231.0
146167915.0,123648257.0,138621211.0,141246613.0
141781105.0,145334533.0,26958114.0,141713562.0
141817972.0,142434575.0,121811241.0,139774107.0
142559352.0,134025493.0,134258985.0,138014877.0
137367673.0,140405014.0,44679474.0,143149220.0
129951868.0,138621211.0,140964152.0,140353712.0
140421247.0,26958114.0,143053114.0,146094259.0
140451970.0,139804965.0,146198862.0,143593653.0
143020163.0,146241831.0,143038802.0,143319240.0
142977157.0,121811241.0,142233944.0,145473745.0
28731526.0,44679474.0,61319516.0,146006227.0
142393481.0,140964152.0,142334307.0,140957911.0
143642765.0,146198862.0,133691763.0,105533660.0
141785231.0,143038802.0,142508408.0,137550049.0
141246613.0,141709656.0,141640058.0,145987811.0
141713562.0,142233944.0,132696445.0,142993638.0
139774107.0,61319516.0,132114841.0,140323047.0
138014877.0,139376990.0,142246301.0,140402924.0
143149220.0,142334307.0,139309472.0,140777708.0
139776175.0,139270506.0,139921830.0,135962862.0
140353712.0,141777261.0,125999526.0,143603957.0
145397937.0,133691763.0,132776364.0,142356729.0
146094259.0,146133368.0,140450221.0,139380986.0
143593653.0,142508408.0,143106477.0,123648257.0
142254262.0,142246301.0,140372403.0,141875460.0
145342654.0,139921830.0,139215286.0,133306632.0
140466374.0,132776364.0,115491255.0,142434575.0
143319240.0,140372403.0,143663543.0,134025493.0
145473745.0,115491255.0,141717954.0,26958114.0
146006227.0,141728189.0,141818311.0,141680932.0
145285335.0,139811277.0,126046663.0,140529960.0
143583448.0,58028495.0,139123148.0,121811241.0
140957911.0,142252506.0,58028495.0,134258985.0
105533660.0,142416360.0,36409841.0,44679474.0
137550049.0,36409841.0,84939250.0,140964152.0
138645730.0,84939250.0,141904379.0,143053114.0
145987811.0,141693428.0,145324544.0,143038802.0
142993638.0,140321270.0,140409348.0,141709656.0
140323047.0,143088122.0,140423688.0,142233944.0
140402924.0,145324544.0,141775372.0,61319516.0
140777708.0,141771270.0,121360910.0,139376990.0
135962862.0,143032840.0,133151281.0,142334307.0
143603957.0,121360910.0,140311103.0,142465382.0
92029175.0,143665682.0,142488134.0,139270506.0
142356729.0,141642269.0,140333646.0,133691763.0
139380986.0,145306151.0,143065688.0,142508408.0
143741183.0,133151281.0,140364379.0,146133368.0
145248512.0,140311103.0,127851100.0,132696445.0
123648257.0,142488134.0,135191141.0,132114841.0
141875460.0,145371726.0,128066158.0,140482969.0
145334533.0,143532627.0,136641138.0,125999526.0
133306632.0,142496342.0,38990459.0,132776364.0
142434575.0,143065688.0,142973564.0,140450221.0
134025493.0,140364379.0,140305024.0,143153582.0
140405014.0,127851100.0,133632651.0,143589806.0
138621211.0,135191141.0,138627724.0,139215286.0
145228061.0,140417647.0,139473561.0,115491255.0
26958114.0,139313777.0,142281379.0,143663543.0
141680932.0,143192694.0,128473764.0,141728189.0
139804965.0,-255369.0,122454702.0,141717954.0
146241831.0,38990459.0,128717493.0,132764103.0
140529960.0,142973564.0,142488246.0,141818311.0
121811241.0,140354176.0,145490619.0,126046663.0
134258985.0,140305024.0,-261442.0,139123148.0
44679474.0,139833986.0,141683396.0,139811277.0
140964152.0,139303559.0,143155908.0,58028495.0
143053114.0,133632651.0,141179593.0,142252506.0
142360903.0,138627724.0,138515160.0,142375387.0
146198862.0,146014867.0,143190756.0,41976286.0
143038802.0,143151765.0,143717093.0,145934815.0
141709656.0,143075991.0,142342887.0,140306914.0
142233944.0,141785762.0,143190761.0,136698344.0
61319516.0,128473764.0,141722369.0,142416360.0
139376990.0,139750058.0,140448516.0,36409841.0
142334307.0,141859500.0,142496517.0,84939250.0
142465382.0,140309165.0,15131398.0,141693428.0
139270506.0,145136306.0,140290828.0,140321270.0
141777261.0,145410739.0,143110926.0,141904379.0
133691763.0,145490619.0,142424847.0,141775372.0
142508408.0,-261442.0,141818643.0,125598223.0
146133368.0,143123137.0,141380382.0,142447122.0
141640058.0,143631042.0,141673255.0,140313112.0
132696445.0,141683396.0,49572647.0,129610268.0
140482969.0,143155908.0,143016745.0,141642269.0
142246301.0,141179593.0,142961451.0,143053340.0
139309472.0,143059664.0,139195183.0,141748778.0
139358630.0,143717093.0,140981043.0,133151281.0
125999526.0,142342887.0,130538297.0,140311103.0
132776364.0,143190761.0,54481722.0,143239745.0
140450221.0,141699818.0,131226429.0,136180296.0
143106477.0,143086314.0,-269501.0,146027081.0
143153582.0,136702703.0,23800643.0,142551626.0
133964208.0,146164469.0,142420808.0,140333646.0
