20220420_CMX_NB_pollo_W16,20220420_CMX_NB_res_W16,20220420_CMX_NB_cerdo_W16,20220420_CMX_NB_pescadosymariscoscongelado_W16,20220420_CMX_NB_embutidos_W16
142262276.0,142262276.0,142262276.0,142262276.0,142262276.0
138625031.0,138625031.0,138625031.0,138625031.0,138625031.0
141903879.0,141903879.0,141903879.0,141903879.0,141903879.0
130017287.0,140417037.0,140417037.0,130017287.0,130017287.0
140417037.0,139845647.0,139845647.0,140417037.0,140417037.0
139845647.0,139821073.0,139821073.0,139845647.0,139845647.0
139821073.0,134148123.0,134148123.0,139821073.0,139821073.0
142360602.0,132272158.0,132272158.0,142360602.0,142360602.0
134148123.0,137336868.0,137336868.0,134148123.0,134148123.0
132272158.0,141705253.0,141705253.0,132272158.0,132272158.0
137336868.0,142276658.0,142276658.0,137336868.0,137336868.0
141705253.0,142272562.0,142272562.0,141705253.0,141705253.0
142276658.0,140339252.0,140339252.0,142469165.0,142276658.0
142272562.0,70928435.0,70928435.0,142276658.0,142272562.0
140339252.0,139235382.0,139235382.0,142272562.0,140339252.0
70928435.0,133228599.0,133228599.0,140339252.0,70928435.0
139235382.0,139761721.0,139761721.0,70928435.0,139235382.0
133228599.0,22306877.0,22306877.0,139235382.0,133228599.0
139761721.0,142471235.0,142471235.0,133228599.0,139761721.0
22306877.0,142278725.0,142278725.0,139761721.0,22306877.0
142471235.0,40771654.0,40771654.0,22306877.0,142471235.0
142278725.0,143718471.0,125626440.0,142471235.0,142278725.0
40771654.0,125626440.0,141656141.0,142278725.0,40771654.0
143718471.0,141656141.0,-260014.0,143718471.0,143718471.0
125626440.0,-260014.0,141723732.0,125626440.0,125626440.0
141656141.0,141723732.0,140300381.0,141656141.0,141656141.0
-260014.0,140300381.0,141895775.0,-260014.0,-260014.0
141723732.0,141895775.0,139798626.0,141723732.0,141723732.0
140300381.0,139798626.0,143097955.0,140300381.0,140300381.0
141895775.0,143097955.0,143249506.0,141895775.0,141895775.0
139798626.0,143249506.0,133304419.0,139798626.0,139798626.0
143097955.0,133304419.0,140275814.0,143097955.0,143097955.0
143249506.0,140275814.0,142391398.0,143249506.0,143249506.0
133304419.0,142391398.0,143040617.0,133304419.0,133304419.0
140275814.0,136747111.0,146167915.0,140275814.0,140275814.0
142391398.0,143040617.0,141781105.0,142391398.0,142391398.0
143040617.0,146167915.0,141817972.0,136747111.0,143040617.0
146167915.0,141781105.0,137367673.0,143040617.0,146167915.0
141817972.0,141817972.0,129951868.0,146167915.0,141781105.0
142559352.0,137367673.0,140421247.0,141781105.0,141817972.0
129951868.0,129951868.0,140451970.0,141817972.0,142559352.0
140421247.0,140421247.0,143020163.0,142559352.0,137367673.0
140451970.0,140451970.0,142977157.0,137367673.0,129951868.0
143020163.0,143020163.0,28731526.0,129951868.0,140421247.0
142977157.0,142977157.0,142393481.0,140421247.0,140451970.0
28731526.0,28731526.0,143642765.0,140451970.0,143020163.0
142393481.0,142393481.0,141246613.0,143020163.0,142977157.0
143642765.0,143642765.0,141713562.0,142977157.0,28731526.0
141785231.0,141785231.0,139774107.0,28731526.0,142393481.0
141246613.0,141246613.0,138014877.0,142393481.0,143642765.0
141713562.0,141713562.0,143149220.0,143642765.0,141785231.0
139774107.0,139774107.0,139776175.0,141785231.0,141246613.0
138014877.0,138014877.0,140353712.0,141713562.0,139774107.0
143149220.0,143149220.0,145397937.0,139774107.0,138014877.0
139776175.0,139776175.0,146094259.0,138014877.0,143149220.0
145397937.0,140353712.0,143593653.0,143149220.0,139776175.0
146094259.0,145397937.0,142254262.0,139776175.0,140353712.0
143593653.0,146094259.0,145342654.0,140353712.0,145397937.0
142254262.0,143593653.0,140466374.0,145397937.0,146094259.0
145342654.0,142254262.0,143319240.0,146094259.0,143593653.0
140466374.0,145342654.0,145473745.0,143593653.0,142254262.0
143319240.0,140466374.0,146006227.0,142254262.0,145342654.0
145473745.0,143319240.0,145285335.0,145342654.0,140466374.0
146006227.0,145473745.0,143583448.0,140466374.0,143319240.0
145285335.0,146006227.0,140957911.0,143319240.0,145473745.0
143583448.0,143583448.0,105533660.0,145473745.0,146006227.0
140957911.0,140957911.0,137550049.0,146006227.0,145285335.0
105533660.0,105533660.0,138645730.0,145285335.0,143583448.0
137550049.0,137550049.0,145987811.0,143583448.0,140957911.0
138645730.0,138645730.0,142993638.0,140957911.0,105533660.0
145987811.0,145987811.0,140323047.0,137550049.0,137550049.0
140323047.0,142993638.0,140402924.0,138645730.0,138645730.0
140402924.0,140323047.0,140777708.0,145987811.0,145987811.0
140777708.0,140402924.0,135962862.0,142993638.0,142993638.0
135962862.0,140777708.0,143603957.0,140323047.0,140323047.0
143603957.0,135962862.0,92029175.0,140402924.0,140402924.0
