offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220325_CWB_NB_tuberculos_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,363183#427542#363181
20220325_CWB_NB_verduras_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,363187#363213
20220325_CWB_NB_frutas_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,363253#363249#368423#363171#363141#363249#368423
20220325_CWB_NB_legumes_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,363165#363195#368410#363203#363304
20220325_CWB_NB_leite_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,399789#399788#385455#385456#402792#402791#382053#382052#399789#399788#385455#385456
20220325_CWB_NB_ovos_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,385498#385499
20220325_CWB_NB_detergentesabaoelava-louas_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,371318#371319#371318#371319
20220325_CWB_NB_feijao_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,385434#385435#385443#385444#385443#385444
20220325_CWB_NB_frango_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,369903
20220325_CWB_NB_suinos_W12,,-1,true,25-03-2022,01-04-2022,-1,-1,,369405
20220325_CWB_NB_bebidas,,18,true,25-03-2022,02-04-2022,12,1,,370740#370741#370742#370857#370858#370859#370750#370751#370758#370759#370866#370867#370805#370807#370806#370891#370893#370892#370805#370807#370806#370805#370807#370806#370891#370893#370892#370878#370879#370880#370891#370893#370892#370814#370815#370816#391140#391142#391141#391140#391142#391141#370778#370779#370774#370775#370770#370771
20220325_CWB_NB_laticinioseovos,,18,true,25-03-2022,02-04-2022,12,1,,399789#399788#385455#385456#402792#402791#382053#382052#399789#399788#385455#385456#381998#381999#382064#381442#385498#385499
20220325_CWB_NB_limpezaehigiene,,18,true,25-03-2022,02-04-2022,12,1,,371318#371319#371318#371319#371260#371259#371268#371269#371260#371259#371257#371256#371253#371254#371253#371254#371247#371248#371250#371251#371032#371012#371011#371018#371017
20220325_CWB_NB_descartaveis,,18,true,25-03-2022,02-04-2022,12,1,,371499#371498#371415#371416#371499#371498#371430#371431#371423#371424#371427#371428#371479#371478#371482#371481#371489#371490#371482#371481#371360#371361#371360#371361#371367#371366#371495#371496#371367#371366#371466
