20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
132067339.0,132067339.0,109323778.0,109323778.0,132067339.0,132067339.0,132067339.0,132067339.0
131569679.0,131569679.0,118560258.0,118560258.0,117831692.0,117831692.0,127156238.0,127156238.0
110524435.0,121325588.0,112358404.0,112358404.0,131569679.0,127156238.0,131569679.0,131569679.0
121325588.0,117375001.0,127784454.0,127784454.0,110524435.0,131569679.0,117923862.0,117383187.0
117375001.0,117407770.0,121754631.0,110457863.0,117923862.0,110524435.0,117375001.0,121325588.0
117407770.0,123680793.0,132067339.0,121754631.0,117375001.0,121325588.0,117407770.0,117923862.0
123088926.0,123088926.0,129057813.0,132067339.0,117407770.0,117923862.0,123680793.0,117375001.0
126904355.0,126904355.0,110571031.0,115385356.0,123680793.0,117375001.0,110540832.0,117407770.0
111861806.0,115357753.0,117375001.0,115502612.0,110540832.0,117407770.0,126904355.0,123680793.0
115357753.0,109852742.0,117407770.0,110571031.0,111745066.0,123680793.0,111745066.0,123088926.0
109852742.0,109828168.0,112804380.0,117375001.0,126619703.0,123088926.0,109852742.0,110540832.0
109828168.0,130248777.0,123088926.0,117407770.0,109852742.0,110540832.0,109828168.0,126904355.0
113004618.0,110471244.0,117938723.0,123680793.0,109828168.0,126904355.0,130248777.0,111861806.0
110471244.0,126720077.0,116080163.0,123088926.0,110471244.0,111745066.0,113004618.0,115357753.0
126720077.0,128510048.0,112934437.0,126904355.0,126720077.0,111861806.0,126720077.0,109852742.0
128968783.0,115509347.0,109880871.0,117938723.0,117360731.0,126619703.0,128968783.0,109828168.0
117360731.0,115535974.0,117993001.0,116080163.0,115509347.0,115357753.0,123715664.0,110471244.0
128510048.0,124772458.0,117367338.0,123193894.0,110481516.0,109852742.0,115509347.0,126720077.0
115509347.0,110481516.0,115575850.0,112934437.0,110495854.0,109828168.0,115535974.0,128510048.0
115535974.0,110495854.0,111844912.0,109880871.0,128487535.0,130248777.0,110481516.0,115509347.0
124772458.0,113395836.0,125436977.0,117993001.0,117260409.0,113004618.0,110495854.0,115535974.0
110481516.0,127963265.0,110567986.0,117367338.0,127963265.0,110471244.0,128487535.0,124772458.0
110495854.0,123197573.0,127153205.0,115575850.0,115452034.0,126720077.0,117260409.0,110481516.0
113395836.0,123768968.0,116474423.0,111844912.0,127860871.0,128968783.0,113395836.0,113395836.0
127963265.0,117930121.0,117601338.0,123157044.0,123768968.0,123715664.0,127963265.0,127963265.0
123768968.0,128344200.0,124755002.0,127153205.0,128344200.0,117360731.0,115452034.0,123197573.0
117930121.0,129099918.0,127360574.0,123264565.0,116555918.0,128510048.0,123197573.0,115359879.0
128344200.0,125395088.0,119006271.0,116474423.0,124313745.0,115509347.0,115359879.0,123768968.0
129099918.0,124313745.0,127211071.0,123660855.0,112953495.0,115535974.0,127860871.0,117930121.0
125395088.0,112953495.0,109852742.0,117601338.0,123072664.0,124772458.0,117930121.0,128344200.0
112953495.0,123072664.0,111625287.0,124755002.0,115536029.0,110481516.0,128344200.0,125395088.0
123072664.0,115536029.0,109828168.0,125865534.0,124795038.0,110495854.0,116555918.0,112953495.0
115536029.0,124795038.0,115391562.0,119006271.0,111698087.0,128487535.0,129099918.0,123072664.0
124795038.0,111698087.0,112815179.0,127360574.0,112980136.0,117260409.0,124313745.0,115536029.0
111698087.0,127273140.0,116530764.0,110367300.0,116019373.0,113395836.0,112953495.0,124795038.0
120580280.0,120580280.0,126720077.0,109852742.0,121190578.0,127963265.0,123072664.0,111698087.0
130955453.0,130955453.0,128968783.0,111625287.0,127273140.0,115452034.0,115536029.0,127273140.0
118440132.0,118440132.0,113396816.0,109828168.0,120580280.0,123197573.0,124795038.0,120580280.0
128727241.0,124936390.0,113673300.0,115391562.0,130955453.0,123768968.0,111698087.0,118440132.0
124582094.0,124582094.0,116259926.0,112815179.0,115562691.0,117930121.0,116019373.0,127776977.0
118362321.0,127776977.0,115589722.0,110471244.0,118440132.0,128344200.0,127273140.0,114131171.0
114131171.0,117330142.0,117360731.0,126720077.0,124936390.0,116555918.0,130955453.0,115353830.0
115353830.0,114131171.0,117439070.0,113396816.0,112246984.0,129099918.0,124862657.0,116467948.0
116467948.0,115353830.0,128510048.0,115563089.0,128727241.0,125395088.0,118440132.0,125434095.0
115357936.0,116467948.0,123716705.0,118371410.0,124582094.0,124313745.0,124936390.0,115357936.0
117297399.0,115357936.0,117965922.0,113673300.0,111620303.0,112953495.0,112246984.0,117297399.0
123601144.0,118352116.0,115509347.0,121119830.0,118362321.0,115536029.0,128727241.0,123601144.0
120672511.0,123601144.0,120798818.0,117439070.0,114131171.0,124795038.0,124582094.0,120672511.0
116025601.0,120672511.0,109892709.0,123112544.0,115353830.0,111698087.0,111620303.0,116025601.0
128973076.0,128973076.0,110481516.0,117965922.0,116467948.0,112980136.0,118362321.0,128973076.0
132167957.0,132167957.0,114143852.0,115509347.0,117297399.0,116019373.0,115468504.0,132167957.0
111726870.0,111726870.0,110495854.0,109892709.0,120672511.0,121190578.0,117330142.0,111726870.0
127893782.0,127893782.0,117951597.0,110481516.0,117842177.0,127273140.0,114131171.0,127893782.0
117825832.0,117825832.0,111714928.0,123173996.0,116025601.0,121125047.0,115353830.0,117825832.0
125464879.0,125464879.0,109290609.0,117951597.0,123681037.0,120580280.0,116467948.0,115343674.0
117928251.0,115343674.0,113395836.0,111714928.0,128973076.0,130955453.0,115357936.0,117928251.0
117416252.0,117928251.0,117395070.0,109290609.0,132167957.0,124862657.0,120776946.0,117416252.0
110510401.0,117416252.0,127963265.0,123732596.0,111726870.0,118440132.0,116025601.0,118528322.0
118528322.0,110510401.0,110511749.0,113395836.0,127893782.0,124936390.0,128973076.0,125368643.0
125368643.0,118528322.0,124828296.0,117395070.0,117825832.0,112246984.0,132167957.0,110360903.0
123572552.0,125368643.0,127197833.0,127963265.0,125464879.0,128727241.0,111726870.0,123572552.0
116377929.0,116377929.0,129099918.0,115561090.0,124236089.0,124582094.0,127893782.0,126812496.0
126812496.0,126812496.0,111635086.0,110511749.0,115343674.0,118362321.0,117825832.0,121899345.0
121899345.0,121899345.0,110455953.0,123768968.0,117928251.0,115468504.0,125464879.0,116572513.0
