20220325_CWB_NB_bebidas,20220325_CWB_NB_laticinioseovos,20220325_CWB_NB_limpezaehigiene,20220325_CWB_NB_descartaveis
128386048.0,132067339.0,132067339.0,132067339.0
109323778.0,117831692.0,127156238.0,127156238.0
118560258.0,131569679.0,131569679.0,131569679.0
112358404.0,110524435.0,117375001.0,110524435.0
113017352.0,117923862.0,117407770.0,117375001.0
124787213.0,117375001.0,123680793.0,117407770.0
127156238.0,117407770.0,126904355.0,123680793.0
110524435.0,123680793.0,111745066.0,123088926.0
112347668.0,110540832.0,109852742.0,110540832.0
129057813.0,111745066.0,109828168.0,126904355.0
110571031.0,126619703.0,130248777.0,111745066.0
117375001.0,109852742.0,126720077.0,111861806.0
117407770.0,109828168.0,123715664.0,109852742.0
121771035.0,110471244.0,115509347.0,109828168.0
128960029.0,126720077.0,110481516.0,130248777.0
126904355.0,117360731.0,110495854.0,113004618.0
117938723.0,115509347.0,117260409.0,110471244.0
116080163.0,110481516.0,113395836.0,126720077.0
123193894.0,110495854.0,127963265.0,117360731.0
125623335.0,128487535.0,115452034.0,115509347.0
117440035.0,117260409.0,123197573.0,115535974.0
112934437.0,127963265.0,115359879.0,124772458.0
117367338.0,115452034.0,128344200.0,110481516.0
115575850.0,123768968.0,129099918.0,110495854.0
109880871.0,128344200.0,124313745.0,128487535.0
110567986.0,116555918.0,112953495.0,113395836.0
123157044.0,124313745.0,123072664.0,127963265.0
127153205.0,112953495.0,115536029.0,115452034.0
116474423.0,115536029.0,111698087.0,123197573.0
117601338.0,124795038.0,116019373.0,115359879.0
124755002.0,111698087.0,127273140.0,123768968.0
119006271.0,112980136.0,130955453.0,127860871.0
109852742.0,127273140.0,118440132.0,128344200.0
109816902.0,120580280.0,112246984.0,116555918.0
109828168.0,130955453.0,124582094.0,129099918.0
130248777.0,118440132.0,111620303.0,112953495.0
113004618.0,124936390.0,118362321.0,115536029.0
111625287.0,112246984.0,115468504.0,124795038.0
110471244.0,128727241.0,117330142.0,111698087.0
112815179.0,124582094.0,114131171.0,116019373.0
116530764.0,118362321.0,115353830.0,121190578.0
128968783.0,114131171.0,116467948.0,127273140.0
113396816.0,115353830.0,115357936.0,121125047.0
127786575.0,116467948.0,116025601.0,120580280.0
113673300.0,117297399.0,132167957.0,130955453.0
117439070.0,120672511.0,111726870.0,115562691.0
117965922.0,117842177.0,127893782.0,118440132.0
115509347.0,116025601.0,117825832.0,124936390.0
109892709.0,123681037.0,125464879.0,117387463.0
109280871.0,132167957.0,124236089.0,112246984.0
122644071.0,111726870.0,117928251.0,124582094.0
110481516.0,127893782.0,124922175.0,117330142.0
117951597.0,117825832.0,118528322.0,114131171.0
128487535.0,125464879.0,125368643.0,115353830.0
111714928.0,124236089.0,118460742.0,118352116.0
