offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_CWB_NB_tuberculos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,363181#363183#427542#363263#363179#368392
20220420_CWB_NB_verduras_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,363157#363155#363199#363213
20220420_CWB_NB_frutas_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,363253#363249#368423#363171#363141#363249#368423#363269#363257#368419#368420#363273
20220420_CWB_NB_legumes_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,363165#363195#368410#363203#363304#363205#363149#363287
20220420_CWB_NB_leite_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,402792#402791#382053#382052#399789#399788#385455#385456#402792#402791#382053#382052
20220420_CWB_NB_ovos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,385498#385499
20220420_CWB_NB_detergentesabaoelava-louas_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,371318#371319#371318#371319
20220420_CWB_NB_feijao_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,385443#385444#385434#385435#385443#385444
20220420_CWB_NB_frango_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,369903#369904#369905#369871#369872#369873#369863#369864#369865#369903#369904#369905#369863#369864#369865#369879#369881#369880#369593#369594
20220420_CWB_NB_suinos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,369405#369406#369407#369417#369419
20220420_CWB_NB_bebidas,,18,true,20-04-2022,28-04-2022,12,1,,370740#370742#370741#370857#370858#370859#370750#370751#370866#370867#370740#370742#370741#370740#370742#370741#370758#370759#370805#370807#370806#370805#370807#370806#370805#370807#370806#370891#370893#370892#370814#370816#370815#370891#370893#370892#370810#370811#370891#370893#370892#391140#391142#391141#391145#391146#391147#370778#370779#370770#370771#370774#370775#370762#370763
20220420_CWB_NB_laticinioseovos,,18,true,20-04-2022,28-04-2022,12,1,,402792#402791#382053#382052#399789#399788#385455#385456#402792#402791#382053#382052#382064#381442#381998#381999#382064#381442#385498#385499#369345#369347#369346#369787#369513#443229#443231#443230#369453#369455#369454#369437#443209#443237#443239#443193#443194#443195
20220420_CWB_NB_limpezaehigiene,,18,true,20-04-2022,28-04-2022,12,1,,371318#371319#371318#371319#371260#371259#371257#371256#371260#371259#371268#371269#371185#371184#371185#371184#371253#371254#371032#371033#371241#371242#371018#371017
20220420_CWB_NB_descartaveis,,18,true,20-04-2022,28-04-2022,12,1,,371499#371498#371499#371498#371415#371416#371430#371431#371419#371442#371443#371482#371481#371479#371478#371475#371476#371482#371481#371489#371490#371496#371495#371360#371361#371367#371366#371496#371495#371367#371366#371360#371361#371349#371348#371349#371348#421296#421297#371363#371364#420284#420285#421296#421297#371354#371355#371354#371355#371466
