20220420_CWB_NB_frango_W16,20220420_CWB_NB_suinos_W16
142527489.0,142527489.0
142941194.0,142941194.0
139175949.0,139175949.0
143001618.0,143001618.0
139854869.0,139854869.0
139054105.0,143677462.0
140240927.0,139054105.0
139645984.0,140240927.0
117442597.0,139645984.0
142537765.0,117442597.0
143617063.0,142537765.0
140205101.0,143617063.0
139097135.0,140205101.0
140392496.0,139097135.0
145896497.0,140392496.0
142950450.0,145896497.0
139651136.0,142950450.0
143600704.0,139651136.0
145290307.0,143600704.0
142178375.0,145290307.0
139083853.0,142178375.0
140263502.0,142920780.0
134022221.0,140263502.0
140253270.0,134022221.0
139994201.0,140253270.0
143140956.0,139994201.0
138117213.0,143140956.0
142979167.0,138117213.0
140325988.0,142979167.0
142451813.0,140325988.0
140229735.0,142451813.0
139851882.0,139851882.0
139724906.0,139724906.0
145248362.0,145248362.0
142208108.0,142208108.0
145264755.0,145264755.0
143024247.0,143024247.0
141585529.0,141585529.0
146121850.0,146121850.0
134609026.0,134609026.0
142949518.0,138854533.0
140229777.0,142949518.0
142521489.0,140229777.0
143613078.0,142521489.0
142290071.0,143619221.0
143549593.0,143613078.0
143213723.0,142290071.0
141601948.0,143549593.0
143075487.0,143213723.0
141738145.0,141601948.0
141824162.0,143075487.0
143008932.0,141738145.0
145884325.0,141824162.0
139340966.0,143008932.0
140518567.0,145884325.0
141574315.0,139340966.0
146042028.0,140518567.0
145834162.0,141574315.0
141837490.0,146042028.0
143013042.0,145834162.0
141702324.0,141837490.0
145159354.0,143013042.0
143575229.0,141702324.0
143731902.0,145159354.0
141750469.0,143575229.0
143499464.0,143731902.0
141606095.0,141750469.0
139249878.0,141606095.0
146205912.0,139249878.0
139786461.0,146205912.0
138706142.0,142353627.0
140441824.0,139786461.0
142223586.0,138706142.0
145248487.0,140441824.0
139914475.0,142223586.0
142438647.0,145248487.0
141689086.0,139914475.0
137352446.0,142438647.0
145860867.0,141689086.0
143121670.0,137352446.0
143531272.0,145860867.0
145185038.0,143121670.0
143528209.0,143531272.0
145025302.0,145185038.0
139285785.0,143528209.0
142182686.0,145025302.0
142448938.0,139285785.0
143056173.0,145863964.0
143625520.0,142182686.0
138675506.0,142448938.0
140294452.0,140246317.0
139090231.0,143056173.0
139783482.0,143625520.0
145160512.0,138675506.0
139120972.0,140294452.0
146153809.0,139090231.0
118515027.0,139783482.0
136570199.0,145160512.0
142456155.0,139120972.0
142951774.0,146153809.0
140319082.0,118515027.0
143519086.0,136570199.0
142966127.0,142456155.0
143601007.0,140245341.0
140373361.0,142951774.0
139887990.0,140319082.0
140402038.0,143519086.0
143091069.0,142966127.0
139101573.0,143601007.0
143585687.0,140373361.0
143046042.0,139887990.0
141600156.0,140402038.0
142355872.0,143091069.0
143503779.0,139101573.0
139351461.0,143585687.0
143175079.0,143046042.0
140351918.0,141600156.0
139713972.0,142355872.0
141819316.0,143503779.0
139685311.0,139351461.0
124375494.0,143175079.0
139077062.0,140351918.0
142277068.0,139713972.0
145861073.0,141819316.0
141596119.0,139685311.0
146084314.0,124375494.0
143007197.0,139077062.0
141646310.0,142277068.0
145531367.0,145861073.0
143574507.0,141596119.0
138523120.0,146084314.0
145352179.0,143007197.0
121226748.0,141646310.0
143048195.0,145531367.0
145282567.0,143574507.0
143610378.0,138523120.0
141623821.0,145841650.0
127414798.0,145352179.0
142338578.0,121226748.0
140179987.0,143048195.0
141757971.0,145282567.0
142186005.0,143610378.0
139906587.0,141623821.0
133105180.0,127414798.0
145191453.0,142338578.0
143141406.0,140179987.0
141858336.0,141757971.0
140303916.0,142186005.0
143646255.0,139906587.0
139775544.0,133105180.0
145400379.0,145191453.0
138223163.0,143141406.0
142409283.0,141858336.0
143649351.0,140303916.0
141717063.0,143646255.0
142409291.0,139775544.0
142254669.0,145400379.0
143587921.0,138223163.0
142217811.0,142409283.0
141811284.0,143649351.0
140352085.0,141717063.0
143521370.0,142409291.0
140236381.0,142254669.0
143076968.0,143587921.0
146219630.0,142217811.0
145864304.0,140352085.0
141875831.0,143521370.0
135917175.0,140236381.0
141667962.0,143076968.0
141568635.0,146219630.0
142458494.0,145864304.0
143663744.0,141875831.0
142436993.0,135917175.0
142970498.0,141667962.0
143138435.0,141568635.0
143497862.0,142458494.0
145205897.0,143663744.0
146036368.0,142436993.0
146058901.0,142970498.0
142410390.0,143138435.0
142455448.0,143497862.0
140389017.0,145205897.0
145121946.0,146036368.0
139282074.0,146058901.0
140417693.0,142410390.0
142226080.0,142455448.0
139710112.0,140389017.0
143511210.0,145121946.0
141566636.0,139282074.0
144307886.0,140417693.0
145217212.0,142226080.0
145128126.0,139710112.0
142928579.0,143511210.0
141601492.0,141566636.0
140273364.0,144307886.0
146053849.0,145217212.0
142999265.0,145128126.0
135195364.0,142928579.0
142950118.0,141601492.0
146068201.0,140273364.0
146184938.0,146053849.0
139834092.0,142999265.0
145999601.0,135195364.0
145292019.0,142950118.0
139240180.0,146068201.0
143569652.0,146184938.0
141744887.0,140373739.0
142214907.0,139834092.0
141768449.0,145999601.0
143490817.0,145292019.0
142379779.0,139240180.0
142465796.0,143569652.0
143083267.0,141744887.0
145928966.0,142214907.0
142221064.0,141768449.0
138566415.0,143490817.0
140450576.0,142379779.0
145326863.0,142465796.0
141621010.0,143083267.0
141790998.0,145928966.0
140342043.0,142221064.0
139282205.0,138566415.0
141825825.0,140450576.0
140208931.0,145326863.0
142232356.0,141621010.0
142926629.0,141790998.0
136882990.0,140342043.0
145969966.0,139282205.0
134573871.0,141825825.0
143090481.0,140208931.0
139652915.0,142232356.0
141692732.0,142926629.0
143623996.0,136882990.0
145434429.0,145969966.0
135232323.0,134573871.0
142255941.0,143090481.0
145036103.0,139652915.0
135319368.0,141692732.0
141776713.0,143623996.0
140333911.0,145434429.0
145139543.0,135232323.0
141608793.0,142255941.0
139293537.0,145036103.0
145234786.0,135319368.0
139260779.0,141776713.0
145873774.0,140333911.0
141602676.0,145139543.0
142432120.0,141608793.0
140347262.0,139293537.0
141684609.0,145234786.0
140271495.0,139260779.0
141704072.0,145873774.0
145285002.0,141602676.0
140265355.0,142432120.0
132030348.0,140347262.0
143536015.0,141684609.0
142232465.0,140271495.0
143000472.0,141704072.0
140230552.0,145285002.0
139228061.0,140265355.0
143184798.0,132030348.0
137621405.0,143536015.0
135002017.0,142232465.0
143145895.0,143000472.0
142469033.0,140230552.0
143961002.0,124227481.0
141756331.0,139228061.0
140244910.0,143184798.0
143568815.0,137621405.0
145367985.0,135002017.0
142969778.0,143145895.0
143079346.0,142469033.0
143126457.0,143961002.0
142449595.0,141756331.0
141714364.0,140244910.0
142369726.0,143568815.0
143538110.0,145367985.0
141738944.0,142969778.0
139988927.0,143079346.0
142985153.0,143126457.0
139664333.0,142449595.0
139662291.0,141714364.0
142334933.0,142369726.0
145095639.0,143538110.0
143162328.0,141738944.0
143634391.0,139988927.0
140336090.0,142985153.0
141741020.0,139664333.0
143535069.0,139662291.0
142242792.0,143102931.0
143172584.0,142334933.0
143598570.0,145095639.0
143680489.0,143162328.0
139657193.0,143634391.0
146062320.0,140336090.0
140353524.0,141741020.0
142940157.0,143535069.0
,142242792.0
,143172584.0
,143598570.0
,143680489.0
,139657193.0
,146062320.0
,140353524.0
,142940157.0
