offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_GDL_NB_enlatados_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,218839#218840#218841#197697#197698#414438#359594#218843#359532#218844#218845#212336#212337#197697#197698#414438#359594#197104#197105#359613#212318#218839#218840#218841#212324#212310#359510#212311#212312#359512#212333#212334#218843#359532#218844#218845#342950#342951#342952#212329#359601#212331#212330#342954#218843#359532#218844#218845#290067#290068#290069#290063#290064#290065#197104#197105#359613
20220420_GDL_NB_tuberculos_W16,,10,true,20-04-2022,27-04-2022,4,2,,220946#221015
20220420_GDL_NB_verduras_W16,,20,true,20-04-2022,27-04-2022,50,2,,221089#220944#220970#220956#220960#220941#220942#220954#220993#220974#220941#220942#221022#221007#220989#221052#230745#221063
20220420_GDL_NB_frutas_W16,,20,true,20-04-2022,27-04-2022,50,2,,220948#220950#221002#233448#414172#221032#264341#221050#221076#220972#220994#405424
20220420_GDL_NB_alimentoscongelados_W16,,15,true,20-04-2022,27-04-2022,10,2,,312115#312116#312117#312107#312109#312108#312103#312104#312105#312111#312113#312112#312107#312109#312108#312107#312109#312108#312115#312116#312117#312123#312125#312124
20220420_GDL_NB_leches_W16,,10,true,20-04-2022,27-04-2022,15,2,,304508#196092#196093#196094#304509#195971#195969#195970#304504#195994#195992#195993#304504#195994#195992#195993#304504#195994#195992#195993#304504#195994#195992#195993#304509#195971#195969#195970
20220420_GDL_NB_huevos_W16,,12,true,20-04-2022,27-04-2022,3,2,,195841#195839
20220420_GDL_NB_vasoscontenedoresyplatos_W16,,7,true,20-04-2022,27-04-2022,15,2,,211888#211889#307939#307941#307940#394899#197735#197734#348851#348852#348853#211888#211889#291207#291206#348847#348848#348849#394899#197735#197734#307939#307941#307940#211894#211895#212266#212267#307939#307941#307940#203189#203190#348859#348860#348861#197703#197704#203192#203193#348843#394896#348844#348845#366539#366540#366541
20220420_GDL_NB_detergentejabonylavatrastes_W16,,10,true,20-04-2022,27-04-2022,20,2,,197711#197713#197712#304500#291068#291069#291064#291065#291066#212240#212241#212246#212247#197711#197713#197712#304500#291045#291046#291047#291080#291081#197711#197713#197712#304500#291068#291069#291075#291076#291077#291049#291050
20220420_GDL_NB_papelytoallas_W16,,10,true,20-04-2022,27-04-2022,20,2,,212252#212253#212254#343750#343752#343754#291193#212071#212072#212073#211880#211881#211882#212252#212253#212254#343750#343752#343754#212252#212253#212254
20220420_GDL_NB_pollo_W16,,18,true,20-04-2022,27-04-2022,10,2,,196131#196132#195870#195871#211789#211790#197089#197090#195943#195944#195979#195980#289949#289948#212263#212264#299213#299217#196131#196132#196143#196144#211843#211844#211845#289581
20220420_GDL_NB_res_W16,,18,true,20-04-2022,27-04-2022,8,2,,211850#211851#195857#195859#195858#252867#252855#289560#289559#289558#252988#195891#195892#330143#328858#328862#247984#211850#211851
20220420_GDL_NB_cerdo_W16,,18,true,20-04-2022,27-04-2022,10,2,,218457#218458#277563#282679#218457#218458#277563#282679#289575#289573#438954#289734#289733#289725#289724#438971#438973#211847#211848#289794#289793#211856#211857#289728#340572#340574#410055#289808#289807#438976#438974
20220420_GDL_NB_pescadosymariscos_W16,,18,true,20-04-2022,27-04-2022,6,2,,218466#195850#195851#195966#195967#211816#211817#211819#211820
20220420_GDL_NB_embutidos_W16,,-1,true,20-04-2022,27-04-2022,-1,-1,,304695#304696#304416#304418#304408#304409#218451#218452#388089#304420#304422#304421
20220420_GDL_NB_congelados,,18,true,20-04-2022,28-04-2022,12,1,,312115#312116#312117#312107#312109#312108#312103#312104#312105#312111#312113#312112#312107#312109#312108#312107#312109#312108#312115#312116#312117#312123#312125#312124
20220420_GDL_NB_lacteosyhuevos,,18,true,20-04-2022,28-04-2022,12,1,,304508#196092#196093#196094#304509#195971#195969#195970#304504#195994#195992#195993#304504#195994#195992#195993#304504#195994#195992#195993#304504#195994#195992#195993#304509#195971#195969#195970#197113#197114#289034#289035#289036#197718#197719#197720#289188#289189#289190#197131#197132#197133#197131#197132#197133#197113#197114#195841#195839#197092#197093#289010#289011#289012#304435#304436#197095#197096#289006#289008#289007#304428#304429#195976#195977#212081#212082#197107#207638
20220420_GDL_NB_desechables,,18,true,20-04-2022,28-04-2022,12,1,,211888#211889#307939#307941#307940#394899#197735#197734#348851#348852#348853#211888#211889#291207#291206#348847#348848#348849#394899#197735#197734#307939#307941#307940#211894#211895#212266#212267#307939#307941#307940#203189#203190#348859#348860#348861#197703#197704#203192#203193#348843#394896#348844#348845#366539#366540#366541#212489#212490#212491#212493#212494#212495#348871#348872#212064#212065#212066#197706#348877#348878#348874#348875
