offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_SPO_NB_tuberculos_W16,,15,true,20-04-2022,27-04-2022,5,2,,-314887#89305#-314899#-314833#89315#-314893
20220420_SPO_NB_verduras_W16,,20,true,20-04-2022,27-04-2022,10,2,,75297#112100#74194#112182#75297#112100#75002#74156#112237#73648#112095#75087#112265#74194#112182#74988#75043#112210#74278#112175#74286#112120#73648#112095#75079#112249
20220420_SPO_NB_frutas_W16,,20,true,20-04-2022,27-04-2022,10,2,,-314629#75842#98094#163197#396144#-314938#89339#88094#133468#133470#-314689#112149#-314998#111250#106226#144533#-314938#89339#88094#133468#133470#148094#148096#-314638#111225#106144#-314911#-314767#89349#-314938#89339#88094#133468#133470
20220420_SPO_NB_legumes_W16,,15,true,20-04-2022,27-04-2022,10,2,,-314737#89320#73947#112115#-314797#97304#-314770#97340#119265#119267#-314716#111245#106081#89184#97309#-314692#-314728#111235#106246#-314737#89320#163207#-314734#-314725#112225#-314857#112220#-314704
20220420_SPO_NB_leite_W16,,8,true,20-04-2022,27-04-2022,24,2,,244033#243993#105601#105599#73559#73557#220840#220839
20220420_SPO_NB_ovos_W16,,10,true,20-04-2022,27-04-2022,5,2,,247539#247540#247542#247543
20220420_SPO_NB_detergentesabaoelava-louas_W16,,15,true,20-04-2022,27-04-2022,12,2,,160748#283445#160748#283445#240482#240481#240482#240481#248693#248692#248693#248692#160742#283446#160744#160745#160742#283446#261188#261189
20220420_SPO_NB_feijao_W16,,8,true,20-04-2022,27-04-2022,25,2,,412447#414595#72490#72488#278405#278404#72499#72497#72490#72488#412447#414595#72318#72322#72318#72322#155197#155139#72499#72497
20220420_SPO_NB_frango_W16,,18,true,20-04-2022,27-04-2022,30,2,,284505#284507#284506#221189#221193#221191#284509#284511#284510#284505#284507#284506#284493#284494#284495#284505#284507#284506#221189#221193#221191#284509#284511#284510#396273#396275#396277#284517#284518#284519#165964#165966#165968#284489#284490#284491#202851#202852#202853#284509#284511#284510#217659#217660#217661#165666#165746#165748#221189#221193#221191#284497#284498#284499#285246#285248#285247#285242#285244#285243#165976#165980#165978#284513#284515#284514#285242#285244#285243#285246#285248#285247#284513#284515#284514#382147#382148#382149#165660#165754#165756
20220420_SPO_NB_suinos_W16,,18,true,20-04-2022,27-04-2022,30,2,,202839#202840#202841#164161#165826#165828#168290#168292#168294#232310#232311#232312#232298#232299#232300#232286#232287#232288#165360#165690#232279#232280#232281#232275#232276#232277#232290#232291#232292#232314#232315#232316#202839#202840#202841#168290#168292#168294#232306#232307#232308#164161#165826#165828
20220420_SPO_NB_embutidos_W16,,18,true,20-04-2022,27-04-2022,30,2,,165988#165990#165992#217667#217668#217669#165672#165738#165740#165678#165730#165732#165346#165706#165708#180640#180641#180642#232302#232303#232304#235636#235738#235740#217671#217672#217673#382139#382140#382141#382155#382157#382156#165352#165698#165700#180332#180333#180334#165988#165990#165992#382143#382144#382145#180640#180641#180642#233889#233890#233891#382151#382152#382153#382159#382161#382160#217703#217705#217704#165338#165714#356889#356890#356891
20220420_SPO_NB_carnevermelha_W16,,20,true,20-04-2022,27-04-2022,30,2,,197625#197627#197629#164143#165850#165852#197841#197843#197845#197865#197867#197869#197853#197855#197857#197625#197627#197629#166196#166198#166200#164149#165842#165844#232294#232295#232296#164155#165834#165836#197865#197867#197869#382171#382172#382173#197841#197843#197845#164143#165850#165852#306193#306194
20220420_SPO_NB_peixesefrutosdomar_W16,,15,true,20-04-2022,27-04-2022,30,2,,165406#165882#165884#232251#232252#232253#166208#166210#166212#232255#232256#232257#165422#165866#165868#175064#175066#175068#165406#165882#165884#438551#438552#438553#283902#283903#283904#438555#438557#438556#232251#232252#232253#284529#284531#284530#175040#175044#175042#175052#175056#175054#191008#191010#191012#166220#166222#166224
