20220420_SPO_NB_tuberculos_W16,20220420_SPO_NB_verduras_W16,20220420_SPO_NB_frutas_W16,20220420_SPO_NB_legumes_W16,20220420_SPO_NB_leite_W16,20220420_SPO_NB_ovos_W16,20220420_SPO_NB_detergentesabaoelava-louas_W16,20220420_SPO_NB_feijao_W16
138596353.0,142233601.0,138596353.0,142233601.0,118575104.0,118575104.0,118575104.0,118575104.0
142233601.0,133222403.0,133222403.0,133222403.0,138596353.0,138596353.0,133222403.0,138596353.0
133222403.0,145901576.0,139956233.0,145901576.0,133222403.0,142233601.0,139956233.0,142233601.0
145901576.0,142936074.0,142936074.0,138539018.0,139956233.0,133222403.0,138539018.0,133222403.0
138539018.0,138539018.0,138539018.0,143589386.0,143589386.0,139956233.0,143589386.0,138539018.0
146026507.0,146026507.0,140253198.0,138616844.0,138616844.0,138539018.0,138616844.0,143589386.0
138616844.0,143622157.0,145336334.0,145336334.0,138534931.0,143589386.0,143622157.0,138616844.0
143622157.0,145336334.0,142239762.0,142239762.0,145911828.0,138616844.0,138534931.0,143622157.0
140253198.0,142239762.0,145911828.0,143024149.0,143024149.0,143622157.0,145911828.0,146026507.0
143116303.0,143024149.0,143024149.0,143112215.0,135184415.0,146026507.0,143024149.0,145911828.0
145336334.0,146106389.0,146106389.0,135184415.0,143044646.0,138534931.0,143044646.0,143024149.0
142239762.0,143112215.0,143112215.0,141625375.0,143523878.0,145911828.0,143523878.0,135184415.0
145911828.0,135184415.0,135184415.0,140339250.0,142196784.0,143024149.0,141705266.0,143044646.0
143024149.0,141625375.0,141705266.0,141705266.0,141688883.0,135184415.0,141688883.0,142196784.0
146106389.0,139929643.0,136755252.0,136755252.0,143548468.0,143044646.0,143548468.0,141705266.0
143112215.0,140339250.0,145371189.0,143548468.0,145371189.0,143523878.0,145313846.0,141688883.0
135184415.0,141688883.0,143050806.0,143050806.0,145313846.0,142196784.0,143032375.0,143548468.0
141625375.0,136755252.0,145313846.0,143032375.0,143032375.0,141705266.0,48451644.0,145313846.0
145549349.0,141705266.0,145283135.0,145371189.0,48451644.0,141688883.0,143147071.0,48451644.0
143044646.0,143050806.0,129009737.0,145086523.0,145104959.0,143548468.0,145104959.0,143147071.0
140339250.0,143032375.0,139251793.0,145283135.0,138612802.0,145371189.0,138612802.0,145104959.0
141688883.0,145371189.0,130472026.0,129009737.0,47112268.0,145313846.0,47112268.0,47112268.0
136755252.0,48451644.0,144691290.0,139251793.0,139829325.0,143032375.0,139829325.0,139829325.0
141705266.0,145283135.0,141676644.0,131563601.0,139251793.0,48451644.0,139251793.0,139251793.0
143050806.0,138612802.0,145211501.0,142430290.0,131563601.0,143147071.0,142430290.0,131563601.0
143032375.0,129009737.0,142450804.0,145938514.0,144691290.0,145104959.0,144691290.0,142430290.0
143548468.0,47112268.0,145361016.0,130472026.0,146128990.0,138612802.0,146128990.0,144691290.0
145371189.0,139251793.0,145473672.0,144691290.0,145211501.0,47112268.0,145211501.0,146128990.0
145086523.0,131563601.0,143145106.0,140331104.0,139931768.0,139829325.0,142450804.0,141676644.0
143147071.0,145938514.0,145154200.0,141676644.0,145399933.0,139251793.0,139931768.0,145211501.0
145283135.0,130472026.0,50563226.0,142450804.0,143650949.0,131563601.0,145399933.0,142450804.0
138612802.0,144691290.0,145334430.0,145361016.0,143904902.0,142430290.0,143904902.0,139931768.0
129009737.0,140331104.0,71479456.0,145399933.0,145473672.0,144691290.0,145473672.0,145399933.0
47112268.0,141676644.0,141678755.0,145473672.0,141787277.0,146128990.0,141787277.0,143904902.0
143530064.0,143636582.0,142426276.0,141787277.0,142246039.0,141676644.0,145154200.0,145473672.0
139251793.0,142450804.0,140329131.0,142411921.0,143171735.0,145211501.0,145285278.0,141787277.0
131563601.0,145361016.0,145207477.0,143145106.0,145154200.0,142450804.0,145334430.0,123351189.0
142430290.0,145399933.0,146063541.0,50563226.0,145285278.0,139931768.0,71479456.0,142246039.0
145938514.0,143650949.0,140925112.0,145334430.0,71479456.0,145399933.0,142426276.0,143171735.0
145107031.0,143904902.0,125919417.0,71479456.0,142426276.0,143650949.0,117260456.0,145285278.0
130472026.0,145473672.0,145189048.0,140925112.0,117260456.0,145473672.0,139956394.0,71479456.0
144691290.0,143145106.0,139839680.0,125919417.0,139956394.0,141787277.0,140329131.0,142233767.0
139716703.0,123351189.0,123676865.0,145189048.0,140329131.0,123351189.0,129130667.0,117260456.0
141676644.0,142246039.0,141750472.0,139716795.0,129130667.0,142246039.0,145207477.0,139956394.0
143636582.0,50563226.0,126748873.0,141686981.0,142405810.0,145154200.0,146063541.0,140329131.0
145211501.0,142366875.0,142285010.0,142285010.0,145207477.0,145285278.0,125919417.0,129130667.0
142450804.0,145334430.0,143522009.0,108583138.0,146063541.0,145334430.0,141750472.0,142405810.0
145361016.0,142416031.0,141854947.0,141854947.0,141750472.0,71479456.0,145334486.0,145207477.0
145399933.0,71479456.0,145297637.0,142178530.0,145334486.0,142426276.0,129155294.0,146063541.0
143904902.0,141678755.0,142375142.0,145297637.0,134697181.0,142233767.0,144072928.0,125919417.0
145473672.0,142426276.0,132085991.0,142375142.0,129155294.0,117260456.0,139743458.0,141750472.0
142411921.0,142233767.0,131760368.0,132085991.0,139743458.0,139956394.0,145297637.0,145334486.0
143145106.0,140329131.0,126230769.0,131760368.0,143085802.0,140329131.0,145285358.0,134697181.0
142246039.0,142405810.0,143145207.0,126230769.0,145285358.0,129130667.0,131760368.0,129155294.0
143171735.0,145207477.0,140349690.0,143145207.0,131760368.0,142405810.0,126230769.0,144072928.0
