20220420_SPO_NB_bebidas,20220420_SPO_NB_congelados,20220420_SPO_NB_laticinioseovos,20220420_SPO_NB_limpezaehigiene,20220420_SPO_NB_descartaveis
118575104.0,118575104.0,118575104.0,118575104.0,118575104.0
145901576.0,138596353.0,138596353.0,133222403.0,138596353.0
139956233.0,142233601.0,133222403.0,142936074.0,142233601.0
138539018.0,133222403.0,139956233.0,138539018.0,133222403.0
143589386.0,138539018.0,143589386.0,138616844.0,139956233.0
138616844.0,143589386.0,138616844.0,143622157.0,138539018.0
143622157.0,138616844.0,145336334.0,145336334.0,143589386.0
146026507.0,143622157.0,143116303.0,138534931.0,138616844.0
142239762.0,146026507.0,142239762.0,145911828.0,143622157.0
138534931.0,138534931.0,138534931.0,143024149.0,146026507.0
145911828.0,145911828.0,145911828.0,146106389.0,138534931.0
135184415.0,143024149.0,143024149.0,145549349.0,145911828.0
141625375.0,135184415.0,146106389.0,143044646.0,143024149.0
145549349.0,143044646.0,143112215.0,143523878.0,135184415.0
143523878.0,143523878.0,135184415.0,139929643.0,143044646.0
139929643.0,142196784.0,141625375.0,140339250.0,143523878.0
140339250.0,141688883.0,145549349.0,141688883.0,142196784.0
141688883.0,143548468.0,143044646.0,136755252.0,141705266.0
136755252.0,145371189.0,143523878.0,141705266.0,143548468.0
141705266.0,145313846.0,139929643.0,143050806.0,145371189.0
143050806.0,143032375.0,142196784.0,143032375.0,143032375.0
143032375.0,48451644.0,140339250.0,143548468.0,48451644.0
145313846.0,143147071.0,141688883.0,129009737.0,145104959.0
145371189.0,138612802.0,145371189.0,47112268.0,138612802.0
143147071.0,47112268.0,143050806.0,139829325.0,47112268.0
145104959.0,139829325.0,143032375.0,143530064.0,139829325.0
145283135.0,139251793.0,145313846.0,139251793.0,139251793.0
138612802.0,131563601.0,48451644.0,130472026.0,131563601.0
47112268.0,142430290.0,138612802.0,146128990.0,142430290.0
139829325.0,144691290.0,129009737.0,139716703.0,144691290.0
143530064.0,146128990.0,47112268.0,143636582.0,146128990.0
131563601.0,141676644.0,139829325.0,139798635.0,141676644.0
142430290.0,145211501.0,143530064.0,142450804.0,142450804.0
145107031.0,142450804.0,139251793.0,145361016.0,139931768.0
130472026.0,139931768.0,145938514.0,139931768.0,145399933.0
144691290.0,145399933.0,145107031.0,145399933.0,143904902.0
146128990.0,143650949.0,144691290.0,143904902.0,145473672.0
140331104.0,143904902.0,146128990.0,145473672.0,145154200.0
141676644.0,145473672.0,139716703.0,141787277.0,145334430.0
145211501.0,123351189.0,140331104.0,143145106.0,71479456.0
142450804.0,142246039.0,139798635.0,145154200.0,142233767.0
145361016.0,143171735.0,145211501.0,50563226.0,117260456.0
143904902.0,145154200.0,139931768.0,145285278.0,140329131.0
143145106.0,145285278.0,145399933.0,145334430.0,142405810.0
123351189.0,145334430.0,143650949.0,71479456.0,146063541.0
142246039.0,71479456.0,145473672.0,141678755.0,125919417.0
145154200.0,142233767.0,141787277.0,117260456.0,145334486.0
50563226.0,117260456.0,142411921.0,140329131.0,134697181.0
142366875.0,139956394.0,143145106.0,129130667.0,129155294.0
142977179.0,140329131.0,145154200.0,146063541.0,144072928.0
145285278.0,129130667.0,142366875.0,19806390.0,145297637.0
145334430.0,142405810.0,142977179.0,140925112.0,143085802.0
71479456.0,145207477.0,145285278.0,125919417.0,145285358.0
141678755.0,146063541.0,71479456.0,145189048.0,131760368.0
143136932.0,125919417.0,141678755.0,139716795.0,126230769.0
117260456.0,141750472.0,117260456.0,139839680.0,140349690.0
140329131.0,145334486.0,139956394.0,123676865.0,142434559.0
129130667.0,134697181.0,140329131.0,145334486.0,136519937.0
146063541.0,129155294.0,129130667.0,144072928.0,110928139.0
19806390.0,144072928.0,146063541.0,108583138.0,145142029.0
140925112.0,145297637.0,19806390.0,139917539.0,138191125.0
125919417.0,145285358.0,145189048.0,141854947.0,136782102.0
139716795.0,131760368.0,141686981.0,142178530.0,143921431.0
139839680.0,126230769.0,142239941.0,145297637.0,143638808.0
