20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
118575104.0,118575104.0,118575104.0,118575104.0,118575104.0
138596353.0,138596353.0,138596353.0,138596353.0,138596353.0
142233601.0,142233601.0,133222403.0,142233601.0,142233601.0
133222403.0,133222403.0,139956233.0,133222403.0,133222403.0
139956233.0,139956233.0,138539018.0,139956233.0,138539018.0
138539018.0,138539018.0,143589386.0,138539018.0,143589386.0
143589386.0,143589386.0,138616844.0,143589386.0,138616844.0
138616844.0,138616844.0,143622157.0,138616844.0,143622157.0
143622157.0,143622157.0,146026507.0,143622157.0,146026507.0
146026507.0,146026507.0,138534931.0,146026507.0,138534931.0
138534931.0,138534931.0,145911828.0,138534931.0,145911828.0
145911828.0,145911828.0,143024149.0,145911828.0,143024149.0
143024149.0,143024149.0,135184415.0,143024149.0,135184415.0
135184415.0,135184415.0,143044646.0,135184415.0,143044646.0
143044646.0,143044646.0,143523878.0,143044646.0,142196784.0
142196784.0,142196784.0,142196784.0,143523878.0,141705266.0
141705266.0,141688883.0,141705266.0,142196784.0,141688883.0
141688883.0,143548468.0,141688883.0,141705266.0,143548468.0
145371189.0,145313846.0,143548468.0,141688883.0,145371189.0
145313846.0,143032375.0,145371189.0,143548468.0,145313846.0
143032375.0,143147071.0,145313846.0,145371189.0,143032375.0
48451644.0,145104959.0,143032375.0,145313846.0,48451644.0
143147071.0,138612802.0,48451644.0,143032375.0,143147071.0
145104959.0,47112268.0,143147071.0,48451644.0,145104959.0
138612802.0,139829325.0,145104959.0,143147071.0,138612802.0
47112268.0,139251793.0,138612802.0,145104959.0,47112268.0
139829325.0,131563601.0,47112268.0,138612802.0,139829325.0
139251793.0,142430290.0,139829325.0,47112268.0,139251793.0
131563601.0,144691290.0,139251793.0,139829325.0,131563601.0
142430290.0,146128990.0,131563601.0,139251793.0,142430290.0
144691290.0,141676644.0,144691290.0,131563601.0,144691290.0
146128990.0,145211501.0,146128990.0,142430290.0,146128990.0
141676644.0,142450804.0,141676644.0,144691290.0,141676644.0
145211501.0,139931768.0,145211501.0,146128990.0,145211501.0
142450804.0,145399933.0,142450804.0,141676644.0,142450804.0
139931768.0,143650949.0,139931768.0,145211501.0,139931768.0
145399933.0,143904902.0,145399933.0,142450804.0,145399933.0
143650949.0,145473672.0,143650949.0,139931768.0,143650949.0
143904902.0,123351189.0,143904902.0,145399933.0,143904902.0
145473672.0,142246039.0,145473672.0,143650949.0,145473672.0
123351189.0,143171735.0,141787277.0,143904902.0,141787277.0
142246039.0,145154200.0,123351189.0,145473672.0,123351189.0
143171735.0,145285278.0,142246039.0,141787277.0,142246039.0
145154200.0,145334430.0,143171735.0,123351189.0,143171735.0
145285278.0,71479456.0,145154200.0,142246039.0,145154200.0
145334430.0,142426276.0,145285278.0,145154200.0,145285278.0
71479456.0,142233767.0,145334430.0,145285278.0,145334430.0
142233767.0,117260456.0,71479456.0,145334430.0,71479456.0
117260456.0,139956394.0,142426276.0,71479456.0,142426276.0
139956394.0,140329131.0,142233767.0,142426276.0,142233767.0
140329131.0,129130667.0,117260456.0,142233767.0,117260456.0
129130667.0,142405810.0,139956394.0,117260456.0,139956394.0
142405810.0,145207477.0,140329131.0,139956394.0,140329131.0
145207477.0,125919417.0,129130667.0,140329131.0,129130667.0
146063541.0,141750472.0,142405810.0,129130667.0,142405810.0
141750472.0,145334486.0,145207477.0,142405810.0,145207477.0
145334486.0,134697181.0,146063541.0,145207477.0,146063541.0
129155294.0,129155294.0,125919417.0,146063541.0,125919417.0
144072928.0,144072928.0,145334486.0,125919417.0,141750472.0
