offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220328_BAQ_parrillaasadero_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,30,2,,192891#200035#200608#200610#143319#200789#194539#200608#200610#132650#132652#192891#200035#234689#234738#194539#200789#145702#143319#244571#244572#221589#221638#221639#192841#200630#86896
20220328_BAQ_parrillaasadero_NB_cerdo_W13,,18,true,28-03-2022,04-04-2022,15,2,,116462#83969#83984#271600#200953#200951#200955
20220328_BAQ_parrillaasadero_NB_res_W13,,18,true,28-03-2022,04-04-2022,20,2,,226895#-302454#86687#130636#226889#200943#138161#-300459#226148#226150#83978#74804#130629#106493#200949#200939#138163
20220328_BAQ_parrillaasadero_NB_pescadosymariscoscongelado_W13,,-1,true,28-03-2022,04-04-2022,-1,-1,,86806#403689#51257#145721#42430#129527#169955#110372#110380#65649#84290
20220328_BAQ_parrillaasadero_NB_embutidos_W13,,18,true,28-03-2022,04-04-2022,10,2,,288719#288722#-300018#83947#-303231#288716#146893#-302430#83950#-300582
20220328_BAQ_parrillaasadero_NB_alimentoscongelados_W13,,15,true,28-03-2022,04-04-2022,10,2,,186939#42509#51325#114469#169963#169959
20220328_BAQ_parrillaasadero_NB_arroz_W13,,7,true,28-03-2022,04-04-2022,4,2,,-303030#124708#124710#280862#280868#280865#-303030#124708#124710#281192
20220328_BAQ_parrillaasadero_NB_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,73211#258690#258696#73267#26107#287738#-302556#112755#-300645#214690#214696#214692#-300477#-300879#-300777#62904#73211#258690#258696#73267#327559#327556#18439#-302256#73211#258690#258696#73267#210159#-300543#210161#62912#258799#287277#73211#258690#258696#73267#210159#-300543#210161#62912#-300477#-300879#-300777#62904#-302016#210159#-300543#210161#62912#63788#-302595#-301668#160938
20220328_BAQ_parrillaasadero_NB_tuberculos_W13,,8,true,28-03-2022,04-04-2022,2,2,,-302913#-302280#-302913#-302280#-302562#-302028#-300387#-302949#196351#-302919#-302034#192764#63744#-302283#183252#183255#-302946#-302943#-302898#-302901#-302925#73260#-302025#-300387#-302028
20220328_BAQ_parrillaasadero_NB_bolsas_W13,,10,true,28-03-2022,04-04-2022,4,2,,197087#197083#200889#417443#139016#139031#197085#139036#145639#139026#257699#257696#257387#257378
20220328_BAQ_parrillaasadero_NB_salsas_W13,,15,true,28-03-2022,04-04-2022,15,2,,258557#360550#258561#258547#39473#350089#258553#258575#258555#258576#258557#258577#112693#39570#258567#258582#258547#258572#258549#258573#258551#112700
20220328_BAQ_parrillaasadero_NB_bebidassinalcohol_W13,,10,true,28-03-2022,04-04-2022,12,2,,271666#271667#271668#251193#226941#226955#251220#226955#251220#253777#251193#226941#253779#271654#271655#271666#271667#271668#271666#271667#271668#295393#295392#271676#271674#271675#226945#251205#254671#253771#253773#226941#251193#226949#251215#226939#251188#251205#226945#226959#254487#271648#254659#271697#271696#254663#254661#271651#271681#271674#271676#271675#271660#271661#254665#254669#254673#254675
20220328_BAQ_parrillaasadero_NB_contenedores_W13,,7,true,28-03-2022,04-04-2022,6,2,,111047#117735#145641#111039#118004#118002#111049#117840#191992#212499
20220328_BAQ_tiendarestaurante_NB_bebidassinalcohol_W13,,10,true,28-03-2022,04-04-2022,12,2,,251193#226941#271674#271676#271675#253777#271666#253779#226955#251220#226955#251220#253771#253773#226941#251193#226949#251215#226939#251188#251205#226945#226959#254487#271648#254659#271697#271696#254663#254661#271654#271655#271651#271681#271660#271661#254665#254669#254671#254673#254675
20220328_BAQ_tiendarestaurante_NB_papelytoallas_W13,,15,true,28-03-2022,04-04-2022,12,2,,175697#423289#175699#-302535#282545#-301335#21950#76944
20220328_BAQ_tiendarestaurante_NB_huevos_W13,,10,true,28-03-2022,04-04-2022,12,2,,97203#-302529#122090#121994#121994#-302529#122090
20220328_BAQ_tiendarestaurante_NB_cubiertosypitillos_W13,,10,true,28-03-2022,04-04-2022,4,2,,258489#258490#352171#352174#352172#197239#258489#258490#352144#352145#352139#352140
20220328_BAQ_tiendarestaurante_NB_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,73211#258690#258696#73267#26107#287738#18439#-300645#-300657#-302556#112755#327559#327556#73211#258690#258696#73267#-300477#-300879#62904#-300753#62906#-300777#-302256#214696#214690#214692#214694#214698#214700#73211#258690#258696#73267#327559#327556#-300927#-302694#286789#258799#287277#-301668#160938#-300207#214696#214690#214692#214694#214698#214700#210159#-300543#212438#62912#210161#-300477#-300879#62904#-300753#62906#-300777#63788#92108#16224#-302595
20220328_BAQ_tiendarestaurante_NB_tuberculos_W13,,8,true,28-03-2022,04-04-2022,2,2,,-302562#277542#-302280#-302913#-302028#-302025#-300387#-302916#-302280#-302913
20220328_BAQ_tiendarestaurante_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,30,2,,192891#200035#200608#200610#200608#200610#221589#192891#200035#132650#132652
20220328_BAQ_tiendarestaurante_NB_arroz_W13,,7,true,28-03-2022,04-04-2022,4,2,,63697#124716#280862#280865#280868#-303030#124708#124710#-303030#124708#124710#271604
20220328_BAQ_tiendarestaurante_NB_granos_W13,,15,true,28-03-2022,04-04-2022,30,2,,225825#225837#225831#226393
20220328_BAQ_tiendarestaurante_NB_frutas_W13,,20,true,28-03-2022,04-04-2022,50,2,,134238#-302220#63739#142749#-301077#-300150#368990#94852#-301143#-301137#134238#-302220#63739#142264#-300510#-303369#-302466#142264#-300510#97944#-300501
20220328_BAQ_corrientazo_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,30,2,,192891#200035#200608#200610#143319#200608#200610#132650#132652#194539#200789#221589#192891#200035#234689#234738#207839#145412#145410#86896
20220328_BAQ_corrientazo_NB_cerdo_W13,,18,true,28-03-2022,04-04-2022,15,2,,116462#83969#97137#271594#241989#83984
20220328_BAQ_corrientazo_NB_res_W13,,18,true,28-03-2022,04-04-2022,20,2,,-302454#226895#235495#226891#226893#226889#200943#138161#86687#226146#226148#226897#226150#83978#74804#130629#106493#200949#200939#138163
20220328_BAQ_corrientazo_NB_granos_W13,,15,true,28-03-2022,04-04-2022,30,2,,225837#225825#225831#218991#251090#226393
20220328_BAQ_corrientazo_NB_huevos_W13,,10,true,28-03-2022,04-04-2022,12,2,,97203#-302529#122090#121994#121994#-302529#122090
