offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220601_BHZ_other_NB_frango_W22,other_NB_frango,15,True,01-06-2022,03-07-2022,20,1,66316,322415#322413#322414#322415#322413#322414#322415#322413#322414#322429#322431#322430#322423#322421#322422#322423#322421#322422#322429#322431#322430#322401#322403#322402#322429#322431#322430#322423#322421#322422#322389#322390#322391#263237#263338#263339#322409#322410#322411#322401#322403#322402#400293#400294#400295#263229#263231#263230#263349#263351#263350#324889#324891#324890#322405#322407#322406#322397#322399#322398
20220601_BHZ_other_NB_suinos_W22,other_NB_suinos,16,True,01-06-2022,03-07-2022,30,1,66317,263745#263747#263746#428623#428624#428625#263749#263750#263751#263761#263763#263762#263749#263750#263751
20220601_BHZ_other_NB_embutidos_W22,other_NB_embutidos,15,True,01-06-2022,03-07-2022,30,1,66318,263365#263367#263366#263084#263086#263085#428525#428527#428526#263076#263078#263077#428529#428530#428531#428525#428527#428526#263385#263387#263386#263741#263742#263743#400289#400290#400291#428525#428527#428526#418589#418590#418591#428599#428600#428601#418597#418598#418599#263953#263955#263954#428619#428620#428603#428604#428605#263773#263775#381633#381634#381635#263663#263365#263367#263366
20220601_BHZ_other_NB_carnevermelha_W22,other_NB_carnevermelha,16,True,01-06-2022,03-07-2022,10,1,66320,322489#322491#322490#322493#322494#322495#322497#322498#322499#263300#263302#263301#322505#322506#322507#263312#263314#263313#263308#263310#263309#322489#322491#322490#322493#322494#322495#263072#263074#263073#263357#263358#263359
20220601_BHZ_other_NB_peixesefrutosdomar_W22,other_NB_peixesefrutosdomar,16,True,01-06-2022,03-07-2022,30,1,66321,428517#428518#428519#262884#262886#262885#508039#508038#262888#262890#262889#508041#428521#428522#428523#263551#263553#263552#263539#263541#263540#262892#508042#263547#263549#263548#263539#263541#263540
20220601_BHZ_other_NB_tuberculos_W22,other_NB_tuberculos,15,True,01-06-2022,03-07-2022,20,1,66319,252263#252257#319043
20220601_BHZ_other_NB_verduras_W22,other_NB_verduras,18,True,01-06-2022,03-07-2022,20,1,66322,252253#252251#430958#252241
20220601_BHZ_other_NB_frutas_W22,other_NB_frutas,18,True,01-06-2022,03-07-2022,20,1,66323,252255#252249#252261#351707#374393#252267#374274
20220601_BHZ_other_NB_legumes_W22,other_NB_legumes,18,True,01-06-2022,03-07-2022,20,1,66324,252259#252245#252265#313549#305797#313543
20220601_BHZ_other_NB_leite_W22,other_NB_leite,7,True,01-06-2022,03-07-2022,20,1,66325,328374#328373#358740#358739#251902#251901#328374#328373
20220601_BHZ_other_NB_ovos_W22,other_NB_ovos,14,True,01-06-2022,03-07-2022,20,1,66326,360089
20220601_BHZ_other_NB_detergentesabaoelava-louas_W22,other_NB_detergentesabaoelava-louas,9,True,01-06-2022,03-07-2022,20,1,66327,258304#258305#258304#258305#258286#258287#258280#258281#258253#258254#258286#258287
20220601_BHZ_other_NB_feijao_W22,other_NB_feijao,8,True,01-06-2022,03-07-2022,25,1,66328,389740#389739#269746#269745#389740#389739#269746#269745#269748#269749
20220601_BHZ_other_NB_farinhasemisturas_W22,other_NB_farinhasemisturas,6,True,01-06-2022,03-07-2022,60,1,66329,355704#355705#355725#355726#355707#355708#258110#258111#355716#355717#355704#355705#355689#355690
20220601_BHZ_other_NB_cervejas_W22,other_NB_cervejas,8,True,01-06-2022,03-07-2022,10,1,66330,363897#363896#363897#363896#324003#324005#324004#258142#258143#258142#258143#363887#363888#324003#324005#324004
20220601_BHZ_other_NB_refrigeranteseenergeticos_W22,other_NB_refrigeranteseenergeticos,10,True,01-06-2022,03-07-2022,10,1,66331,258148#258149#304090#363870#363872#363871#258148#258149#304090#258148#258149#304090#258160#258161#363866#363867#363879#363880
20220601_BHZ_other_NB_sucosechas_W22,other_NB_sucosechas,10,True,01-06-2022,03-07-2022,8,1,66332,258190#258191#258190#258191#258184#258185#258178#258179#258193#258194#258181#258182#258175#258176#258172#258173#258169#258170#258175#258176
20220601_BHZ_other_NB_aguaseisotonicos_W22,other_NB_aguaseisotonicos,8,True,01-06-2022,03-07-2022,8,1,66333,419185#419187#419186#419185#419187#419186#419185#419187#419186#363848#363850#363849#450312#450313#450314
