offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220328_BOG_comidarapida_NB_aceitesygrasas_W13,,10,true,28-03-2022,04-04-2022,2,2,,283255#340889#340895#89946#212501#114505#341789#341790#344339#344340#131489#333300#333301#162590
20220328_BOG_comidarapida_NB_embutidos_W13,,18,true,28-03-2022,04-04-2022,10,2,,146291#146297#121604#146303#146305#341547#312793#146293#312795#146295
20220328_BOG_comidarapida_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,10,2,,24106#73744#273998#24106#73744#273998#80658#88865#24106#73744#273998#259095#259096#313145#84440#239244#394839#80658#88865#312789#259095#259096#389953#239246#312791#312797#312799#187111#107549
20220328_BOG_comidarapida_NB_res_W13,,18,true,28-03-2022,04-04-2022,12,2,,262089#260830#199443#70953#199447#256517#127037#146299#127049#121688#260833#260821#127739#239389#260836#70686#356251#239391#256537#84477#404313#256534#186881
20220328_BOG_comidarapida_NB_alimentoscongelados_W13,,15,true,28-03-2022,04-04-2022,10,2,,86858#412928#168438#351389#244593#86858#412928#110448#244597#244589#244591#84488#168284#168286
20220328_BOG_comidarapida_NB_quesos_W13,,12,true,28-03-2022,04-04-2022,10,2,,354089#353658#170251#353662#170243#170247#170245#144389
20220328_BOG_comidarapida_NB_harinasymezclas_W13,,10,true,28-03-2022,04-04-2022,3,2,,-301764#127106#254112#254113#147341#147339#157739#-301815#254113#254112
20220328_BOG_comidarapida_NB_salsas_W13,,15,true,28-03-2022,04-04-2022,15,2,,257852#257876#257858#257879#257850#257875#131339#362689#362690#257868#257862#257881#257864#257882#257856#257870#257885#257854#257877#13176#257860#257880#257846#257844#257872#14228#257866#257883
20220328_BOG_comidarapida_NB_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,-300324#-300327#-300330#58813#-300324#-300327#-300330#58813#-303333#-303336#-301056#-301059#211601#150741#150743#150745#150747#-300165#58827#-301056#-301059#211601#-303432#-303354#-303339#-303342#59130#59132#-301104#-301158#134651#134653#58979#-302361#-303267#58977#-302802#-303408#58478#58979#-302361#-303267#58977#150483#150487#150485#150689#58979#-302361#-303267#58977#-303432#-303354#-303339#-303342#59130#59132#-301296#-301266#58822#-300882#-301119#-303432#-303354#-303339#-303342#59130#59132#150754#150758#150756#150760#-300324#-300327#-300330#58813#-303300#58952#150754#150758#150756#150760#-300324#-300327#-300330#58813#150741#150743#150745#150747#32734#-301056#-301059#211601#168532#168538#168534#168545#-303432#-303354#-303339#-303342#59130#59132#58979#-302361#-303267#58977#-302364#-301194#59094#12058#12060#58483#-303240#150483#150487#150485#150689#-301206#-301209#150741#150743#150745#150747#-303333#-303336#-301464#-301296#-301266#58822#-301206#-301209#170001#169994#169998#170010#-303432#-303354#-303339#-303342#59130#59132#-301104#-301158#134651#134653#-300210#-300255#59590#59593#147156
20220328_BOG_comidarapida_NB_tuberculos_W13,,16,true,28-03-2022,04-04-2022,2,2,,-302769#-302061#56283#58488#56112#56110#70468#59057#59055#70466#56112#56110#70468#59057#59055#70466#-302769#-302061#56283#58488#-302265#150900#56112#56110#70468#59057#59055#70466#-303201#-302175#-302424#60070#-301494#132490#56112#56110#70468#59057#59055#70466#-303201#-302175#-302424#60070#-301494#132490#94271#-303459#48738#59065#132740#132738#48790#358689#59063#59067#358693#-303459#48738#59065#132740#132738#48790#358689#59063#59067#358693
20220328_BOG_comidarapida_NB_bebidassinalcohol_W13,,15,true,28-03-2022,04-04-2022,10,2,,194399#227091#194393#271114#271116#271115#271110#271112#271111#257335#194389#257339#194403#257333#271118#271120#271119#271092#271093#271098#271099#227089#271114#271116#271115#257325#257337#295238#295239#257289#257291#194395#271114#271115#271116#271089#257297#257327#271096#271095#271122#271123#271125#271126#271120#271118#271119#271104#271105#271101
20220328_BOG_comidarapida_NB_bebidasalcoholicas_W13,,-1,true,28-03-2022,04-04-2022,-1,-1,,271405#271399#271398#271404#271405
20220328_BOG_comidarapida_NB_contenedores_W13,,10,true,28-03-2022,04-04-2022,6,2,,9991#118010#57791#9991#118010#118027#118025#111139#118027#118025#111139#102355#82996#178589#118027#118025#111139#31507#118020#57803#145643#145458#31507#118020#-300891#212525#212521#212523#111141#217447#111143#212527#229493#250342#229491#250341#229489#250340#-300894#111145#217449
20220328_BOG_comidarapida_NB_platosybandejas_W13,,10,true,28-03-2022,04-04-2022,6,2,,316262#316263#10676#217445#308542#308543#217443#212505#250338#212519
20220328_BOG_comidarapida_NB_bolsas_W13,,10,true,28-03-2022,04-04-2022,5,2,,164989#164991#164993#254097#254098#164995#257776#257777#257758#254103#254104#257776#257777#197485#346648#346649#257752#257753#257764#257765#257762#257761#257773#257774
20220328_BOG_comidarapida_NB_cubiertosypitillos_W13,,10,true,28-03-2022,04-04-2022,4,2,,316286#316287#257839#257840#352344#352345#174649#229497#352339#352340#352342#352341#197293#254093#254095#254094#197291#352344#352345#316286#316287#174647#41136#197297#197299#174645#41252
20220328_BOG_comidarapida_NB_vasos_W13,,10,true,28-03-2022,04-04-2022,6,2,,274948#274949#277245#277246#274948#274949#41258#274955#274954#274955#274954#277245#277246#329245#329244#329245#329244#277242#277243#274945#274946#274945#274946#274961#274960#329247#329248#275330#275329#274991#274990#274988#274987#287090#287089#-302241#277246#277245#274949#274948#277243#277242#288246#288245
20220328_BOG_comidarapida_NB_detergentejabonylavalozas_W13,,20,true,28-03-2022,04-04-2022,5,2,,126535#191791#191789#57279#304648#126531#191793#304646#29293#126839#53239
20220328_BOG_comidarapida_NB_papelytoallas_W13,,15,true,28-03-2022,04-04-2022,12,2,,197543#254437#197541#421593#421592#197341#197545#421596#421597#197543#254437#75487#126189#421380#421381#421379#75487#126189#421380#421381#421379#-301122#420394#420393#420395#197347#417931#197343#417928#197553#417935#75376#197547#417932#197345#417930#75345#179747
20220328_BOG_comidarapida_NB_desinfectantesysanitizantes_W13,,20,true,28-03-2022,04-04-2022,5,2,,304652#126519#304650#304644#304642#126507#14140#164999#75446#275297#275323#14146#165009#275303#52485#75440
20220328_BOG_comidarapida_NB_implementosdeaseo_W13,,20,true,28-03-2022,04-04-2022,5,2,,57285#57471#57397#57477#57413#57465#57453#126525#387276#57459#57403#57273#387267#346569#387267#346569#346571#57483#57267#387269#174391#174389#174390
20220328_BOG_comidarapida_NB_cuidadoyproteccionpersonal_W13,,20,true,28-03-2022,04-04-2022,5,2,,275319#275315#12353#-300996#83074
20220328_BOG_comidarapida_NB_cerdo_W13,,18,true,28-03-2022,04-04-2022,10,2,,350244#394588#356239#394589#176446#394638#260827#333684#307495#333682#121422#84698#366643#307497#366673#307503#350244#394588#326105#307499#366645#307505#376039#307507#356243#307491
20220328_BOG_cafeteria_NB_harinasymezclas_W13,,10,true,28-03-2022,04-04-2022,3,2,,-301764#127106#157739#254112#254113#254112#254113#147341
20220328_BOG_cafeteria_NB_azucaryendulzantes_W13,,7,true,28-03-2022,04-04-2022,3,2,,-301701#400800#63884#23102#126829#63872#195346#339250#339251#-301701#400800#339253#339254#76858
20220328_BOG_cafeteria_NB_huevos_W13,,10,true,28-03-2022,04-04-2022,12,2,,169189#290511#161739#161740#130690#136080#136082#290513
20220328_BOG_cafeteria_NB_leches_W13,,10,true,28-03-2022,04-04-2022,8,2,,161743#161744#190553#266758#266759#401541#-302907#-301074#61745#-300756#190555
20220328_BOG_cafeteria_NB_frutas_W13,,20,true,28-03-2022,04-04-2022,50,2,,-301131#48733#-302379#58962#-303249#-303252#98138#-300531#-302271#-302286#367833#-302271#-302286#367833#-302313#59028#-302772#-302301#150910#-302199#-300093#-300120#-300147#150929#150925#150927#56867#56869#144878#144882#144886#211592#144888#144884#211590#144880#211594#-302271#-302286#367833#144924#144920#144936#144934#144922#144938#-303180#-302313#59028#144924#144920#144936#144934#144922#144938#-300093#-300120#-300147#150929#150925#150927#54045#12091#12038#59074#-300138#58947#-302319#59018#-302328#-302331#-302325#59008#65867#144924#144920#144936#144934#144922#144938#-303249#-303252#98138#-300531#-300099#56867#56869#144878#144882#144886#211592#144888#144884#211590#144880#211594#-300093#-300120#-300147#150929#150925#150927#-300078#-302376#150936
20220328_BOG_cafeteria_NB_frutasjugo_W13,,15,true,28-03-2022,04-04-2022,25,2,,-302262#-302268#-302262#-302268#-302310#59023#-300399#-303309#58942#60747#-303234#58989#-300024#58999#14031#59023#-302310#60741#67368#-300399#59148
20220328_BOG_cafeteria_NB_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,-303333#-303336#-300324#-300327#-300330#58813#-301119#-303432#-303354#-303339#-303342#59130#59132#-300882#-300165#58827#-301296#-301266#58822#-303432#-303354#-303339#-303342#59130#59132#-300324#-300327#-300330#58813#150483#150487#150689#150485#150758#150754#150756#150760#150741#150743#150745#150747#-303432#-303354#-303339#-303342#59130#59132#150758#150754#150756#150760#-303267#-302361#58979#58977#-303300#58952#-303267#-302361#58979#58977#-303333#-303336#-301104#-301158#134651#134653#-303432#-303354#-303339#-303342#59130#59132#150483#150487#150689#150485#-301059#-301056#211601#-300294#59123#-301059#-301056#211601#-301206#-301209#-301113#-301206#-301209#-302802#-303408#-301296#-301266#58822#-301203#59079#-302370#48702#58967#32734#147156#12058#12060#58483#-302370#48702#58967#-302040#-302052#58793#-302040#-302052#58793#12156#58473#-303240#-302364
20220328_BOG_cafeteria_NB_pollo_W13,,18,true,28-03-2022,04-04-2022,10,2,,24106#73744#273998#80658#88865#239244#394839#239246#24106#73744#273998#84440#313145#259095#259096#389953#312791#187093#210457#24106#73744#273998#313153#312789#107549
