offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220408_CMX_cafeteria_NB_azucaryendulzantes_W14,,10,true,08-04-2022,15-04-2022,2,2,,101175#66553#119540#228491#101151#-304089#101199#29960#101215#101191
20220408_CMX_cafeteria_NB_quesos_W14,,15,true,08-04-2022,15-04-2022,10,2,,106889#106890#201116#106895#106896#91356#91360#304773#304774#304775#125839#125840#63994#281647#281648#132592#91374#91376#125848#125849#55161#114546
20220408_CMX_cafeteria_NB_leches_W14,,12,true,08-04-2022,15-04-2022,5,2,,220516#361352#-303780#361346#220519#-303690#361338#220924#-303930#361104#361106#220905#-303636#361133#361131#220516#361352#-303780#361346#220519#-303690#361338#220516#361352#-303780#361346#220924#-303930#361104#361106#220516#361352#-303780#361346
20220408_CMX_cafeteria_NB_frutas_W14,,20,true,08-04-2022,15-04-2022,50,2,,-303687#70318#40493#-304944#70349#-304389#213215#70313#-304347#162633#162635#-304956#-303822#-303828#69751#69744#-304266#-303756#-303825#112958#112960#-304956#-303822#-303828#69751#69744#-304254#-304941#112942#112636#-304383#-304950#-304953#112950#112948#-304344#-304587#-303771#70558#70560#-304254#-304941#112942#112636#-303756#-303825#112958#112960#-304950#-304953#112950#112948#-304080#-304884#70354#-303744#-304587#-303771#70558#70560
20220408_CMX_cafeteria_NB_embutidos_W14,,20,true,08-04-2022,15-04-2022,10,2,,304748#304749#304750#282042#281989#281990#304777#304778#304779#281667#281668#278272#278273#167387#167388#167983#167383#167385
20220408_CMX_cafeteria_NB_huevos_W14,,10,true,08-04-2022,15-04-2022,3,2,,123410#123412
20220408_CMX_cafeteria_NB_papelytoallas_W14,,20,true,08-04-2022,15-04-2022,5,2,,288939#301981#-304077#218797#218799#288939#301981#32687#221568#221566#53975#283690#288938#286896#288966#288967#-303978
20220408_CMX_cafeteria_NB_vasoscontenedoresyplatos_W14,,7,true,08-04-2022,15-04-2022,6,2,,62808#219873#62803#219867#37222#219746#37211#219702#63251#219879#37188#219697#180145#230170#70218#219840#73433#219884#36995#219739#380699#380701#380700#180139#219961#-305136#-305133#-305139#-305142#234855#234857#234856#53047#219846#296041#296040#296039#62808#219873#295395#295397#295396#380699#380701#380700#70080#288946#288949#288948#37179#219692#62790#289054#135939#135941#135940#135691#135689#295397#295395#295396#296039#296041#296040#306189#306191#306190
20220408_CMX_cafeteria_NB_derivadoslacteos_W14,,-1,true,08-04-2022,15-04-2022,-1,-1,,-303861#220492#221306#48638#221306#48638#336624#336630#336626#336624#336630#336626
20220408_CMX_cafeteria_NB_mantequillasymargarinas_W14,,-1,true,08-04-2022,15-04-2022,-1,-1,,55172#98713#122874#68571#122868
20220408_CMX_cafeteria_NB_cremas_W14,,-1,true,08-04-2022,15-04-2022,-1,-1,,78599#384802#173795
20220408_CMX_cafeteria_NB_salsas_W14,,15,true,08-04-2022,15-04-2022,15,2,,92952#56316#56318#59725#37434#-303591#368163#37803#114044#342267#342268#342269#-303495#201137#178411#201131#178409
20220408_CMX_cafeteria_NB_cafechocolateeinfusiones_W14,,-1,true,08-04-2022,15-04-2022,-1,-1,,26031#26048#98524#313255#313257#290413#290425#290417#69440
20220408_CMX_cafeteria_NB_cubiertos_W14,,10,true,08-04-2022,15-04-2022,4,2,,288276#288277#356679#-304992#-304209#288273#288274#283697#283695#-304245#230176
20220408_CMX_cafeteria_NB_mermeladasyconfituras_W14,,-1,true,08-04-2022,15-04-2022,-1,-1,,313263#313265#290342#290343#290451#290400#313275#313277#290400#290401
