offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220601_CWB_other_NB_frango_W22,other_NB_frango,15,True,01-06-2022,03-07-2022,20,1,67362,369863#369864#369865#369863#369864#369865#369903#369904#369905#369879#369881#369880#369863#369864#369865#369871#369872#369873#369883#369884#369885#369879#369881#369880#369883#369884#369885#369903#369904#369905
20220601_CWB_other_NB_suinos_W22,other_NB_suinos,16,True,01-06-2022,03-07-2022,30,1,67363,369405#369407#369406#369417#369419#369418#369409#369411#369410
20220601_CWB_other_NB_embutidos_W22,other_NB_embutidos,15,True,01-06-2022,03-07-2022,30,1,67361,369429#369431#369493#369495#369494#369285#369286#369401#369402#369403#369695#369696#369697#450468#450469#369505#369507#369506#464439#369441#369442
20220601_CWB_other_NB_carnevermelha_W22,other_NB_carnevermelha,16,True,01-06-2022,03-07-2022,10,1,67364,369293#369295#369294#369301#369303#369302#369297#369298
20220601_CWB_other_NB_peixesefrutosdomar_W22,other_NB_peixesefrutosdomar,16,True,01-06-2022,03-07-2022,30,1,67366,369229#369231#369289#369291#369290#369237
20220601_CWB_other_NB_tuberculos_W22,other_NB_tuberculos,15,True,01-06-2022,03-07-2022,20,1,67365,363183#427542#363181#363187#363179#368392
20220601_CWB_other_NB_verduras_W22,other_NB_verduras,18,True,01-06-2022,03-07-2022,20,1,67367,363157#363155#363199#363213
20220601_CWB_other_NB_frutas_W22,other_NB_frutas,18,True,01-06-2022,03-07-2022,20,1,67368,363253#363171#363249#368423#363141#363249#368423#363269#363257#368419#368420#459070#363139
20220601_CWB_other_NB_legumes_W22,other_NB_legumes,18,True,01-06-2022,03-07-2022,20,1,67369,363195#368410#363203#363165#363304#363303#363149#363205#363215
20220601_CWB_other_NB_leite_W22,other_NB_leite,7,True,01-06-2022,03-07-2022,20,1,67370,402792#402791#399789#399788
20220601_CWB_other_NB_ovos_W22,other_NB_ovos,14,True,01-06-2022,03-07-2022,20,1,67371,385498#385499
20220601_CWB_other_NB_detergentesabaoelava-louas_W22,other_NB_detergentesabaoelava-louas,9,True,01-06-2022,03-07-2022,20,1,67372,371318#371319#371318#371319#371322#371323#371326#371327#371322#371323
20220601_CWB_other_NB_feijao_W22,other_NB_feijao,8,True,01-06-2022,03-07-2022,25,1,67373,385443#385444#385443#385444#385434#385435
20220601_CWB_other_NB_farinhasemisturas_W22,other_NB_farinhasemisturas,6,True,01-06-2022,03-07-2022,60,1,67374,377324#377325#424299#424298#377327#377328#424299#424298#423479#423480#424295#424296#424292#424293#424241#424242#424250#424251#377324#377325#423476#423477#424262#424263
20220601_CWB_other_NB_cervejas_W22,other_NB_cervejas,8,True,01-06-2022,03-07-2022,10,1,67375,370805#370807#370806#370805#370807#370806#370891#370893#370892#370805#370807#370806#370810#370811#370891#370893#370892#370814#370816#370815
20220601_CWB_other_NB_refrigeranteseenergeticos_W22,other_NB_refrigeranteseenergeticos,10,True,01-06-2022,03-07-2022,10,1,67376,370740#370742#370741#370857#370858#370859#370740#370742#370741#370750#370751#370758#370759#370740#370742#370741
20220601_CWB_other_NB_sucosechas_W22,other_NB_sucosechas,10,True,01-06-2022,03-07-2022,8,1,67377,370778#370779#370770#370771#370774#370775#370762#370763
20220601_CWB_other_NB_aguaseisotonicos_W22,other_NB_aguaseisotonicos,8,True,01-06-2022,03-07-2022,8,1,67378,391140#391142#391141#391145#391146#391147#391140#391142#391141
