offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220601_GDL_other_NB_pollo_W22,other_NB_pollo,15,True,01-06-2022,03-07-2022,15,1,67380,196131#196132#195943#195944#289949#289948#212263#212264#197089#197090#195870#195871#211789#211790#299213#299217#195979#195980#196143#196144
20220601_GDL_other_NB_res_W22,other_NB_res,15,True,01-06-2022,03-07-2022,15,1,67381,211850#211851#195857#195859#195858#252867#252988#252855#195891#195892#211850#211851#400843#400844#195946#195947#328858#328862
20220601_GDL_other_NB_cerdo_W22,other_NB_cerdo,15,True,01-06-2022,03-07-2022,15,1,67379,218457#218458#277563#282679#277563#282679#218457#218458#211847#211848#438971#438973#211856#211857#438954#438956#438955#289734#289733#410055#438951#438952#438953
20220601_GDL_other_NB_pescadosymariscos_W22,other_NB_pescadosymariscos,15,True,01-06-2022,03-07-2022,15,1,67382,195850#195851#218466#195966#195967#211816#211817
20220601_GDL_other_NB_embutidos_W22,other_NB_embutidos,15,True,01-06-2022,03-07-2022,20,1,67384,429499#429500#429501#304695#304696#304697#304416#304420#304422#304421#304408#304409#388089#429495#429496#429497#218451#218452
20220601_GDL_other_NB_azucaryendulzantes_W22,other_NB_azucaryendulzantes,-1,True,01-06-2022,03-07-2022,-1,-1,67383,195844#195888#195889
20220601_GDL_other_NB_tuberculos_W22,other_NB_tuberculos,14,True,01-06-2022,03-07-2022,4,1,67385,220946#221015
20220601_GDL_other_NB_granos_W22,other_NB_granos,-1,True,01-06-2022,03-07-2022,-1,-1,67386,289707#289708#289709#289710#290544#290545#290546#289662#292025#292033#289712#289713#289714#289674#289675#289676#289677#289966#289967#289968#289969#289679#289680#289681#289682#289951#289952#289954#289953#289720#289722#289721#289976#289977#289704#289705#453049#453050#453051#290548#290549#289716#289717#289718
20220601_GDL_other_NB_frutas_W22,other_NB_frutas,16,True,01-06-2022,03-07-2022,50,1,67387,220950#221002#220948#221032#233448#414172#264341#221050#221076#405424
20220601_GDL_other_NB_verduras_W22,other_NB_verduras,18,True,01-06-2022,03-07-2022,50,1,67388,221089#220944#220970#220956#220960#220941#220942#220954#220993#220974#220941#220942#221063#220989#221022
20220601_GDL_other_NB_huevos_W22,other_NB_huevos,8,True,01-06-2022,03-07-2022,12,1,67389,195841#195839
20220601_GDL_other_NB_leches_W22,other_NB_leches,8,True,01-06-2022,03-07-2022,15,1,67390,304508#196092#196093#196094#304509#195971#195969#195970#304505#196124#196126#196125#304509#195971#195969#195970#304508#196092#196093#196094
20220601_GDL_other_NB_vasoscontenedoresyplatos_W22,other_NB_vasoscontenedoresyplatos,8,True,01-06-2022,03-07-2022,6,1,67391,211888#211889#307939#307941#307940#348851#348852#348853#394899#197735#211888#211889#394899#197735#211894#211895#307939#307941#307940#348847#348848#348849#307939#307941#307940#212266#212267#203189#203190#291207#291206#348859#348860#348861#348843#394896#348845#348844#203192#203193#197703#197704#291265#291263#291264
20220601_GDL_other_NB_detergentejabonylavatrastes_W22,other_NB_detergentejabonylavatrastes,8,True,01-06-2022,03-07-2022,6,1,67392,197711#197713#197712#304500#291068#291069#291064#291065#291066#212240#212241#197711#197713#197712#304500#212246#212247#291068#291069#291080#291081#197711#197713#197712#304500#291045#291046#291047
20220601_GDL_other_NB_arroz_W22,other_NB_arroz,-1,True,01-06-2022,03-07-2022,-1,-1,67393,212292#212293#212294#289668#289669#289670#212296#212297#212298
20220601_GDL_other_NB_pasta_W22,other_NB_pasta,-1,True,01-06-2022,03-07-2022,-1,-1,67394,212394#212395#212396#323897#323898#323899#323904#323905#323906#323916#323917#323918#323908#323909#323910#323928#323929#323930#323920#323921#323922#323924#323925#323926#323904#323905#323906#323897#323898#323899#212394#212395#212396
20220601_GDL_other_NB_quesos_W22,other_NB_quesos,15,True,01-06-2022,03-07-2022,12,1,67395,289010#289011#289012#197092#197093#304435#304436#304428#304429#304430#197095#197096#429113#429114
20220601_GDL_other_NB_derivadoslacteos_W22,other_NB_derivadoslacteos,12,True,01-06-2022,03-07-2022,6,1,67396,289034#289035#289036#289188#289189#289190#197131#197132#197133#197131#197132#197133#197131#197132#197133
20220601_GDL_other_NB_papelytoallas_W22,other_NB_papelytoallas,10,True,01-06-2022,03-07-2022,30,1,67397,212252#212253#212254#343750#343752#343754#211880#211881#211882#212071#212072#212073#212252#212253#212254#343750#343752#343754#291193
20220601_GDL_other_NB_empaqueyenvoltura_W22,other_NB_empaqueyenvoltura,8,True,01-06-2022,03-07-2022,15,1,67398,348869#197706
20220601_GDL_other_NB_mantequillas_W22,other_NB_mantequillas,8,True,01-06-2022,03-07-2022,5,1,67399,212081#212082#197101#207639
20220601_GDL_other_NB_implementosdeaseo_W22,other_NB_implementosdeaseo,-1,True,01-06-2022,03-07-2022,-1,-1,67400,344461#344457#344467
20220601_GDL_other_NB_cremas_W22,other_NB_cremas,8,True,01-06-2022,03-07-2022,5,1,67401,195976#195977#195976#195977
20220601_GDL_other_NB_alimentoscongelados_W22,other_NB_alimentoscongelados,14,True,01-06-2022,03-07-2022,10,1,67402,312115#312116#312117#312107#312108#312109#312103#312104#312105#312111#312112#312113#312123#312124#312125#312107#312108#312109#312107#312108#312109#312115#312116#312117
20220601_GDL_other_NB_cubiertos_W22,other_NB_cubiertos,8,True,01-06-2022,03-07-2022,7,1,67403,212489#212490#212491#212493#212494#212495#348871#348872
20220601_GDL_other_NB_bolsas_W22,other_NB_bolsas,8,True,01-06-2022,03-07-2022,5,1,67404,348877#348878#348874#348875
