offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220601_MDE_other_NB_tuberculos_W22,other_NB_tuberculos,15,True,01-06-2022,03-07-2022,4,1,67406,375344#420019#420017#423783#363493#375344#420019#420017#423783
20220601_MDE_other_NB_arroz_W22,other_NB_arroz,-1,True,01-06-2022,03-07-2022,-1,-1,67405,366581#396195#396198#366840#396203#396205#371192#371193#371194#366583#366584
20220601_MDE_other_NB_frutas_W22,other_NB_frutas,20,True,01-06-2022,03-07-2022,50,1,67409,363451#399049#363510#363441#363530
20220601_MDE_other_NB_huevos_W22,other_NB_huevos,9,True,01-06-2022,03-07-2022,12,1,67408,379876#379875
20220601_MDE_other_NB_verduras_W22,other_NB_verduras,20,True,01-06-2022,03-07-2022,50,1,67407,363439#462257#363443#363523#363467#363519#363517#363480#363447
20220601_MDE_other_NB_vasos_W22,other_NB_vasos,-1,True,01-06-2022,03-07-2022,-1,-1,67410,365638#365639#365635#365636#365638#365639
20220601_MDE_other_NB_contenedores_W22,other_NB_contenedores,8,True,01-06-2022,03-07-2022,6,1,67411,365474#365448#365449#365442#365445#365446#365462#440353#440354#443539#443540#443541#365457#426045#426046#426047#365471#365472
20220601_MDE_other_NB_detergentejabonylavalozas_W22,other_NB_detergentejabonylavalozas,-1,True,01-06-2022,03-07-2022,-1,-1,67412,364554#364555#365318#365319#364548#364549#365318#365319#363822#363823#364551#364552
20220601_MDE_other_NB_gaseosas_W22,other_NB_gaseosas,12,True,01-06-2022,03-07-2022,7,1,67413,367471#367462#367461#367466#367459#367428#367429#367430#367478#367462#367461#367559#367432
20220601_MDE_other_NB_papelytoallas_W22,other_NB_papelytoallas,-1,True,01-06-2022,03-07-2022,-1,-1,67414,365403#365404#365261#365262#365391#365392#365406#365407#391442#391444#391443#365403#365404#365406#365407#365391#365392#393839#393840#365412
20220601_MDE_other_NB_desinfectantesysanitizantes_W22,other_NB_desinfectantesysanitizantes,-1,True,01-06-2022,03-07-2022,-1,-1,67415,363807#363805#410843#469841#469842
20220601_MDE_other_NB_cubiertosypitillos_W22,other_NB_cubiertosypitillos,-1,True,01-06-2022,03-07-2022,-1,-1,67416,365617#365618#365542#365543#365548#365549#365554#365555#365617#365618#365542#365543#480572#480573
20220601_MDE_other_NB_leches_W22,other_NB_leches,-1,True,01-06-2022,03-07-2022,-1,-1,67417,380645#380646#380645#380646#379942#379943
20220601_MDE_other_NB_empaqueyenvoltura_W22,other_NB_empaqueyenvoltura,-1,True,01-06-2022,03-07-2022,-1,-1,67418,422389#422390#365563#365564#451648#451649#454849#454850
20220601_MDE_other_NB_cremas_W22,other_NB_cremas,-1,True,01-06-2022,03-07-2022,-1,-1,67419,379857#379858#379863#379864
20220601_MDE_other_NB_bolsas_W22,other_NB_bolsas,-1,True,01-06-2022,03-07-2022,-1,-1,67420,415716#415717#415713#415714#415716#415717#415713#415714#415719#415720#451657#451658
20220601_MDE_other_NB_platosybandejas_W22,other_NB_platosybandejas,-1,True,01-06-2022,03-07-2022,-1,-1,67421,365578#365579#365578#365579#365587#365588#442105#442107#442106
20220601_MDE_other_NB_derivadoslacteos_W22,other_NB_derivadoslacteos,-1,True,01-06-2022,03-07-2022,-1,-1,67422,379878#379879
