offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220601_SPO_comidaporquilo_NB_arroz_W22,comidaporquilo_NB_arroz,6,True,01-06-2022,03-07-2022,10,1,67763,153090#153089#255296#255295#97195#97193#99495#72302#296390#296389#153090#153089#99495#72302#255295#255296#296389#296390#152144#152145#152139#152138#136890#136889#97193#97195
20220601_SPO_comidaporquilo_NB_farinhasemisturas_W22,comidaporquilo_NB_farinhasemisturas,6,True,01-06-2022,03-07-2022,60,1,67764,116061#116063#108304#108302#108304#108302#116061#116063#172025#172124#163389#163390#172035#172129#172055#172070#73465#73467#172057#172071#172023#172123#163389#163390#163390#163389#172037#172130#232190#232189#232192#232193#73467#73465#172039#172131#172043#172133#172021#172122#172124#172025
20220601_SPO_comidaporquilo_NB_frutas_W22,comidaporquilo_NB_frutas,18,True,01-06-2022,03-07-2022,20,1,67762,-314629#163197#75842#98094#89339#-314938#88094#133468#133470#89339#-314938#88094#133468#133470#144533#-314689#112149#-314998#111250#106226#148094#148096#-314638#111225#89339#-314938#88094#133468#133470#231401#-314698#106241#88094#-314938#89339#133470#133468#-314656#106188#126661#106226#-314998#111250#111215#-314635#106204#-314767#89349#74164#98099#111240#98103#75071#-314770#97340
20220601_SPO_comidaporquilo_NB_verduras_W22,comidaporquilo_NB_verduras,18,True,01-06-2022,03-07-2022,20,1,67766,75297#112100#75297#112100#74194#112182#74156#112237#74194#112182#73648#112095#75002#75087#112265#74988#75043#112210#74278#112175#73648#112095#-314734#73687#112110#-314737#89320#163207#89184#97309#74224#112200#119267#119265#119278#119280#75095
20220601_SPO_comidaporquilo_NB_legumes_W22,comidaporquilo_NB_legumes,18,True,01-06-2022,03-07-2022,20,1,67765,-314737#89320#-314797#97304#73947#112115#-314770#97340#-314692#-314716#111245#106081#119265#119267#-314737#89320#-314734#89184#97309#-314728#111235#106246#-314857#112220#163207#-314704#-314809#89323#-314725#112225#-314728#106246#111235#-314710#106219#111210#-314611#97388
20220601_SPO_comidaporquilo_NB_tuberculos_W22,comidaporquilo_NB_tuberculos,15,True,01-06-2022,03-07-2022,20,1,67767,-314887#89305#-314899#-314893#-314833#89315#-314716#111245#106081#-314797#97304#163220#-314932#106076#-314896#106199
20220601_SPO_comidaporquilo_NB_feijao_W22,comidaporquilo_NB_feijao,8,True,01-06-2022,03-07-2022,25,1,67768,412447#414595#72499#72497#155197#155139#72490#72488#152148#152147#72322#72318#110161#110140#412447#414595#152195#152196#72488#72490#152147#152148#278405#278404#154459#154557#110140#110161#72318#72322#152190#152189#72331#72329#155144#155143#154461#154462#110167#110171
20220601_SPO_comidaporquilo_NB_carnevermelha_W22,comidaporquilo_NB_carnevermelha,16,True,01-06-2022,03-07-2022,10,1,67769,197841#197843#197845#164143#165850#165852#197865#197867#197869#197625#197627#197629#197853#197855#197857#197841#197843#197845#232294#197625#197627#197629#164155#165834#164149#165842#197865#197867#197869#232294#232295#232296#164155#165834#165836#306193#306194
20220601_SPO_comidaporquilo_NB_embutidos_W22,comidaporquilo_NB_embutidos,15,True,01-06-2022,03-07-2022,30,1,67770,165988#165990#165992#232302#232303#232304#165672#165738#217671#217673#217672#165678#165730#165346#165706#165708#217667#217668#217669#235636#235740#235738#180640#180641#180642#165988#165990#165992#382139#382140#382155#382156#382157#382143#382145#165352#165698#243705#243706#217655#217657#217656#166000#166002#180672
20220601_SPO_comidaporquilo_NB_frango_W22,comidaporquilo_NB_frango,15,True,01-06-2022,03-07-2022,20,1,67771,284505#284507#284506#284505#284507#284506#284511#284509#284510#221189#221193#221191#284511#284509#284510#221189#221193#221191#284505#284507#284506#284511#284509#284510#221189#221193#221191#284517#284518#284519#284493#284494#284495#284489#284490#284491#202851#202852#202853#285246#285248#285247#165976#165980#165978#165964#165966#165968#396273#396275#396277#285246#285248#285247#284513#284515#284514#165374#165812#165810#165666#165748#165746#186497#186498#243698#165368#165820#165818#165642#165772#165770#221193#221191#221189#285242#285243#285244#285248#285246#285247#284513#284514#284515#165380#165802#165804
20220601_SPO_comidaporquilo_NB_alimentoscongelados_W22,comidaporquilo_NB_alimentoscongelados,10,True,01-06-2022,03-07-2022,30,1,67772,166052#166054#166056#243671#243673#243672#225197#225198#225199#166052#166054#166056#166028#166030#166100#166102#166104#225193#225194#401640#401641#401642#441231#441232#441233#243671#243673#243672#243671#243673#243672#401648#401649#401650#180321#180320#180319#243665#243664#243663#180325#180324#180323#166184#166186#166188#166028#166032#166030#225193#225194#225195#166088#166092#166090#225198#225199#225197#261689#261690#261691
20220601_SPO_comidaporquilo_NB_massasemolhos_W22,comidaporquilo_NB_massasemolhos,12,True,01-06-2022,03-07-2022,80,1,67773,108499#108497#108499#108497#245248#244021#245248#244021#141922#141923#108429#108431#173891#173927#141922#141923#108411#108413#173891#173927#108488#108490#108429#108431#108420#108422#458839#458840#409901#409902#173895#173929#223440#223442#108411#108413#458839#458840#108390#108392#108490#108488#108506#108508#168064#168065#141923#141922
