offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220701_BAQ_parrillaasadero_NB_pollo_W26_control,parrillaasadero_NB_pollo,15,True,01-07-2022,31-07-2022,15,1,73051,200610#200608#145702#192891#200035#234689#234738#194539#200789#143319#244571#244572#221589#221638#221639#192841#200630#86896
20220701_BAQ_parrillaasadero_NB_cerdo_W26_control,parrillaasadero_NB_cerdo,18,True,01-07-2022,31-07-2022,15,1,73058,116462#271592#83984#200953#200951#200955
20220701_BAQ_parrillaasadero_NB_res_W26_control,parrillaasadero_NB_res,15,True,01-07-2022,31-07-2022,15,1,73054,-302454#226895#226889#200943#138161#86687#-300459#226148#226150#83978#74804#130629#106493#200949#200939#138163
20220701_BAQ_parrillaasadero_NB_pescadosymariscoscongelado_W26_control,parrillaasadero_NB_pescadosymariscoscongelado,15,True,01-07-2022,31-07-2022,15,1,73055,403689#86806#145721#42430#51257#129527#169955#110372#110380#65649#84290
20220701_BAQ_parrillaasadero_NB_embutidos_W26_control,parrillaasadero_NB_embutidos,15,True,01-07-2022,31-07-2022,20,1,73057,288719#288722#146893#-302430#83950#-303231#-300018#-300582
20220701_BAQ_parrillaasadero_NB_alimentoscongelados_W26_control,parrillaasadero_NB_alimentoscongelados,12,True,01-07-2022,31-07-2022,10,1,73061,448645#42509#186939#51325#114469#169963#169959
20220701_BAQ_parrillaasadero_NB_verduras_W26_control,parrillaasadero_NB_verduras,18,True,01-07-2022,31-07-2022,50,1,73063,258690#73267#73211#258696#26107#287738#18439#-302016#-300477#-300879#-300753#-300777#-300645#-300657#401340#401346#-302556#327556#327559#214690#214692#-302256
20220701_BAQ_parrillaasadero_NB_tuberculos_W26_control,parrillaasadero_NB_tuberculos,14,True,01-07-2022,31-07-2022,4,1,73065,-302028#-300387#-302025#-302280#-302949#196351#-302919#-302034#192764#63744#-302283#183252#183255#-302946#-302943#-302898#-302901#-302925#73260#-302025#-300387#-302028
20220701_BAQ_parrillaasadero_NB_bolsas_W26_control,parrillaasadero_NB_bolsas,8,True,01-07-2022,31-07-2022,5,1,73067,417442#417443#417439#417440#257688#257387#197083#197087#139031#139036#145639#200889#139026#257699#257696#257378
20220701_BAQ_parrillaasadero_NB_aceitesygrasas_W26_control,parrillaasadero_NB_aceitesygrasas,6,True,01-07-2022,31-07-2022,4,1,73069,222614#222598
20220701_BAQ_parrillaasadero_NB_arroz_W26_control,parrillaasadero_NB_arroz,6,True,01-07-2022,31-07-2022,4,1,73071,281192
20220701_BAQ_parrillaasadero_NB_salsas_W26_control,parrillaasadero_NB_salsas,10,True,01-07-2022,31-07-2022,15,1,73073,258555#258576#258549#258573#258557#258553#258547#258553#258575#258557#258577#112693#39570#258567#258582#258547#258572#258551#112700
20220701_BAQ_parrillaasadero_NB_gaseosas_W26_control,parrillaasadero_NB_gaseosas,10,True,01-07-2022,31-07-2022,7,1,73075,251220#226955#271668#271667#271666#271676#271674
20220701_BAQ_parrillaasadero_NB_contenedores_W26_control,parrillaasadero_NB_contenedores,6,True,01-07-2022,31-07-2022,6,1,73077,117735#111047#118004#118002#117988#111051#302439#302440#145641#212499
20220701_BAQ_parrillaasadero_NB_detergentejabonylavalozas_W26_control,parrillaasadero_NB_detergentejabonylavalozas,12,True,01-07-2022,31-07-2022,5,1,73079,161712#57855#161710#161708#338312#338311
20220701_BAQ_parrillaasadero_NB_implementosdeaseo_W26_control,parrillaasadero_NB_implementosdeaseo,10,True,01-07-2022,31-07-2022,10,1,73082,57867#387482#57785#363534#57755#387458
20220701_BAQ_parrillaasadero_NB_cremas_W26_control,parrillaasadero_NB_cremas,10,True,01-07-2022,31-07-2022,5,1,73083,126901
