offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240301_BHZ_other_piloto_NB_alimentoscongelados_W9,other_piloto_NB_alimentoscongelados,15,true,01-03-2024,31-03-2024,15,1,640760,263667#569819,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_arroz_W9,other_piloto_NB_arroz,7,true,01-03-2024,31-03-2024,30,1,640759,331189#257901#456105,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_azeitesoleosevinagres_W9,other_piloto_NB_azeitesoleosevinagres,7,true,01-03-2024,31-03-2024,100,1,640762,252145#251946#477548#353139,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_aucaradoantesedoces_W9,other_piloto_NB_aucaradoantesedoces,6,true,01-03-2024,31-03-2024,38,1,640761,283189#269739,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_batataspre-fritas_W9,other_piloto_NB_batataspre-fritas,11,true,01-03-2024,31-03-2024,30,1,640764,356539#503109#263671#356879,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_cafechocolateseinfusoes_W9,other_piloto_NB_cafechocolateseinfusoes,9,true,01-03-2024,31-03-2024,50,1,640763,306010#306019#306007#306028,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_carnevermelha_W9,other_piloto_NB_carnevermelha,8,true,01-03-2024,31-03-2024,75,1,640765,322489#322497,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_cervejas_W9,other_piloto_NB_cervejas,8,true,01-03-2024,31-03-2024,180,1,640766,460762#363895#324002#285642,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_condimentos_W9,other_piloto_NB_condimentos,15,true,01-03-2024,31-03-2024,60,1,640767,604399#464151#592705#294210#559034#644073#633125#559031,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_conservaseenlatados_W9,other_piloto_NB_conservaseenlatados,15,true,01-03-2024,31-03-2024,60,1,640768,634039#633875#634055,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_desengordurantes_W9,other_piloto_NB_desengordurantes,15,true,01-03-2024,31-03-2024,23,1,640769,258244#581669#450328#287568,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_desinfetantesesanitizantes_W9,other_piloto_NB_desinfetantesesanitizantes,12,true,01-03-2024,31-03-2024,30,1,640770,639023#450356#581661#258238#639021#460747,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_detergentesabaoelava-louas_W9,other_piloto_NB_detergentesabaoelava-louas,14,true,01-03-2024,31-03-2024,120,1,640771,308301#308300#637072#614657#614661#308298#308299,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_embutidos_W9,other_piloto_NB_embutidos,13,true,01-03-2024,31-03-2024,75,1,640773,263365#428529#569807#418597#263385,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_farinhasemisturas_W9,other_piloto_NB_farinhasemisturas,14,true,01-03-2024,31-03-2024,108,1,640774,626313#355704#626325#355725#633541#355689,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_feijao_W9,other_piloto_NB_feijao,11,true,01-03-2024,31-03-2024,75,1,640775,269745#648089,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_frango_W9,other_piloto_NB_frango,8,true,01-03-2024,31-03-2024,75,1,640776,263345#612248#612252#569803,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_frutas_W9,other_piloto_NB_frutas,12,true,01-03-2024,31-03-2024,100,1,640777,252255#252261#252267#351707#252249#374274#374393,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_laticinios_W9,other_piloto_NB_laticinios,10,true,01-03-2024,31-03-2024,68,1,640778,490066#400689#490072,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_legumes_W9,other_piloto_NB_legumes,15,true,01-03-2024,31-03-2024,50,1,640779,252265#252253#313549#307370#313543#305797,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_leite_W9,other_piloto_NB_leite,5,true,01-03-2024,31-03-2024,45,1,640780,621871#328373,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_manteigasemargarinas_W9,other_piloto_NB_manteigasemargarinas,13,true,01-03-2024,31-03-2024,25,1,640781,263787#263753#555728,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_massasemolhos_W9,other_piloto_NB_massasemolhos,14,true,01-03-2024,31-03-2024,60,1,640782,466451#352285#637447#637435#257934#285539#456093#613453#637423,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_outroslimpadores_W9,other_piloto_NB_outroslimpadores,15,true,01-03-2024,31-03-2024,20,1,640783,450322#581657,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_ovos_W9,other_piloto_NB_ovos,9,true,01-03-2024,31-03-2024,8,1,640784,626315,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_papeis_W9,other_piloto_NB_papeis,15,true,01-03-2024,31-03-2024,203,1,640785,419145#425994#366189#258217#419051,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_peixesefrutosdomar_W9,other_piloto_NB_peixesefrutosdomar,13,true,01-03-2024,31-03-2024,25,1,640786,583707,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_polpaseaai_W9,other_piloto_NB_polpaseaai,14,true,01-03-2024,31-03-2024,8,1,640787,644091#263583#263599,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_queijos_W9,other_piloto_NB_queijos,8,true,01-03-2024,31-03-2024,30,1,640788,438839#356859#263328#373793#606489#263439#600386,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_refrigeranteseenergeticos_W9,other_piloto_NB_refrigeranteseenergeticos,9,true,01-03-2024,31-03-2024,180,1,640789,308288#456089#363869#308289#453797#453389,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_sucosechas_W9,other_piloto_NB_sucosechas,15,true,01-03-2024,31-03-2024,90,1,640790,285599#308297#285482#308296,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_suinos_W9,other_piloto_NB_suinos,9,true,01-03-2024,31-03-2024,75,1,640791,263749#263745,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_temperos_W9,other_piloto_NB_temperos,15,true,01-03-2024,31-03-2024,60,1,640792,559131#619591,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_tuberculos_W9,other_piloto_NB_tuberculos,15,true,01-03-2024,31-03-2024,63,1,640793,252259#252263#252245#252257#281487,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_utensilios_W9,other_piloto_NB_utensilios,11,true,01-03-2024,31-03-2024,15,1,640794,625409,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_utensiliosdelimpeza_W9,other_piloto_NB_utensiliosdelimpeza,15,true,01-03-2024,31-03-2024,30,1,640795,258301#327245#258256,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_verduras_W9,other_piloto_NB_verduras,15,true,01-03-2024,31-03-2024,50,1,640796,430958#252251#252243#313555,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_aguaseisotonicos_W9,other_piloto_NB_aguaseisotonicos,15,true,01-03-2024,31-03-2024,180,1,641004,616553,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_piloto_NB_docesesobremesas_W9,other_piloto_NB_docesesobremesas,12,true,01-03-2024,31-03-2024,15,1,640772,263479#263475#263483#352273,INCLUDED,SUPER_DISCOUNT,0
20240301_BHZ_other_control_NB_alimentoscongelados_W9,other_control_NB_alimentoscongelados,1,true,01-01-2028,02-01-2028,1,1,640966,263667#569819,INCLUDED,SUPER_DISCOUNT,0
