offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220701_CMX_fonda_NB_derivadoslacteos_W26_control,fonda_NB_derivadoslacteos,12,True,01-07-2022,31-07-2022,6,1,72798,-303861#220492#336630#336626#336624
20220701_CMX_fonda_NB_pollo_W26_control,fonda_NB_pollo,15,True,01-07-2022,31-07-2022,15,1,72799,167266#167267#167263#167264#167259#167261#167260#290277#290275#290276#278241#278242#290178#290179#290182#290181#295332#290076#290078#180308#180307#167257#167256#175195#285341#285342#308265
20220701_CMX_fonda_NB_cerdo_W26_control,fonda_NB_cerdo,15,True,01-07-2022,31-07-2022,15,1,72801,379797#290154#290155#420452#420451#508901#508903#397044#397046#397048#290102#290100#438990#438988#438989#167353#167354#242095#325486#185451#181339#181340#290136#290135#290142#290141#290155#290154
20220701_CMX_fonda_NB_res_W26_control,fonda_NB_res,15,True,01-07-2022,31-07-2022,15,1,72803,420443#420444#420445#328683#314938#314940#328687#379617#379619#290106#290244#290243#290242#256705#290098#290096#290097#167142#167144#167143#290086#167170#167171#167172
20220701_CMX_fonda_NB_arroz_W26_control,fonda_NB_arroz,6,True,01-07-2022,31-07-2022,4,1,72805,25942#226699#-303681#287391#287392#287393#308865#275939#308869#308867#295514#275941#295512#295506#275945#295534#295888#295890#287391#287393#287392
20220701_CMX_fonda_NB_pasta_W26_control,fonda_NB_pasta,10,True,01-07-2022,31-07-2022,50,1,72807,136392#136396#136394#136067#136071#136069#440541#440539#440540#136078#136442#136440#440528#440529#440530#440544#440545#440543#440532#440534#440533#136078#-305250#136442#136440#136392#-303942#136394#136396#-305238#136067#136069#136071
20220701_CMX_fonda_NB_leches_W26_control,fonda_NB_leches,8,True,01-07-2022,31-07-2022,15,1,72809,220924#-303930#361104#220516#-303780
20220701_CMX_fonda_NB_quesos_W26_control,fonda_NB_quesos,15,True,01-07-2022,31-07-2022,12,1,72811,66202#91374#91376#281647#281648#281649#125839#125840#107389#107390#91368#125851#125852#132592#64000
20220701_CMX_fonda_NB_verduras_W26_control,fonda_NB_verduras,18,True,01-07-2022,31-07-2022,50,1,72813,-303531#-303603#-303522#213218#213220#-303516#213222#213224#80507#71746#-304617#-304614#213230#213232#70548#70550#-304368#-304371#73977#421883#-304374#70293#421885#421881#70291#-305073#70273#-304437#-304443#80525#80527#213208#213210#-304566#70359#54992#-304611#70362#-304227#70255#-305004#-304947#74549#74551#12661#113740#-303702#-303618#447366#429703#447368#-303627#70250#-303630#70542#-304362#113030#-303555#-304959#70302#-304926#-304365#-304341#-304131#-304899#-303573#75331#-304065#-304068#80058
20220701_CMX_fonda_NB_huevos_W26_control,fonda_NB_huevos,8,True,01-07-2022,31-07-2022,12,1,72815,123410#123412
20220701_CMX_fonda_NB_papelytoallas_W26_control,fonda_NB_papelytoallas,10,True,01-07-2022,31-07-2022,30,1,72817,301981#288939#-304077#218799#218797#53975#221577#32687#221568#221566#288958#288959#288939#301981#286896#288966#288967#283690#288938#-303978
20220701_CMX_fonda_NB_salsas_W26_control,fonda_NB_salsas,10,True,01-07-2022,31-07-2022,15,1,72819,92952#59725#342267#342269#342268#-303591#56316#56318#440386#37434#-303993#-304812#-303981#-305175#92313
20220701_CMX_fonda_NB_enlatados_W26_control,fonda_NB_enlatados,12,True,01-07-2022,31-07-2022,15,1,72821,359344#359346#359348#359342#134385#126701#126705#-303471#126703#358572#56058#359252#126725#126723#-303726#126727#359243#126455#79329#126453#359269#359271#289355#126476#126478#79335#359278#359280#289359#289355#289356#289379#289367#289363#289375#289376#289371#60271#-303471#126705#126703#126701#126725#-303726#126723#126727#126486#126690#-303510#126484
20220701_CMX_fonda_NB_frutas_W26_control,fonda_NB_frutas,16,True,01-07-2022,31-07-2022,50,1,72823,-304389#213215#70313#-303687#70318#-304944#70349#454697#454699#454701#-303822#-304956#-303828#69744#69751#-304953#-304950#112948#112950#-303825#-303756#112960#112958#162633#162635#-304344#-303675#-304296
20220701_CMX_fonda_NB_tuberculos_W26_control,fonda_NB_tuberculos,14,True,01-07-2022,31-07-2022,4,1,72825,64193#213205#64195#80054#80052#-304971
20220701_CMX_fonda_NB_chilessecos_W26_control,fonda_NB_chilessecos,8,True,01-07-2022,31-07-2022,15,1,72827,-305031#-305109#25959#-304290#288250#288251#288249#287411#287412#287416#287417#287418#287422#287423#287421#287425#287426
20220701_CMX_fonda_NB_aceitesygrasas_W26_control,fonda_NB_aceitesygrasas,7,True,01-07-2022,31-07-2022,4,1,72829,117709#368168#117707#-303954#101239#348492#348490#348494#503696#503697#503698#503699#524339
20220701_CMX_fonda_NB_embutidos_W26_control,fonda_NB_embutidos,15,True,01-07-2022,31-07-2022,20,1,72831,281667#281669#281668#281671#281990#281989#278273#278272#282042#281663#281664
20220701_CMX_fonda_NB_panaderiaytortilleria_W26_control,fonda_NB_panaderiaytortilleria,10,True,01-07-2022,31-07-2022,15,1,72833,105641#377876#377877#377878#377872#377873#377874#377880#377882#377881
20220701_CMX_fonda_NB_pescadosymariscoscongelado_W26_control,fonda_NB_pescadosymariscoscongelado,15,True,01-07-2022,31-07-2022,15,1,72835,234267#234268#167177#167178#167193#167194
20220701_CMX_fonda_NB_alimentoscongelados_W26_control,fonda_NB_alimentoscongelados,14,True,01-07-2022,31-07-2022,10,1,72837,56517#122848#382918#180193#180194#180195#180198#180197#180199#56525#122853
20220701_CMX_fonda_NB_cafechocolateeinfusiones_W26_control,fonda_NB_cafechocolateeinfusiones,10,True,01-07-2022,31-07-2022,30,1,72839,26031#313251#313252#313253#313259#313260#313261#377840#377839#377841
20220701_CMX_fonda_NB_mantequillasymargarinas_W26_control,fonda_NB_mantequillasymargarinas,8,True,01-07-2022,31-07-2022,5,1,72841,98713#122874#55172
20220701_CMX_fonda_NB_empaqueyenvoltura_W26_control,fonda_NB_empaqueyenvoltura,8,True,01-07-2022,31-07-2022,15,1,72843,267339#356682
20220701_CMX_fonda_NB_derivadoslacteos_W26_piloto,fonda_NB_derivadoslacteos_piloto,12,True,01-07-2022,31-07-2022,16,1,72797,-303861#220492#336630#336626#336624
20220701_CMX_fonda_NB_pollo_W26_piloto,fonda_NB_pollo_piloto,15,True,01-07-2022,31-07-2022,25,1,72800,167266#167267#167263#167264#167259#167261#167260#290277#290275#290276#278241#278242#290178#290179#290182#290181#295332#290076#290078#180308#180307#167257#167256#175195#285341#285342#308265
20220701_CMX_fonda_NB_cerdo_W26_piloto,fonda_NB_cerdo_piloto,15,True,01-07-2022,31-07-2022,25,1,72802,379797#290154#290155#420452#420451#508901#508903#397044#397046#397048#290102#290100#438990#438988#438989#167353#167354#242095#325486#185451#181339#181340#290136#290135#290142#290141#290155#290154
20220701_CMX_fonda_NB_res_W26_piloto,fonda_NB_res_piloto,15,True,01-07-2022,31-07-2022,25,1,72804,420443#420444#420445#328683#314938#314940#328687#379617#379619#290106#290244#290243#290242#256705#290098#290096#290097#167142#167144#167143#290086#167170#167171#167172
20220701_CMX_fonda_NB_arroz_W26_piloto,fonda_NB_arroz_piloto,6,True,01-07-2022,31-07-2022,14,1,72806,25942#226699#-303681#287391#287392#287393#308865#275939#308869#308867#295514#275941#295512#295506#275945#295534#295888#295890#287391#287393#287392
20220701_CMX_fonda_NB_pasta_W26_piloto,fonda_NB_pasta_piloto,10,True,01-07-2022,31-07-2022,60,1,72808,136392#136396#136394#136067#136071#136069#440541#440539#440540#136078#136442#136440#440528#440529#440530#440544#440545#440543#440532#440534#440533#136078#-305250#136442#136440#136392#-303942#136394#136396#-305238#136067#136069#136071
20220701_CMX_fonda_NB_leches_W26_piloto,fonda_NB_leches_piloto,8,True,01-07-2022,31-07-2022,25,1,72810,220924#-303930#361104#220516#-303780
20220701_CMX_fonda_NB_quesos_W26_piloto,fonda_NB_quesos_piloto,15,True,01-07-2022,31-07-2022,22,1,72812,66202#91374#91376#281647#281648#281649#125839#125840#107389#107390#91368#125851#125852#132592#64000
