offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240301_CWB_other_piloto_NB_alimentoscongelados_W9,other_piloto_NB_alimentoscongelados,15,true,01-03-2024,31-03-2024,10,1,641670,525842#604287#645643#645647#600093,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_arroz_W9,other_piloto_NB_arroz,8,true,01-03-2024,31-03-2024,50,1,641671,385404#578151,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_azeitesoleosevinagres_W9,other_piloto_NB_azeitesoleosevinagres,6,true,01-03-2024,31-03-2024,100,1,641673,372245#381444#623649,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_aucaradoantesedoces_W9,other_piloto_NB_aucaradoantesedoces,5,true,01-03-2024,31-03-2024,38,1,641672,385389#597161,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_batataspre-fritas_W9,other_piloto_NB_batataspre-fritas,14,true,01-03-2024,31-03-2024,20,1,641674,369891#643305,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_cafechocolateseinfusoes_W9,other_piloto_NB_cafechocolateseinfusoes,11,true,01-03-2024,31-03-2024,50,1,641675,377392#377401#376336#377389,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_carnevermelha_W9,other_piloto_NB_carnevermelha,13,true,01-03-2024,31-03-2024,75,1,641063,602291,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_cervejas_W9,other_piloto_NB_cervejas,5,true,01-03-2024,31-03-2024,180,1,641064,370890#643605#370809#494032,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_condimentos_W9,other_piloto_NB_condimentos,14,true,01-03-2024,31-03-2024,60,1,641065,635869#635875#633173#635891#635847#635877#635029#633177#633343#635871,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_conservaseenlatados_W9,other_piloto_NB_conservaseenlatados,15,true,01-03-2024,31-03-2024,60,1,641067,412311#509589,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_coposrecipientesepratos_W9,other_piloto_NB_coposrecipientesepratos,12,true,01-03-2024,31-03-2024,8,1,641066,513252,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_desinfetantesesanitizantes_W9,other_piloto_NB_desinfetantesesanitizantes,15,true,01-03-2024,31-03-2024,30,1,641068,648261#477628#614382#532039#648239,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_destilados_W9,other_piloto_NB_destilados,3,true,01-03-2024,31-03-2024,120,1,641069,589501,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_detergentesabaoelava-louas_W9,other_piloto_NB_detergentesabaoelava-louas,13,true,01-03-2024,31-03-2024,90,1,641070,371317#648251#614406#590843#648259#371026#477610,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_embutidos_W9,other_piloto_NB_embutidos,8,true,01-03-2024,31-03-2024,75,1,641072,369429#586793#450468,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_farinhasemisturas_W9,other_piloto_NB_farinhasemisturas,11,true,01-03-2024,31-03-2024,50,1,641073,583749#377327#423479#423470#639075#424298,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_feijao_W9,other_piloto_NB_feijao,8,true,01-03-2024,31-03-2024,75,1,641074,385443#637967,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_frango_W9,other_piloto_NB_frango,9,true,01-03-2024,31-03-2024,150,1,641075,646463#369863#604261#604389#623189,INCLUDED,SUPER_DISCOUNT,0
20240301_CWB_other_piloto_NB_frutas_W9,other_piloto_NB_frutas,14,true,01-03-2024,31-03-2024,100,1,641076,363253#363171#368421#368422#363249#606624#363141#363267,INCLUDED,SUPER_DISCOUNT,0
