offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220701_GDL_other_NB_pollo_W26_control,other_NB_pollo,15,True,01-07-2022,31-07-2022,15,1,72551,196131#196132#195943#195944#289949#289948#212263#212264
20220701_GDL_other_NB_res_W26_control,other_NB_res,15,True,01-07-2022,31-07-2022,15,1,72553,211850#211851#252867#252988#195857#195859#195858
20220701_GDL_other_NB_cerdo_W26_control,other_NB_cerdo,15,True,01-07-2022,31-07-2022,15,1,72554,218458#218457#277563#282679#211848#211847#211856#211857
20220701_GDL_other_NB_pescadosymariscos_W26_control,other_NB_pescadosymariscos,15,True,01-07-2022,31-07-2022,15,1,72557,195850#195851#211816#211817
20220701_GDL_other_NB_embutidos_W26_control,other_NB_embutidos,15,True,01-07-2022,31-07-2022,20,1,72559,429499#429500#429501#304695#304697#429495#429496#429497
20220701_GDL_other_NB_tuberculos_W26_control,other_NB_tuberculos,14,True,01-07-2022,31-07-2022,4,1,72563,220946
20220701_GDL_other_NB_granos_W26_control,other_NB_granos,7,True,01-07-2022,31-07-2022,10,1,72565,289707#289709#289708#289710#289681#289679#289680#289682#289966#289969#289967#289968#289674#289675#289677#289676
20220701_GDL_other_NB_frutas_W26_control,other_NB_frutas,16,True,01-07-2022,31-07-2022,50,1,72567,220950#221002#221032#220948#521390#221050#233448#405424
20220701_GDL_other_NB_verduras_W26_control,other_NB_verduras,18,True,01-07-2022,31-07-2022,50,1,72569,221089#221090#531909#220944#220941#220942#220970#221085#220956#521422#220960#221063#220954#220993#521403#220974#525999
20220701_GDL_other_NB_huevos_W26_control,other_NB_huevos,8,True,01-07-2022,31-07-2022,12,1,72571,195841#195839
20220701_GDL_other_NB_leches_W26_control,other_NB_leches,8,True,01-07-2022,31-07-2022,15,1,72573,304508#196094#196093#196092
20220701_GDL_other_NB_vasoscontenedoresyplatos_W26_control,other_NB_vasoscontenedoresyplatos,8,True,01-07-2022,31-07-2022,6,1,72575,211888#211889#307940#307939#307941#348851#348853#348852#197735#394899#211894#211895#291265#291264#291263#348847#348848#348849
20220701_GDL_other_NB_detergentejabonylavatrastes_W26_control,other_NB_detergentejabonylavatrastes,8,True,01-07-2022,31-07-2022,6,1,72577,197711#197713#197712#212240#212241#291072#291071#291073#291080#291081
20220701_GDL_other_NB_arroz_W26_control,other_NB_arroz,8,True,01-07-2022,31-07-2022,8,1,72579,212292#212293#212294
20220701_GDL_other_NB_pasta_W26_control,other_NB_pasta,8,True,01-07-2022,31-07-2022,10,1,72581,212396#212394#212395#323904#323905#323906#323897#323898#323899
20220701_GDL_other_NB_quesos_W26_control,other_NB_quesos,15,True,01-07-2022,31-07-2022,12,1,72583,289010#289011#289012#197092#197093#304435#304436
20220701_GDL_other_NB_derivadoslacteos_W26_control,other_NB_derivadoslacteos,12,True,01-07-2022,31-07-2022,6,1,72585,197133#197131#197132#289034#289035#289036
20220701_GDL_other_NB_papelytoallas_W26_control,other_NB_papelytoallas,10,True,01-07-2022,31-07-2022,30,1,72587,212252#212254#212253#343750#343752#343754#211881#211880#211882
