offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220701_MDE_other_NB_tuberculos_W26_control,other_NB_tuberculos,15,True,01-07-2022,31-07-2022,4,1,72530,375344#420017#423783#420019#363493
20220701_MDE_other_NB_frutas_W26_control,other_NB_frutas,20,True,01-07-2022,31-07-2022,50,1,72534,363451#363441#363510#399049
20220701_MDE_other_NB_huevos_W26_control,other_NB_huevos,9,True,01-07-2022,31-07-2022,12,1,72536,379875#379876
20220701_MDE_other_NB_verduras_W26_control,other_NB_verduras,20,True,01-07-2022,31-07-2022,50,1,72538,363443#462257#363439#363519#363517#363523#363467
20220701_MDE_other_NB_contenedores_W26_control,other_NB_contenedores,8,True,01-07-2022,31-07-2022,6,1,72542,365474#443539#443541#443540#365448#365449#365471#365472#440353#440354
20220701_MDE_other_NB_detergentejabonylavalozas_W26_control,other_NB_detergentejabonylavalozas,10,True,01-07-2022,31-07-2022,10,1,72544,364555#364554#365318#365319#364549#364548
20220701_MDE_other_NB_gaseosas_W26_control,other_NB_gaseosas,12,True,01-07-2022,31-07-2022,7,1,72546,367471#367461#367462#367466#367428#367430#367429
20220701_MDE_other_NB_desinfectantesysanitizantes_W26_control,other_NB_desinfectantesysanitizantes,10,True,01-07-2022,31-07-2022,10,1,72550,469841#469842#363807#410843
20220701_MDE_other_NB_empaqueyenvoltura_W26_control,other_NB_empaqueyenvoltura,10,True,01-07-2022,31-07-2022,10,1,72656,422389#422390#451648#451649
20220701_MDE_other_NB_cremas_W26_control,other_NB_cremas,10,True,01-07-2022,31-07-2022,10,1,72658,379863#379864
20220701_MDE_other_NB_bolsas_W26_control,other_NB_bolsas,8,True,01-07-2022,31-07-2022,10,1,72660,415717#415716#415714#415713
20220701_MDE_other_NB_derivadoslacteos_W26_control,other_NB_derivadoslacteos,8,True,01-07-2022,31-07-2022,1,1,72664,379879#379878
20220701_MDE_other_NB_cervezasylicores_W26_control,other_NB_cervezasylicores,7,True,01-07-2022,31-07-2022,8,1,72666,484813#484812
20220701_MDE_other_NB_enlatados_W26_control,other_NB_enlatados,15,True,01-07-2022,31-07-2022,20,1,72670,509041#509039#509040
20220701_MDE_other_NB_panaderiayreposteria_W26_control,other_NB_panaderiayreposteria,8,True,01-07-2022,31-07-2022,20,1,72672,367162#367163#367159#367160
20220701_MDE_other_NB_tuberculos_W26_piloto,other_NB_tuberculos_piloto,15,True,01-07-2022,31-07-2022,14,1,72531,375344#420017#423783#420019#363493
20220701_MDE_other_NB_frutas_W26_piloto,other_NB_frutas_piloto,20,True,01-07-2022,31-07-2022,60,1,72535,363451#363441#363510#399049
20220701_MDE_other_NB_huevos_W26_piloto,other_NB_huevos_piloto,9,True,01-07-2022,31-07-2022,22,1,72537,379875#379876
20220701_MDE_other_NB_verduras_W26_piloto,other_NB_verduras_piloto,20,True,01-07-2022,31-07-2022,60,1,72539,363443#462257#363439#363519#363517#363523#363467
20220701_MDE_other_NB_contenedores_W26_piloto,other_NB_contenedores_piloto,8,True,01-07-2022,31-07-2022,16,1,72543,365474#443539#443541#443540#365448#365449#365471#365472#440353#440354
20220701_MDE_other_NB_detergentejabonylavalozas_W26_piloto,other_NB_detergentejabonylavalozas_piloto,10,True,01-07-2022,31-07-2022,20,1,72545,364555#364554#365318#365319#364549#364548
20220701_MDE_other_NB_gaseosas_W26_piloto,other_NB_gaseosas_piloto,12,True,01-07-2022,31-07-2022,17,1,72547,367471#367461#367462#367466#367428#367430#367429
20220701_MDE_other_NB_desinfectantesysanitizantes_W26_piloto,other_NB_desinfectantesysanitizantes_piloto,10,True,01-07-2022,31-07-2022,20,1,72651,469841#469842#363807#410843
20220701_MDE_other_NB_empaqueyenvoltura_W26_piloto,other_NB_empaqueyenvoltura_piloto,10,True,01-07-2022,31-07-2022,20,1,72657,422389#422390#451648#451649
20220701_MDE_other_NB_cremas_W26_piloto,other_NB_cremas_piloto,10,True,01-07-2022,31-07-2022,20,1,72659,379863#379864
20220701_MDE_other_NB_bolsas_W26_piloto,other_NB_bolsas_piloto,8,True,01-07-2022,31-07-2022,20,1,72661,415717#415716#415714#415713
20220701_MDE_other_NB_derivadoslacteos_W26_piloto,other_NB_derivadoslacteos_piloto,8,True,01-07-2022,31-07-2022,11,1,72665,379879#379878
20220701_MDE_other_NB_cervezasylicores_W26_piloto,other_NB_cervezasylicores_piloto,7,True,01-07-2022,31-07-2022,18,1,72667,484813#484812
20220701_MDE_other_NB_enlatados_W26_piloto,other_NB_enlatados_piloto,15,True,01-07-2022,31-07-2022,30,1,72671,509041#509039#509040
20220701_MDE_other_NB_panaderiayreposteria_W26_piloto,other_NB_panaderiayreposteria_piloto,8,True,01-07-2022,31-07-2022,30,1,72673,367162#367163#367159#367160
