offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220718_PBC_other_NB_pollo_W29,other_NB_pollo,15,True,18-07-2022,31-07-2022,15,1,74501,250053#250055#250054#289633#289632#289631#289606#289607#250037#250038#250039#250057#289636#289635
20220718_PBC_other_NB_res_W29,other_NB_res,15,True,18-07-2022,31-07-2022,15,1,74503,373904#373905#306450#306451#373900#373901#373902
20220718_PBC_other_NB_cerdo_W29,other_NB_cerdo,15,True,18-07-2022,31-07-2022,15,1,74502,249910#249911#289417#289416#373898#373896#373897#289313#289312#289311#249922#249923
20220718_PBC_other_NB_pescadosymariscos_W29,other_NB_pescadosymariscos,15,True,18-07-2022,31-07-2022,15,1,74505,373914#373915#250006#249956#249957
20220718_PBC_other_NB_embutidos_W29,other_NB_embutidos,15,True,18-07-2022,31-07-2022,20,1,74504,289109#289110#289111#289103#289102#289101#289105#289106#289107#249933#249935#249934
20220718_PBC_other_NB_azucaryendulzantes_W29,other_NB_azucaryendulzantes,10,True,18-07-2022,31-07-2022,5,1,74506,284302#284305#284307#284306#284308
20220718_PBC_other_NB_tuberculos_W29,other_NB_tuberculos,14,True,18-07-2022,31-07-2022,4,1,74507,254846#254866#254970#254902
20220718_PBC_other_NB_granos_W29,other_NB_granos,10,True,18-07-2022,31-07-2022,30,1,74508,291344#380265#380280#380262#380272#380274#283894#283895#283896#368351#368353#368355#368359#368357#456145#456146#456147#290744#290745#290746#456156#456157#456158#459617#459618#288358#288362#288364
20220718_PBC_other_NB_frutas_W29,other_NB_frutas,16,True,18-07-2022,31-07-2022,50,1,74509,254913#254848#256388#254889#268257#254850#254934#254929#254919#254930#448505#254962#392471#455690
20220718_PBC_other_NB_verduras_W29,other_NB_verduras,18,True,18-07-2022,31-07-2022,50,1,74510,254852#254862#254839#254877#254854#254860#254881#254870#254942#254879#294885#256406#254872#295072#254909#454207#508626#254864#254887#254948#406396#254936#427906#254947
20220718_PBC_other_NB_huevos_W29,other_NB_huevos,8,True,18-07-2022,31-07-2022,12,1,74511,249783#441771#441770
20220718_PBC_other_NB_leches_W29,other_NB_leches,8,True,18-07-2022,31-07-2022,15,1,74512,269672#250215#250213#250214#250191#250190#250189#269666
20220718_PBC_other_NB_vasoscontenedoresyplatos_W29,other_NB_vasoscontenedoresyplatos,8,True,18-07-2022,31-07-2022,6,1,74513,310062#310063#310064#415940#415939#415941#415942#487441#487442#415894#415892#415893#415895#415898#415897#415899#415900#413872#413873#413874#413875#291414#291415#291413#415917#415919#415918#415920#413877#413878#413879#413880#415889#415888#415890#413887#487444#487445
20220718_PBC_other_NB_detergentejabonylavatrastes_W29,other_NB_detergentejabonylavatrastes,8,True,18-07-2022,31-07-2022,6,1,74514,344573#344575#344574#290995#290997#290996#290999#291000#495197#495199#495198#291011#291012#289876#289877#289878
20220718_PBC_other_NB_arroz_W29,other_NB_arroz,6,True,18-07-2022,31-07-2022,4,1,74515,272194#272192#272193#273590#273592
20220718_PBC_other_NB_pasta_W29,other_NB_pasta,10,True,18-07-2022,31-07-2022,50,1,74516,334521#334522#334523#334502#334503#334501#334654#334653#334652#334748#334747#334746#334509#334510#334511#334666#334664#334665#334658#334656#334657#334744#334743#334742#334750#334751#334752
20220718_PBC_other_NB_quesos_W29,other_NB_quesos,15,True,18-07-2022,31-07-2022,12,1,74517,250089#250090#250092#250093#289090#289089
20220718_PBC_other_NB_derivadoslacteos_W29,other_NB_derivadoslacteos,12,True,18-07-2022,31-07-2022,6,1,74518,348438#348439#348440#289117#289118#289119#289121#289122#289123#289129#289130#289131
20220718_PBC_other_NB_papelytoallas_W29,other_NB_papelytoallas,10,True,18-07-2022,31-07-2022,30,1,74519,452639#452640#452642#452641#289207#289209#289208#289204#289205
20220718_PBC_other_NB_empaqueyenvoltura_W29,other_NB_empaqueyenvoltura,8,True,18-07-2022,31-07-2022,15,1,74520,452644#452645#452646#452647
20220718_PBC_other_NB_cremas_W29,other_NB_cremas,8,True,18-07-2022,31-07-2022,5,1,74522,249773#249774
20220718_PBC_other_NB_alimentoscongelados_W29,other_NB_alimentoscongelados,14,True,18-07-2022,31-07-2022,10,1,74523,250162#250164#250163#250158#250159#250160#250171#250170#250172#428941#428942#428929#428930
20220718_PBC_other_NB_cubiertos_W29,other_NB_cubiertos,8,True,18-07-2022,31-07-2022,7,1,74524,290295#290296
20220718_PBC_other_NB_bolsas_W29,other_NB_bolsas,8,True,18-07-2022,31-07-2022,5,1,74525,289220#289221
