offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_SPO_pratosrefeicoes_piloto_NB_massasemolhos_W27,pratosrefeicoes_piloto_NB_massasemolhos,8,true,01-07-2024,31-07-2024,0,1,779074,108497#173891#647187#633625#458839#108411#613393#637244#108488#108420#628506#409901#409934#108429,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_detergentesabaoelava-louas_W27,pratosrefeicoes_piloto_NB_detergentesabaoelava-louas,8,true,01-07-2024,31-07-2024,0,1,779062,511038#630359#518364#261188#307990#160747,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_temperos_W27,pratosrefeicoes_piloto_NB_temperos,8,true,01-07-2024,31-07-2024,0,1,779084,107187#107178#108290#577339#640543#638093#640539#320757,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_arroz_W27,pratosrefeicoes_piloto_NB_arroz,4,true,01-07-2024,31-07-2024,0,1,779052,296389#153089#255295#648297#652539,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_azeitesoleosevinagres_W27,pratosrefeicoes_piloto_NB_azeitesoleosevinagres,5,true,01-07-2024,31-07-2024,0,1,779053,384239#93574#122218#131720#123397#122612#623157#623187#131729,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_cafechocolateseinfusoes_W27,pratosrefeicoes_piloto_NB_cafechocolateseinfusoes,8,true,01-07-2024,31-07-2024,0,1,779054,235489#278348#625257#625275#501927#235492#625269#501933#621289,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_condimentos_W27,pratosrefeicoes_piloto_NB_condimentos,8,true,01-07-2024,31-07-2024,0,1,779057,141889#141925#141916#592711#141928#631989#141931#141892#141933#278425#633119#141907#633621#320739#141935#632543,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_destilados_W27,pratosrefeicoes_piloto_NB_destilados,5,true,01-07-2024,31-07-2024,0,1,779061,576218#572851#572843#576210,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_embutidos_W27,pratosrefeicoes_piloto_NB_embutidos,5,true,01-07-2024,31-07-2024,0,1,779065,165988#165672#165346#586807#165678#217667#631911,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_docesesobremesas_W27,pratosrefeicoes_piloto_NB_docesesobremesas,8,true,01-07-2024,31-07-2024,0,1,779063,209377#209373#209381#173915,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_embalagens_W27,pratosrefeicoes_piloto_NB_embalagens,8,true,01-07-2024,31-07-2024,0,1,779064,648549,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_papeis_W27,pratosrefeicoes_piloto_NB_papeis,8,true,01-07-2024,31-07-2024,0,1,779077,240505#366139#418958#426339#648741#418946,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_queijos_W27,pratosrefeicoes_piloto_NB_queijos,7,true,01-07-2024,31-07-2024,0,1,779080,588033#648905#526878#606541#361775#513069#647815#306197,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_refrigeranteseenergeticos_W27,pratosrefeicoes_piloto_NB_refrigeranteseenergeticos,7,true,01-07-2024,31-07-2024,0,1,779081,363763#277873#363754#483012#277874#452047#452043#397295,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_manteigasemargarinas_W27,pratosrefeicoes_piloto_NB_manteigasemargarinas,8,true,01-07-2024,31-07-2024,0,1,779073,217679#217687#217691#217683,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_polpaseaai_W27,pratosrefeicoes_piloto_NB_polpaseaai,8,true,01-07-2024,31-07-2024,0,1,779079,512674#512660#512679#512666#512657,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_desengordurantes_W27,pratosrefeicoes_piloto_NB_desengordurantes,7,true,01-07-2024,31-07-2024,0,1,779059,240404,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_peixesefrutosdomar_W27,pratosrefeicoes_piloto_NB_peixesefrutosdomar,8,true,01-07-2024,31-07-2024,0,1,779078,647369#575792#648849,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_cervejas_W27,pratosrefeicoes_piloto_NB_cervejas,4,true,01-07-2024,31-07-2024,0,1,779056,363775#277871#284046#643321#364851#580894#363789,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_frutas_W27,pratosrefeicoes_piloto_NB_frutas,8,true,01-07-2024,31-07-2024,0,1,779068,-314629#581776#-314938#89339#75842#607838#98094#-314689#608540#112149#-314767#89349#163197#-314998#111250#106226,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_ovos_W27,pratosrefeicoes_piloto_NB_ovos,8,true,01-07-2024,31-07-2024,0,1,779076,651949,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_verduras_W27,pratosrefeicoes_piloto_NB_verduras,8,true,01-07-2024,31-07-2024,0,1,779088,608489#75297#608492#112182#608494#74194#626704#626705#74156#75087#608543#608495#608488#73648#608538#75002,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_legumes_W27,pratosrefeicoes_piloto_NB_legumes,8,true,01-07-2024,31-07-2024,0,1,779071,-314770#608497#97340#-314797#608542#97304#-314716#608491#106081#-314728#111235#106246#627381#-314734#626706#626838#-314692#626839#112220#-314857,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_utensiliosdelimpeza_W27,pratosrefeicoes_piloto_NB_utensiliosdelimpeza,6,true,01-07-2024,31-07-2024,0,1,779087,161239#613405#240413,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_conservaseenlatados_W27,pratosrefeicoes_piloto_NB_conservaseenlatados,8,true,01-07-2024,31-07-2024,0,1,779058,633619#633637#509501#633851#361028#236613#361016#414443#360992#361010,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_farinhasemisturas_W27,pratosrefeicoes_piloto_NB_farinhasemisturas,8,true,01-07-2024,31-07-2024,0,1,779066,116061#623198#108302#627434#612127#163389#638411#232189#612129#232192#652831#652315#73465#163392#623208#638611#638395,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_sucosechas_W27,pratosrefeicoes_piloto_NB_sucosechas,8,true,01-07-2024,31-07-2024,0,1,779082,397323#277880#277875#277876#283284#277861#277887#284041#277885#277857#277884#277858#277886#277883#486140,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_utensilios_W27,pratosrefeicoes_piloto_NB_utensilios,8,true,01-07-2024,31-07-2024,0,1,779086,351307,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_desinfetantesesanitizantes_W27,pratosrefeicoes_piloto_NB_desinfetantesesanitizantes,7,true,01-07-2024,31-07-2024,0,1,779060,240307#314595#240304#240410#351343#628490#628130#628128#314589,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_outroslimpadores_W27,pratosrefeicoes_piloto_NB_outroslimpadores,8,true,01-07-2024,31-07-2024,0,1,779075,240496#240484#613407,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_suinos_W27,pratosrefeicoes_piloto_NB_suinos,6,true,01-07-2024,31-07-2024,0,1,779083,202839#168290#164161#458143#631907,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_graos_W27,pratosrefeicoes_piloto_NB_graos,8,true,01-07-2024,31-07-2024,0,1,779069,153095#554479#554470,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_laticinios_W27,pratosrefeicoes_piloto_NB_laticinios,4,true,01-07-2024,31-07-2024,0,1,779070,124893#124405#124907#224175#124424#625793,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_leite_W27,pratosrefeicoes_piloto_NB_leite,4,true,01-07-2024,31-07-2024,0,1,779072,572871#616289,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_tuberculos_W27,pratosrefeicoes_piloto_NB_tuberculos,8,true,01-07-2024,31-07-2024,0,1,779085,581787#-314737#581771#-314887#89305#608539#608490#73947#-314899#626842#626841#-314893,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_frango_W27,pratosrefeicoes_piloto_NB_frango,5,true,01-07-2024,31-07-2024,0,1,779067,284509#646447#569233#575574#284517#396273#450359#221189,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_aguaseisotonicos_W27,pratosrefeicoes_piloto_NB_aguaseisotonicos,8,true,01-07-2024,31-07-2024,0,1,779051,277866#597183,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_piloto_NB_carnevermelha_W27,pratosrefeicoes_piloto_NB_carnevermelha,8,true,01-07-2024,31-07-2024,0,1,779055,197853#553870#553866#649293#382171#649597,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_massasemolhos_W27,pratosrefeicoes_control_NB_massasemolhos,1,true,01-01-2028,02-01-2028,1,1,778586,108497#173891#647187#633625#458839#108411#613393#637244#108488#108420#628506#409901#409934#108429,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_detergentesabaoelava-louas_W27,pratosrefeicoes_control_NB_detergentesabaoelava-louas,1,true,01-01-2028,02-01-2028,1,1,779005,511038#630359#518364#261188#307990#160747,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_temperos_W27,pratosrefeicoes_control_NB_temperos,1,true,01-01-2028,02-01-2028,1,1,778596,107187#107178#108290#577339#640543#638093#640539#320757,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_arroz_W27,pratosrefeicoes_control_NB_arroz,1,true,01-01-2028,02-01-2028,1,1,778995,296389#153089#255295#648297#652539,INCLUDED,SUPER_DISCOUNT,0
