offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_VCP_other_piloto_NB_massasemolhos_W27,other_piloto_NB_massasemolhos,8,true,01-07-2024,31-07-2024,0,1,778091,430755#430740#454989#628162#633727#637250#430758#637248#637252#430761#628126,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_papeis_W27,other_piloto_NB_papeis,8,true,01-07-2024,31-07-2024,0,1,778094,430464#476901#430479#430467,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_refrigeranteseenergeticos_W27,other_piloto_NB_refrigeranteseenergeticos,7,true,01-07-2024,31-07-2024,0,1,778097,430403#455061#455075#430408#430439#455079#455297#430452,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_arroz_W27,other_piloto_NB_arroz,4,true,01-07-2024,31-07-2024,0,1,778071,430639#428411#652565,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_cafechocolateseinfusoes_W27,other_piloto_NB_cafechocolateseinfusoes,8,true,01-07-2024,31-07-2024,0,1,778073,576222#576226#621291#429135#430791,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_manteigasemargarinas_W27,other_piloto_NB_manteigasemargarinas,8,true,01-07-2024,31-07-2024,0,1,778090,476633#476629#476637#476625,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_utensiliosdelimpeza_W27,other_piloto_NB_utensiliosdelimpeza,8,true,01-07-2024,31-07-2024,0,1,778102,430497#441499,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_embutidos_W27,other_piloto_NB_embutidos,5,true,01-07-2024,31-07-2024,0,1,778082,470439#586765#476741#476613#470559#605628#606343,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_desengordurantes_W27,other_piloto_NB_desengordurantes,8,true,01-07-2024,31-07-2024,0,1,778078,630590,INCLUDED,SUPER_DISCOUNT,0
20240701_VCP_other_piloto_NB_verduras_W27,other_piloto_NB_verduras,8,true,01-07-2024,31-07-2024,0,1,778103,434967#434911#435055#434909#435063,INCLUDED,SUPER_DISCOUNT,0
