20220422_BOG_NB_tuberculos_W16,20220422_BOG_NB_verduras_W16,20220422_BOG_NB_frutas_W16,20220422_BOG_NB_frutasjugo_W16,20220422_BOG_NB_especias_W16
49676295.0,-229371.0,-229371.0,49676295.0,49676295.0
16121866.0,49676295.0,39813125.0,16121866.0,47120391.0
22020111.0,49971207.0,49676295.0,22020111.0,16121866.0
107347984.0,16121866.0,49971207.0,107347984.0,22020111.0
138018833.0,95256586.0,16023559.0,138018833.0,107347984.0
22216733.0,106921997.0,16121866.0,22216733.0,138018833.0
90308641.0,22020111.0,47120391.0,90308641.0,22216733.0
135266345.0,107347984.0,95256586.0,53149745.0,90308641.0
53149745.0,138018833.0,106921997.0,141623345.0,135266345.0
141623345.0,22970383.0,22020111.0,62455864.0,53149745.0
62455864.0,59932687.0,107347984.0,22020154.0,141623345.0
22020154.0,90308641.0,138018833.0,100663361.0,62455864.0
100663361.0,112230433.0,22970383.0,145358914.0,22020154.0
145358914.0,73957423.0,59932687.0,48562241.0,100663361.0
48562241.0,22020154.0,56524826.0,17170500.0,145358914.0
17170500.0,65962046.0,20414492.0,18350148.0,48562241.0
124256326.0,18645056.0,22216733.0,124256326.0,17170500.0
38076481.0,100663361.0,90308641.0,38076481.0,18350148.0
120651842.0,145358914.0,112230433.0,120651842.0,124256326.0
61538375.0,38076481.0,18776099.0,61538375.0,38076481.0
107413583.0,17170500.0,17858599.0,107413583.0,120651842.0
69337168.0,60784706.0,135266345.0,69337168.0,61538375.0
118489169.0,124256326.0,73957423.0,118489169.0,107413583.0
73465941.0,61538375.0,53149745.0,73465941.0,69337168.0
75628630.0,16810062.0,141623345.0,75628630.0,118489169.0
29229142.0,107413583.0,99713074.0,29229142.0,73465941.0
16515162.0,118489169.0,76447798.0,16515162.0,75628630.0
37945435.0,75628630.0,62455864.0,37945435.0,29229142.0
15401075.0,106332247.0,22020154.0,51576926.0,16515162.0
70844541.0,18120792.0,65962046.0,15401075.0,37945435.0
135266436.0,36536407.0,18645056.0,70844541.0,51576926.0
47120525.0,16515162.0,100663361.0,135266436.0,15401075.0
49021075.0,42631258.0,145358914.0,133300361.0,70844541.0
136577172.0,37945435.0,60784706.0,49021075.0,135266436.0
9765014.0,81887335.0,17170500.0,136577172.0,47120525.0
15401111.0,43614322.0,18350148.0,9765014.0,49021075.0
86769818.0,15401075.0,124256326.0,15401111.0,136577172.0
78053540.0,30441590.0,76775493.0,86769818.0,9765014.0
89981092.0,43810936.0,54165580.0,78053540.0,15401111.0
24248487.0,135266436.0,16810062.0,89981092.0,86769818.0
61669546.0,121798788.0,69337168.0,24248487.0,78053540.0
53936302.0,123240590.0,118489169.0,61669546.0,89981092.0
58130617.0,49021075.0,73465941.0,53936302.0,24248487.0
19660992.0,136577172.0,75628630.0,58130617.0,61669546.0
68223168.0,15401111.0,29229142.0,95289533.0,53936302.0
57082051.0,82673816.0,106332247.0,19660992.0,58130617.0
132055242.0,89981092.0,18120792.0,68223168.0,95289533.0
40894713.0,24084648.0,16515162.0,57082051.0,19660992.0
61669636.0,135430313.0,42631258.0,132055242.0,68223168.0
80544016.0,19169450.0,37945435.0,73859285.0,57082051.0
40894737.0,53936302.0,36536407.0,40894713.0,132055242.0
21299475.0,48005299.0,81887335.0,61669636.0,73859285.0
70844695.0,36405430.0,43614322.0,38535435.0,40894713.0
48562458.0,37585079.0,15401075.0,80544016.0,61669636.0
78774558.0,58130617.0,43810936.0,40894737.0,38535435.0
48562462.0,108822714.0,119636091.0,21299475.0,80544016.0
58851616.0,108429504.0,70844541.0,70844695.0,40894737.0
23003422.0,57082051.0,59670658.0,48562458.0,21299475.0
16384291.0,132055242.0,121798788.0,78774558.0,70844695.0
19267875.0,-229173.0,59670668.0,48562462.0,48562458.0
32506154.0,60063947.0,49021075.0,58851616.0,78774558.0
127795506.0,40075468.0,136577172.0,23003422.0,48562462.0
136577332.0,50364622.0,72122517.0,16384291.0,58851616.0
134021428.0,47677650.0,15401111.0,19267875.0,23003422.0
113049910.0,73859285.0,82673816.0,32506154.0,16384291.0
35848503.0,73498839.0,86769818.0,30802223.0,19267875.0
73990455.0,123830492.0,78053540.0,127795506.0,32506154.0
65012025.0,17531102.0,89981092.0,136577332.0,30802223.0
15270209.0,56262880.0,24248487.0,134021428.0,127795506.0
15663427.0,18383073.0,99844264.0,113049910.0,136577332.0
55836997.0,44073188.0,-229207.0,35848503.0,134021428.0
65470790.0,110002404.0,19169450.0,73990455.0,113049910.0
84869447.0,22773993.0,135430313.0,65012025.0,35848503.0
114032968.0,-229142.0,24084648.0,15270209.0,73990455.0
117309769.0,102596850.0,53936302.0,15663427.0,65012025.0
15663430.0,128024824.0,60194991.0,55836997.0,38207805.0
23658825.0,110592250.0,48005299.0,65470790.0,15270209.0
57213259.0,17596685.0,36405430.0,84869447.0,15663427.0
142999899.0,73957648.0,37585079.0,114032968.0,55836997.0
67567964.0,40894737.0,120225976.0,117309769.0,65470790.0
24183135.0,112951570.0,58130617.0,15663430.0,84869447.0
75497824.0,21299475.0,108822714.0,57213259.0,114032968.0
37355874.0,32735509.0,67797182.0,142999899.0,62914889.0
109314405.0,70844695.0,19660992.0,67567964.0,117309769.0
123339113.0,62292248.0,108429504.0,24183135.0,15663430.0
62783851.0,48562458.0,76054721.0,75497824.0,23658825.0
15270252.0,78774558.0,57082051.0,37355874.0,57213259.0
121962863.0,58851616.0,36405443.0,109314405.0,142999899.0
