20220422_CMX_NB_verduras_W16,20220422_CMX_NB_frutas_W16,20220422_CMX_NB_tuberculos_W16
90963972.0,132284417.0,90963972.0
76873735.0,90963972.0,76873735.0
123830280.0,76873735.0,128057353.0
89128970.0,123830280.0,89128970.0
42500106.0,89128970.0,37224463.0
37224463.0,42500106.0,-262128.0
-262128.0,37224463.0,36569107.0
26378258.0,-262128.0,30343187.0
30343187.0,139821073.0,113573909.0
113573909.0,26378258.0,34996260.0
62750742.0,36569107.0,81854505.0
97812503.0,30343187.0,61538345.0
79003674.0,62750742.0,108855340.0
56262684.0,97812503.0,127991862.0
65962012.0,79003674.0,73990199.0
80248861.0,56262684.0,24182845.0
83787810.0,65962012.0,15466560.0
94863395.0,80248861.0,15466561.0
62750758.0,83787810.0,41615427.0
61538345.0,94863395.0,124584004.0
108855340.0,34996260.0,142278725.0
103907378.0,62750758.0,89129037.0
100761650.0,134053926.0,124977231.0
15958066.0,61538345.0,80543827.0
127991862.0,108855340.0,58589269.0
73990199.0,103907378.0,53018717.0
113016891.0,100761650.0,138215518.0
24182845.0,15958066.0,81461343.0
15466560.0,48005173.0,69009507.0
41615427.0,73990199.0,63307885.0
124584004.0,113016891.0,24772718.0
142278725.0,24182845.0,-262035.0
21200967.0,15466560.0,87621752.0
141656141.0,15466561.0,41615498.0
124977231.0,41615427.0,115671179.0
110067795.0,124584004.0,62455947.0
58589269.0,142278725.0,18612368.0
78086232.0,21200967.0,48365714.0
53018717.0,89129037.0,113574037.0
138215518.0,141656141.0,67371168.0
81461343.0,118030415.0,-261982.0
35684454.0,124977231.0,80543909.0
72646761.0,110067795.0,-261970.0
63307885.0,58589269.0,146931888.0
-262035.0,66814038.0,51773629.0
136085616.0,78086232.0,23593150.0
99909745.0,142442585.0,51773631.0
87621752.0,135233627.0,115474628.0
81363068.0,53018717.0,114294985.0
48267398.0,138215518.0,24182988.0
115671179.0,48463966.0,109904084.0
62455947.0,130973792.0,48824534.0
105480332.0,69009507.0,135069915.0
18612368.0,35684454.0,134086877.0
104038545.0,72646761.0,127533279.0
48365714.0,22970476.0,55836899.0
112427153.0,63307885.0,101187812.0
113574037.0,-262035.0,76021992.0
67371168.0,99909745.0,62587116.0
48005282.0,87621752.0,112984301.0
17596579.0,81363068.0,79102195.0
59670692.0,48267398.0,61669625.0
80543909.0,115671179.0,-261885.0
-261970.0,62455947.0,126943494.0
71205043.0,105480332.0,63635727.0
51871927.0,18612368.0,81068315.0
51773631.0,104038545.0,120848668.0
114294985.0,48365714.0,96993565.0
105611468.0,112427153.0,145228061.0
62488783.0,113574037.0,51314973.0
