20220420_CWB_NB_queijos_W16,20220420_CWB_NB_arroz_W16,20220420_CWB_NB_aucaradoantesedoces_W16,20220420_CWB_NB_farinhasemisturas_W16
130482184.0,130482184.0,130482184.0,130482184.0
132067339.0,132067339.0,132067339.0,132067339.0
127258635.0,127258635.0,127258635.0,127258635.0
139309067.0,139309067.0,139309067.0,139309067.0
135278607.0,132321294.0,127156238.0,127156238.0
131534865.0,135278607.0,135278607.0,135278607.0
117383187.0,131534865.0,131534865.0,131534865.0
129871893.0,117383187.0,117383187.0,117383187.0
117923862.0,129871893.0,117923862.0,129871893.0
117375001.0,117923862.0,117375001.0,117923862.0
117407770.0,117375001.0,117407770.0,117375001.0
123088926.0,117407770.0,123088926.0,117407770.0
135041054.0,123088926.0,135041054.0,123088926.0
138612767.0,138629157.0,138629157.0,135041054.0
138629157.0,111861806.0,115367978.0,138612767.0
115367978.0,135045170.0,111861806.0,138629157.0
111861806.0,142950450.0,135045170.0,115367978.0
135045170.0,133922870.0,142950450.0,111861806.0
142950450.0,134561855.0,133922870.0,135045170.0
133922870.0,130248777.0,126619703.0,142950450.0
126619703.0,140263502.0,134561855.0,133922870.0
134561855.0,123715664.0,113004618.0,126619703.0
130248777.0,134516823.0,139083853.0,134561855.0
139083853.0,138117213.0,140263502.0,130248777.0
123715664.0,142979167.0,123715664.0,113004618.0
134516823.0,115535974.0,138117213.0,139083853.0
138117213.0,124772458.0,115535974.0,140263502.0
142979167.0,145248362.0,124772458.0,123715664.0
115535974.0,110481516.0,145248362.0,138117213.0
124772458.0,128487535.0,110481516.0,142979167.0
145248362.0,145264755.0,128487535.0,115535974.0
110481516.0,143024247.0,145264755.0,145248362.0
128487535.0,139329656.0,117260409.0,110481516.0
145264755.0,127963265.0,127963265.0,128487535.0
143024247.0,138854533.0,138854533.0,145264755.0
117260409.0,115359879.0,127860871.0,143024247.0
127963265.0,128344200.0,128344200.0,139329656.0
138854533.0,111997063.0,111997063.0,117260409.0
115359879.0,123768968.0,123768968.0,127963265.0
127860871.0,116555918.0,116555918.0,138854533.0
128344200.0,125395088.0,124313745.0,115359879.0
111997063.0,134676630.0,123072664.0,128344200.0
123768968.0,115536029.0,115536029.0,111997063.0
116555918.0,134545568.0,141738145.0,123768968.0
124313745.0,141824162.0,141824162.0,116555918.0
134676630.0,138535075.0,138535075.0,125395088.0
123072664.0,111698087.0,111698087.0,124313745.0
115536029.0,112980136.0,112980136.0,134676630.0
134545568.0,141574315.0,141574315.0,123072664.0
141738145.0,136519853.0,116019373.0,115536029.0
141824162.0,116019373.0,134037682.0,134545568.0
138535075.0,134037682.0,145834162.0,141738145.0
111698087.0,145834162.0,137547960.0,141824162.0
112980136.0,137547960.0,132718783.0,138535075.0
141574315.0,136085689.0,124862657.0,111698087.0
136519853.0,132718783.0,118440132.0,112980136.0
116019373.0,118440132.0,141750469.0,141574315.0
134037682.0,141750469.0,124936390.0,136519853.0
145834162.0,117387463.0,117387463.0,116019373.0
137547960.0,112246984.0,143499464.0,134037682.0
136085689.0,143499464.0,111620303.0,145834162.0
132718783.0,134066381.0,118362321.0,137547960.0
124862657.0,111620303.0,139157723.0,136085689.0
118440132.0,134492368.0,117330142.0,132718783.0
141750469.0,118362321.0,114131171.0,118440132.0
124936390.0,135938259.0,134099173.0,141750469.0
117387463.0,139157723.0,145248487.0,124936390.0
112246984.0,117330142.0,117297399.0,117387463.0
143499464.0,135037152.0,123601144.0,143499464.0
134066381.0,114131171.0,142438647.0,134066381.0
111620303.0,145248487.0,141689086.0,111620303.0
134492368.0,136225014.0,120672511.0,118362321.0
118362321.0,117297399.0,117842177.0,135938259.0
135938259.0,123601144.0,134480140.0,139157723.0
139157723.0,142438647.0,137244943.0,117330142.0
117330142.0,141689086.0,143528209.0,114131171.0
135037152.0,123629822.0,124354836.0,134099173.0
114131171.0,120672511.0,127893782.0,145248487.0
134099173.0,117842177.0,111726870.0,117297399.0
145248487.0,137244943.0,117825832.0,123601144.0
136225014.0,143528209.0,125464879.0,142438647.0
117297399.0,124354836.0,138043699.0,141689086.0
123601144.0,127893782.0,115343674.0,123629822.0
142438647.0,111726870.0,117928251.0,120672511.0
141689086.0,116732187.0,117416252.0,117842177.0
123629822.0,117825832.0,118460742.0,134480140.0
120672511.0,125464879.0,139276614.0,137244943.0
117842177.0,138043699.0,123572552.0,143528209.0
134480140.0,124236089.0,126812496.0,124354836.0
137244943.0,115343674.0,134013274.0,127893782.0
143528209.0,117928251.0,139354464.0,111726870.0
124354836.0,117416252.0,116572513.0,117825832.0
127893782.0,110510401.0,132731235.0,125464879.0
111726870.0,118460742.0,134009192.0,138043699.0
116732187.0,139276614.0,134582637.0,124236089.0
117825832.0,123572552.0,110354798.0,115343674.0
125464879.0,139120972.0,125903215.0,117928251.0
138043699.0,126812496.0,130781557.0,117416252.0
124236089.0,146153809.0,120816008.0,110510401.0
115343674.0,134013274.0,115466638.0,118460742.0
117928251.0,116572513.0,120619407.0,139276614.0
117416252.0,132731235.0,127181198.0,123572552.0
110510401.0,134009192.0,123146638.0,126812496.0
118460742.0,134582637.0,115487120.0,139354464.0
139276614.0,110354798.0,134558096.0,116572513.0
