20220422_MDE_NB_verduras_W16,20220422_MDE_NB_frutas_W16,20220422_MDE_NB_tuberculos_W16,20220422_MDE_NB_contenedores_W16,20220422_MDE_NB_vasos_W16,20220422_MDE_NB_cubiertosypitillos_W16,20220422_MDE_NB_platosybandejas_W16,20220422_MDE_NB_empaqueyenvoltura_W16,20220422_MDE_NB_bolsas_W16,20220422_MDE_NB_bebidassinalcohol_W16,20220422_MDE_NB_huevos_W16,20220422_MDE_NB_leches_W16,20220422_MDE_NB_cremas_W16,20220422_MDE_NB_derivadoslacteos_W16
118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,118001665.0,125542402.0,118001665.0,118001665.0,118001665.0
124286988.0,138549251.0,138549251.0,125542402.0,125136911.0,125542402.0,125542402.0,125542402.0,125542402.0,138549251.0,136749067.0,125542402.0,125542402.0,125542402.0
127424526.0,124286988.0,124286988.0,136749067.0,124366864.0,136749067.0,136749067.0,136749067.0,136749067.0,124286988.0,125370402.0,136749067.0,136749067.0,136749067.0
125136911.0,127424526.0,127424526.0,125136911.0,132321297.0,125136911.0,125136911.0,125136911.0,125136911.0,126699533.0,128622627.0,125136911.0,125136911.0,125136911.0
124366864.0,124366864.0,125136911.0,124366864.0,124825621.0,124366864.0,124366864.0,124366864.0,124366864.0,127424526.0,133218342.0,124366864.0,124366864.0,124366864.0
118564881.0,118564881.0,124366864.0,132321297.0,125370402.0,132321297.0,132321297.0,132321297.0,132321297.0,125136911.0,118390825.0,132321297.0,132321297.0,132321297.0
132321297.0,132321297.0,118564881.0,127266834.0,128622627.0,127266834.0,127266834.0,127266834.0,127266834.0,124366864.0,132341807.0,124825621.0,127266834.0,127266834.0
127266834.0,127266834.0,132321297.0,124825621.0,124317732.0,124825621.0,124825621.0,124825621.0,124825621.0,118564881.0,127959095.0,145989664.0,124825621.0,124825621.0
145989664.0,145147929.0,127266834.0,145989664.0,133218342.0,145989664.0,145989664.0,145989664.0,145989664.0,132321297.0,117964880.0,125370402.0,145989664.0,145989664.0
128622627.0,128622627.0,145989664.0,125370402.0,132247591.0,125370402.0,125370402.0,125370402.0,125370402.0,120133649.0,118546512.0,128622627.0,125370402.0,125370402.0
120678435.0,120678435.0,128622627.0,128622627.0,118390825.0,128622627.0,128622627.0,128622627.0,128622627.0,124825621.0,121790555.0,124317732.0,128622627.0,128622627.0
124317732.0,124317732.0,124317732.0,124317732.0,120287278.0,124317732.0,124317732.0,124317732.0,124317732.0,145147929.0,134053983.0,133218342.0,124317732.0,124317732.0
117966888.0,135067686.0,135067686.0,133218342.0,132341807.0,133218342.0,133218342.0,133218342.0,133218342.0,132761633.0,130891871.0,125423655.0,133218342.0,133218342.0
118390825.0,125423655.0,125423655.0,125423655.0,118558768.0,125423655.0,125423655.0,125423655.0,125423655.0,128622627.0,118005855.0,132247591.0,125423655.0,125423655.0
133947435.0,117966888.0,117966888.0,132247591.0,121802801.0,132247591.0,132247591.0,132247591.0,132247591.0,124317732.0,118390888.0,118390825.0,132247591.0,132247591.0
132341807.0,118390825.0,118390825.0,118390825.0,127959095.0,118390825.0,118390825.0,118390825.0,118390825.0,133218342.0,120291433.0,133947435.0,118390825.0,118390825.0
120653871.0,133947435.0,139368490.0,133947435.0,139219007.0,133947435.0,133947435.0,133947435.0,133947435.0,125423655.0,124870763.0,120287278.0,133947435.0,133947435.0
118558768.0,120287278.0,133947435.0,120287278.0,118394951.0,120287278.0,120287278.0,120287278.0,120287278.0,117966888.0,118546543.0,132341807.0,120287278.0,120287278.0
121802801.0,132341807.0,120287278.0,132341807.0,128626763.0,132341807.0,132341807.0,132341807.0,132341807.0,118390825.0,118546545.0,118558768.0,132341807.0,132341807.0
118941749.0,120653871.0,132341807.0,118558768.0,119779403.0,118558768.0,118558768.0,118558768.0,118558768.0,132247591.0,119718003.0,121802801.0,118558768.0,118558768.0
126601273.0,135997488.0,120653871.0,121802801.0,136618061.0,121802801.0,121802801.0,121802801.0,121802801.0,133947435.0,125182077.0,139219007.0,121802801.0,121802801.0
139219007.0,118558768.0,118558768.0,139219007.0,118546512.0,139219007.0,127959095.0,127959095.0,127959095.0,135067686.0,131629184.0,118394951.0,127959095.0,127959095.0
140310591.0,121802801.0,121802801.0,118394951.0,139866196.0,118394951.0,139219007.0,139219007.0,139219007.0,120287278.0,117981322.0,128626763.0,139219007.0,139219007.0
118528064.0,118941749.0,118941749.0,128626763.0,118034517.0,128626763.0,118394951.0,118394951.0,118394951.0,132341807.0,125927575.0,119779403.0,118394951.0,118394951.0
134076481.0,126601273.0,126601273.0,119779403.0,135086166.0,119779403.0,128626763.0,128626763.0,128626763.0,120653871.0,119750822.0,136618061.0,128626763.0,128626763.0
129275968.0,140310591.0,139219007.0,136618061.0,121790555.0,136618061.0,119779403.0,119779403.0,119779403.0,118558768.0,139190442.0,117964880.0,119779403.0,119779403.0
127969352.0,118528064.0,140310591.0,117964880.0,118005855.0,117964880.0,136618061.0,136618061.0,136618061.0,121802801.0,127361196.0,118546512.0,136618061.0,136618061.0
127330380.0,134076481.0,118528064.0,118546512.0,130891871.0,118546512.0,117964880.0,117964880.0,117964880.0,118941749.0,118415544.0,139866196.0,117964880.0,117964880.0
127989836.0,121182277.0,134076481.0,139866196.0,134053983.0,118034517.0,118546512.0,118546512.0,118546512.0,127959095.0,119644356.0,118034517.0,118546512.0,118546512.0
117964880.0,129542214.0,129275968.0,118034517.0,124309599.0,135086166.0,139866196.0,118034517.0,139866196.0,126601273.0,141598919.0,135086166.0,139866196.0,139866196.0
118546512.0,127969352.0,121182277.0,135086166.0,123105377.0,123678810.0,118034517.0,135086166.0,118034517.0,140310591.0,143024345.0,123678810.0,118034517.0,118034517.0
131672144.0,127330380.0,127330380.0,123678810.0,131657829.0,121790555.0,135086166.0,123678810.0,135086166.0,118528064.0,120955107.0,121790555.0,135086166.0,135086166.0
118034517.0,118085708.0,127989836.0,121790555.0,118390888.0,118005855.0,123678810.0,121790555.0,121790555.0,134076481.0,121192676.0,118005855.0,123678810.0,123678810.0
141707351.0,127989836.0,118546512.0,118005855.0,120291433.0,130891871.0,121790555.0,118005855.0,118005855.0,129275968.0,118431979.0,130891871.0,121790555.0,121790555.0
134053983.0,117964880.0,131672144.0,130891871.0,124870763.0,134053983.0,118005855.0,130891871.0,130891871.0,121182277.0,118530284.0,134053983.0,118005855.0,118005855.0
130891871.0,118546512.0,118034517.0,134053983.0,121860206.0,124309599.0,130891871.0,134053983.0,134053983.0,120248391.0,132260081.0,124309599.0,130891871.0,130891871.0
118005855.0,131672144.0,141707351.0,124309599.0,118546543.0,123105377.0,134053983.0,124309599.0,124309599.0,128626763.0,137183473.0,123105377.0,134053983.0,134053983.0
124393570.0,118034517.0,127981656.0,123105377.0,124850288.0,131657829.0,124309599.0,123105377.0,123105377.0,127330380.0,118595837.0,131657829.0,124309599.0,124309599.0
124979300.0,141707351.0,134053983.0,131657829.0,118546545.0,131059815.0,123105377.0,131657829.0,131657829.0,136618061.0,117981445.0,131059815.0,123105377.0,123105377.0
131657829.0,123678810.0,130891871.0,131059815.0,119718003.0,118390888.0,131657829.0,131059815.0,131059815.0,119779403.0,131571978.0,120291433.0,131657829.0,131657829.0
139153512.0,134053983.0,118005855.0,118390888.0,122384499.0,120291433.0,131059815.0,118390888.0,118390888.0,118085708.0,141607201.0,139153512.0,131059815.0,131059815.0
120291433.0,130891871.0,124979300.0,139153512.0,120639604.0,139153512.0,118390888.0,120291433.0,120291433.0,117964880.0,118399295.0,124870763.0,118390888.0,118390888.0
124332140.0,118005855.0,131657829.0,121860206.0,146182262.0,121860206.0,120291433.0,139153512.0,139153512.0,118546512.0,129130817.0,121860206.0,120291433.0,120291433.0
123746412.0,123105377.0,124870763.0,118546543.0,128389239.0,118546543.0,139153512.0,124870763.0,124870763.0,118425684.0,118063436.0,118546543.0,139153512.0,139153512.0
118546543.0,124979300.0,124332140.0,124850288.0,122347640.0,124850288.0,124870763.0,121860206.0,121860206.0,118034517.0,120127828.0,124850288.0,124870763.0,124870763.0
124850288.0,131657829.0,123746412.0,118546545.0,128479353.0,118546545.0,121860206.0,118546543.0,118546543.0,135086166.0,137150822.0,118546545.0,121860206.0,121860206.0
118546545.0,131059815.0,118546543.0,119718003.0,118476922.0,119718003.0,118546543.0,124850288.0,124850288.0,127981656.0,123093354.0,119718003.0,118546543.0,118546543.0
122384499.0,139153512.0,124850288.0,122384499.0,131788922.0,122384499.0,124850288.0,118546545.0,118546545.0,123678810.0,121225595.0,122384499.0,124850288.0,124850288.0
123824245.0,120291433.0,118546545.0,120639604.0,125182077.0,120639604.0,118546545.0,119718003.0,119718003.0,134053983.0,120136068.0,120639604.0,118546545.0,118546545.0
118904949.0,124332140.0,119718003.0,128389239.0,131629184.0,146182262.0,119718003.0,122384499.0,122384499.0,130891871.0,120865160.0,146182262.0,119718003.0,119718003.0
140888186.0,123746412.0,122384499.0,122347640.0,118050944.0,128389239.0,122384499.0,120639604.0,120639604.0,118005855.0,128655758.0,118476922.0,122384499.0,122384499.0
118476922.0,118546543.0,123824245.0,128479353.0,120606852.0,122347640.0,120639604.0,146182262.0,146182262.0,138127457.0,121323927.0,131788922.0,120639604.0,120639604.0
125182077.0,118546545.0,118904949.0,118476922.0,137138310.0,128479353.0,146182262.0,128389239.0,128389239.0,124393570.0,127271322.0,121278589.0,146182262.0,146182262.0
121278589.0,122384499.0,140888186.0,131788922.0,117981322.0,118476922.0,128389239.0,122347640.0,122347640.0,124979300.0,118546844.0,131629184.0,128389239.0,128389239.0
131629184.0,118904949.0,125182077.0,125182077.0,135254161.0,131788922.0,122347640.0,128479353.0,128479353.0,131657829.0,129507751.0,118050944.0,122347640.0,122347640.0
118050944.0,122347640.0,121278589.0,121278589.0,129085590.0,125182077.0,128479353.0,118476922.0,118476922.0,131059815.0,121921959.0,120606852.0,128479353.0,118476922.0
118012035.0,118476922.0,131629184.0,131629184.0,125927575.0,121278589.0,118476922.0,131788922.0,131788922.0,118390888.0,125895079.0,127832197.0,118476922.0,131788922.0
137138310.0,125182077.0,118050944.0,118050944.0,124862623.0,131629184.0,131788922.0,125182077.0,125182077.0,124870763.0,118555074.0,137138310.0,131788922.0,125182077.0
117981322.0,131629184.0,118012035.0,127832197.0,139325600.0,118050944.0,125182077.0,121278589.0,121278589.0,124332140.0,118391249.0,117981322.0,125182077.0,121278589.0
118417547.0,137169024.0,120606852.0,117981322.0,120672418.0,120606852.0,121278589.0,131629184.0,131629184.0,123746412.0,140427730.0,135254161.0,121278589.0,131629184.0
125872267.0,118050944.0,117981322.0,125927575.0,128975011.0,127832197.0,131629184.0,118050944.0,118050944.0,121860206.0,142369246.0,125927575.0,131629184.0,118050944.0
135125142.0,118012035.0,118417547.0,139325600.0,119750822.0,137138310.0,118050944.0,120606852.0,120606852.0,118546543.0,118440430.0,124862623.0,118050944.0,120606852.0
125927575.0,120606852.0,125872267.0,120672418.0,136638632.0,117981322.0,120606852.0,127832197.0,127832197.0,124850288.0,146031094.0,139325600.0,120606852.0,127832197.0
125057182.0,137138310.0,129075339.0,128975011.0,139190442.0,129085590.0,127832197.0,137138310.0,137138310.0,118546545.0,137159166.0,120672418.0,127832197.0,137138310.0
139325600.0,117981322.0,128157836.0,136638632.0,127819947.0,125927575.0,137138310.0,117981322.0,117981322.0,119718003.0,118399491.0,119750822.0,137138310.0,117981322.0
146897056.0,125872267.0,135125142.0,139190442.0,117973164.0,124862623.0,117981322.0,135254161.0,135254161.0,122384499.0,118448644.0,136638632.0,117981322.0,135254161.0
118528163.0,128157836.0,125927575.0,127819947.0,127361196.0,139325600.0,129085590.0,129085590.0,129085590.0,120639604.0,133251600.0,139190442.0,135254161.0,129085590.0
134129830.0,128604303.0,125057182.0,117973164.0,121770160.0,120672418.0,125927575.0,125927575.0,125927575.0,146182262.0,139223594.0,127361196.0,129085590.0,125927575.0
126797992.0,135125142.0,139325600.0,127361196.0,117944497.0,119750822.0,124862623.0,124862623.0,124862623.0,128389239.0,142991915.0,117944497.0,125927575.0,139325600.0
125474984.0,125927575.0,146897056.0,117944497.0,124801203.0,136638632.0,139325600.0,139325600.0,139325600.0,118904949.0,118407727.0,141598899.0,124862623.0,120672418.0
139190442.0,120780955.0,118528163.0,141598899.0,126771381.0,139190442.0,120672418.0,120672418.0,120672418.0,128479353.0,137085493.0,142409911.0,139325600.0,128975011.0
132360364.0,146897056.0,134129830.0,124801203.0,142409911.0,127819947.0,128975011.0,128975011.0,128975011.0,140888186.0,139158072.0,118415544.0,128975011.0,119750822.0
126879917.0,120672418.0,129071270.0,142409911.0,118415544.0,117973164.0,119750822.0,119750822.0,119750822.0,118476922.0,132088385.0,121827517.0,119750822.0,136638632.0
117944497.0,119750822.0,126797992.0,118415544.0,117956799.0,127361196.0,139190442.0,136638632.0,136638632.0,131788922.0,120136265.0,120295619.0,136638632.0,139190442.0
142409911.0,134129830.0,125474984.0,121827517.0,120295619.0,121770160.0,127819947.0,139190442.0,139190442.0,125182077.0,130032210.0,119644356.0,127819947.0,127819947.0
