offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220422_MDE_NB_verduras_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,363439#363443#462257#363480#363523#363447#363517#363467#363519
20220422_MDE_NB_frutas_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,363451#399049#363441#363530#363454
20220422_MDE_NB_tuberculos_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,375344#420019#420017#423783#363493#363489
20220422_MDE_NB_contenedores_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,365474#365448#365449#365445#365446#365462#365442#365457
20220422_MDE_NB_vasos_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,365635#365636#365638#365639
20220422_MDE_NB_cubiertosypitillos_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,365617#365618#365554#365555#365542#365543#365617#365618
20220422_MDE_NB_platosybandejas_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,365578#365579
20220422_MDE_NB_empaqueyenvoltura_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,365563#365564#422389#422390
20220422_MDE_NB_bolsas_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,415716#415717#415714#415713#415719#415720#415714#415713
20220422_MDE_NB_bebidassinalcohol_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,367471#367466#367462#367461#367459#367478#367428#367430#367429
20220422_MDE_NB_huevos_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,379876#379875
20220422_MDE_NB_leches_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,380645#380646#379887#379888#380645#380646
20220422_MDE_NB_cremas_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,379857#379858#379863#379864
20220422_MDE_NB_derivadoslacteos_W16,,-1,true,22-04-2022,29-04-2022,-1,-1,,379878#379879
