20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
124286988.0,126699533.0,125542402.0,125542402.0,125542402.0,125542402.0,132321297.0,132321297.0,118016015.0,125542402.0,125542402.0,125542402.0,125542402.0
126699533.0,120240142.0,136749067.0,136749067.0,136749067.0,136749067.0,127266834.0,127266834.0,132321297.0,136749067.0,136749067.0,136749067.0,136749067.0
127424526.0,118016015.0,132321297.0,132321297.0,132321297.0,127266834.0,127504407.0,127504407.0,127266834.0,124286988.0,132321297.0,132321297.0,132321297.0
120133649.0,132321297.0,127266834.0,127266834.0,127266834.0,124825621.0,128622627.0,112539671.0,127504407.0,126699533.0,124825621.0,127266834.0,127266834.0
127504407.0,127504407.0,124825621.0,124825621.0,124825621.0,127504407.0,118390825.0,128622627.0,112539671.0,127424526.0,127504407.0,124825621.0,124825621.0
132761633.0,112539671.0,127504407.0,127504407.0,127504407.0,125370402.0,133947435.0,124317732.0,135067686.0,118016015.0,125370402.0,127504407.0,127504407.0
133249057.0,132761633.0,125370402.0,128622627.0,125370402.0,128622627.0,126601273.0,135067686.0,118390825.0,132321297.0,128622627.0,125370402.0,125370402.0
133218342.0,125370402.0,128622627.0,133218342.0,128622627.0,124317732.0,134789178.0,125423655.0,133947435.0,124825621.0,124317732.0,128622627.0,128622627.0
125423655.0,128622627.0,124317732.0,125423655.0,124317732.0,133218342.0,139219007.0,118390825.0,132341807.0,127504407.0,133218342.0,124317732.0,124317732.0
132247591.0,133249057.0,133218342.0,132247591.0,133218342.0,125423655.0,134076481.0,133947435.0,135997488.0,112539671.0,125423655.0,133218342.0,133218342.0
118390825.0,133218342.0,125423655.0,118390825.0,125423655.0,132247591.0,127330380.0,120287278.0,126601273.0,132761633.0,132247591.0,125423655.0,125423655.0
135067686.0,118390825.0,132247591.0,133947435.0,132247591.0,118390825.0,118085708.0,135997488.0,139219007.0,133249057.0,118390825.0,132247591.0,132247591.0
133947435.0,120287278.0,118390825.0,132341807.0,118390825.0,133947435.0,127989836.0,118941749.0,134076481.0,124317732.0,133947435.0,118390825.0,118390825.0
132341807.0,132341807.0,133947435.0,121802801.0,133947435.0,120287278.0,131672144.0,126601273.0,127330380.0,135067686.0,120287278.0,133947435.0,133947435.0
135997488.0,120653871.0,120287278.0,134799419.0,120287278.0,132341807.0,123678810.0,134789178.0,127989836.0,132247591.0,132341807.0,120287278.0,120287278.0
121802801.0,135997488.0,132341807.0,139219007.0,132341807.0,121802801.0,121790555.0,134076481.0,131672144.0,120287278.0,121802801.0,132341807.0,132341807.0
118941749.0,121802801.0,121802801.0,118394951.0,121802801.0,127959095.0,130891871.0,121182277.0,123678810.0,120653871.0,134799419.0,121802801.0,121802801.0
127959095.0,118941749.0,134799419.0,135086166.0,127959095.0,134799419.0,131657829.0,129542214.0,134053983.0,135997488.0,139219007.0,127959095.0,127959095.0
126601273.0,126601273.0,139219007.0,123678810.0,134799419.0,139219007.0,139153512.0,127330380.0,124309599.0,126601273.0,118394951.0,134799419.0,134799419.0
134789178.0,134789178.0,118394951.0,121790555.0,139219007.0,118394951.0,124332140.0,118085708.0,131657829.0,134799419.0,135086166.0,139219007.0,139219007.0
134799419.0,134799419.0,135086166.0,130891871.0,118394951.0,135086166.0,122384499.0,127989836.0,118390888.0,134076481.0,123678810.0,118394951.0,118394951.0
121182277.0,139219007.0,123678810.0,134053983.0,135086166.0,123678810.0,123824245.0,131672144.0,124332140.0,121182277.0,121790555.0,135086166.0,135086166.0
120248391.0,134076481.0,121790555.0,124309599.0,123678810.0,121790555.0,118904949.0,127981656.0,123746412.0,127989836.0,130891871.0,123678810.0,123678810.0
118085708.0,121182277.0,130891871.0,123105377.0,121790555.0,130891871.0,118050944.0,123678810.0,118546543.0,135086166.0,134053983.0,121790555.0,121790555.0
127989836.0,129542214.0,134053983.0,131657829.0,130891871.0,134053983.0,120606852.0,121790555.0,124850288.0,127981656.0,124309599.0,130891871.0,130891871.0
131672144.0,118394951.0,124309599.0,131059815.0,134053983.0,124309599.0,117981322.0,134053983.0,119718003.0,123678810.0,123105377.0,134053983.0,134053983.0
118425684.0,120248391.0,123105377.0,118390888.0,124309599.0,123105377.0,129075339.0,130891871.0,122384499.0,134053983.0,131657829.0,124309599.0,124309599.0
135086166.0,118085708.0,131657829.0,139153512.0,123105377.0,131657829.0,135125142.0,123105377.0,123824245.0,130891871.0,131059815.0,123105377.0,123105377.0
123678810.0,118425684.0,131059815.0,121860206.0,131657829.0,131059815.0,125927575.0,124979300.0,118904949.0,124309599.0,118390888.0,131657829.0,131657829.0
134053983.0,135086166.0,118390888.0,118546543.0,131059815.0,118390888.0,120672418.0,131657829.0,125182077.0,131657829.0,120291433.0,131059815.0,131059815.0
130891871.0,123678810.0,120291433.0,119718003.0,118390888.0,120291433.0,118528163.0,131059815.0,121278589.0,120291433.0,139153512.0,118390888.0,118390888.0
124393570.0,123105377.0,139153512.0,122384499.0,120291433.0,139153512.0,134129830.0,139153512.0,131629184.0,124332140.0,124870763.0,120291433.0,120291433.0
131657829.0,124393570.0,121860206.0,120639604.0,139153512.0,124870763.0,129071270.0,124332140.0,120606852.0,123746412.0,121860206.0,139153512.0,139153512.0
131059815.0,131657829.0,118546543.0,128389239.0,124870763.0,121860206.0,126797992.0,123746412.0,117981322.0,121860206.0,118546543.0,124870763.0,124870763.0
118390888.0,118390888.0,124850288.0,122347640.0,121860206.0,118546543.0,125474984.0,118546543.0,125872267.0,118546543.0,124850288.0,121860206.0,121860206.0
139153512.0,120291433.0,119718003.0,128479353.0,118546543.0,124850288.0,117973164.0,122384499.0,129075339.0,124850288.0,119718003.0,118546543.0,118546543.0
124332140.0,124870763.0,122384499.0,118476922.0,124850288.0,119718003.0,126879917.0,123824245.0,128157836.0,119718003.0,122384499.0,124850288.0,124850288.0
121860206.0,124332140.0,120639604.0,121278589.0,119718003.0,122384499.0,121827517.0,118904949.0,135125142.0,122384499.0,120639604.0,119718003.0,119718003.0
118546543.0,123746412.0,128389239.0,131629184.0,122384499.0,128389239.0,121159878.0,118476922.0,125927575.0,123824245.0,128389239.0,122384499.0,122384499.0
124850288.0,121860206.0,122347640.0,118050944.0,120639604.0,122347640.0,134140103.0,125182077.0,125057182.0,122347640.0,128479353.0,120639604.0,120639604.0
119718003.0,118546543.0,128479353.0,127832197.0,128389239.0,128479353.0,128970955.0,121278589.0,118528163.0,118476922.0,118476922.0,128389239.0,128389239.0
122384499.0,124850288.0,118476922.0,117981322.0,122347640.0,118476922.0,122407119.0,137169024.0,134129830.0,125182077.0,125182077.0,122347640.0,122347640.0
120639604.0,119718003.0,125182077.0,125927575.0,128479353.0,125182077.0,138004695.0,118050944.0,129071270.0,125044863.0,121278589.0,128479353.0,118476922.0
118904949.0,122384499.0,121278589.0,120672418.0,118476922.0,121278589.0,129005786.0,117981322.0,126797992.0,137169024.0,131629184.0,118476922.0,125182077.0
128389239.0,123824245.0,131629184.0,128975011.0,125182077.0,131629184.0,129124574.0,125872267.0,125474984.0,118050944.0,118050944.0,121278589.0,121278589.0
118476922.0,120639604.0,118050944.0,128389287.0,121278589.0,118050944.0,130844896.0,129075339.0,132360364.0,120606852.0,120606852.0,131629184.0,131629184.0
125182077.0,128389239.0,120606852.0,136638632.0,131629184.0,120606852.0,132260081.0,128157836.0,126879917.0,127832197.0,127832197.0,118050944.0,118050944.0
131629184.0,122347640.0,127832197.0,127819947.0,118050944.0,127832197.0,125470962.0,128604303.0,121770160.0,117981322.0,117981322.0,120606852.0,120606852.0
