offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220420_CWB_other_Spend-All_cerveja_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,370805#370807#370806#370805#370807#370806#370805#370807#370806#370891#370893#370892#370814#370816#370815#370891#370893#370892#370810#370811
20220420_CWB_other_Spend-All_verduras_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,363157#363155#363199
20220420_CWB_other_Spend-All_peixesefrutosdomar_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,369289#369291
20220420_CWB_other_Spend-All_suco_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,370778#370779#370770#370771#370774#370775#370762#370763
20220420_CWB_other_Spend-All_tuberculos_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,363181#363183#427542#363263
20220420_CWB_other_Spend-All_legumes_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,363165#363195#368410#363203#363304#363205#363149
20220420_CWB_other_Spend-All_agua_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,391140#391142#391141#391145#391146#391147
20220420_CWB_other_Spend-All_frutas_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,363253#363249#368423#363171#363141#363249#368423#363269#363257#368419#368420
20220420_CWB_other_Spend-All_frango_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,369903#369904#369905#369871#369872#369873#369863#369864#369865#369903#369904#369905#369863#369864#369865#369879#369881#369880
20220420_CWB_other_Spend-All_suinos_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,369405#369406#369407#369417#369419
20220420_CWB_other_Spend-All_carnevermelha_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,369293#369294#369295#369301#369303
20220420_CWB_other_Spend-All_hortalias_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,363191#363297
20220420_CWB_other_Spend-All_refrigerante_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,370740#370742#370741#370857#370858#370859#370750#370751#370866#370867#370740#370742#370741#370740#370742#370741
20220420_CWB_other_Spend-All_embutidos_W16,,-1.0,true,20-04-2022,27-04-2022,-1.0,-1.0,,369493#369494#369285
