offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220407_SPO_pratododia_Spend-BMS_cerveja_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244749#244750#363777#363776#363778#363777#363776#363778#257642#284074#257643#257642#284074#257643#244749#244750#363777#363776#363778#257642#284074#257643#244752#246593#244753#364853#364852#364853#364852#272774#272775#272774#272775#314690#314691#244752#246593#244753
20220407_SPO_pratododia_Spend-All_refrigerante_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244764#244765#246588#363755#363756#363757#244801#244802#244764#244765#246588#363764#363765#244565#244566#244764#244765#246588#363768#363769#244773#244774#246589
20220407_SPO_pratododia_Spend-All_suco_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244552#244553#248839#248840#244543#244544#244804#244541#244789#244790#244546#244547#244782#244783#244776#244777#267766#267767#244789#244790#244782#244783#244785#248558
20220407_SPO_pratododia_Spend-All_agua_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,246590#244567#244568#277866#246590#244567#244568#277866#246590#244567#244568#277866
20220407_SPO_comidaporquilo_Spend-BMS_cerveja_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244749#244750#244749#244750#284074#257642#257643#363776#363777#363778#284074#257642#257643#244752#244753#246593#363776#363777#363778#284074#257642#257643#363776#363777#363778#272774#272775#314690#314691#364853#364852#364853#364852#272774#272775#244752#244753#246593
20220407_SPO_comidaporquilo_Spend-BMS_leite_W14,,8.0,true,07-04-2022,14-04-2022,24.0,2.0,,105601#105599#244033#243993#220840#220839
20220407_SPO_comidaporquilo_Spend-All_agua_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,246590#244567#244568#277866#246590#244567#244568#277866#246590#244567#244568#277866
20220407_SPO_comidaporquilo_Spend-All_queijos_W14,,15.0,true,07-04-2022,14-04-2022,30.0,2.0,,180664#180665#180666#260913#260915#260914#180668#180669#180670#243655#243656#243657#180664#180665#180666#284521#284522#192797#192798#192799#243651#243652#306197#306198#180664#180665#180666#243643#243644#243645#284525#284527#260917#260918#209357#192789#192790#192791#202843#260913#260915#260914#361775#361777#361776
20220407_SPO_comidaporquilo_Spend-All_refrigerante_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244764#246588#244765#363755#363756#363757#244764#246588#244765#244801#244802#244764#246588#244765#244565#244566#363764#363765#244773#244774#246589
20220407_SPO_comidaporquilo_Spend-All_suco_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244789#244790#244782#244783#244776#244777#248839#248840#244552#244553#244785#248558#244804#244541#244543#244544#244546#244547#244789#244790#244779#244780
20220407_SPO_padariacafeteriabolos_Spend-BMS_leite_W14,,8.0,true,07-04-2022,14-04-2022,24.0,2.0,,105601#105599#244033#243993#73559#73557
20220407_SPO_padariacafeteriabolos_Spend-All_refrigerante_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244764#246588#244765#363755#363757#363756#244764#246588#244765#244801#244802#244764#246588#244765#244565#244566#363764#363765#363768#363769
20220407_SPO_padariacafeteriabolos_Spend-All_manteigasemargarinas_W14,,10.0,true,07-04-2022,14-04-2022,30.0,2.0,,217685#217683#217684#217685#217683#217684#217695#217696#217697#217685#217683#217684#217691#217692#225209#225210#225211#217675#217677#217676#217687#217688#217689
20220407_SPO_padariacafeteriabolos_Spend-All_suco_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,244552#244553#244543#244544#248839#248840#244789#244790#244804#244541#244782#244783#244546#244547#244776#244777#267766#267767#244789#244790#267778#267779
20220407_SPO_padariacafeteriabolos_Spend-All_queijos_W14,,15.0,true,07-04-2022,14-04-2022,30.0,2.0,,180664#180665#180666#260913#260915#260914#180664#180665#180666#260913#260915#260914#260913#260915#260914#180664#180665#180666#260925#260927#260926#209357#209358#209359#284521#284522#243655#243656#243657#192789#192791#192790#306197#306198#192797#192799#192798#243651#243653#243652#209349#284525#284527#180668#180670#180669
20220407_SPO_padariacafeteriabolos_Spend-All_lacticinios_W14,,-1.0,true,07-04-2022,14-04-2022,-1.0,-1.0,,114845#114843#124899#124893#124407#124405#98740#73545#98740#73545#124407#124405#124899#124893
20220407_SPO_padariacafeteriabolos_Spend-All_agua_W14,,8.0,true,07-04-2022,14-04-2022,25.0,2.0,,246590#244567#244568#277866#246590#244567#244568#277866#246590#244567#244568#277866
