customer_id,microsegment,city
-269932,Fonda c/desayuno,CMX
-269876,Fonda s/desayuno,CMX
-269858,Fonda c/desayuno,CMX
-269813,Juguería/Comida saludable,CMX
-269782,Juguería/Comida saludable,CMX
-269762,Juguería/Comida saludable,CMX
-269755,Comida rápida,CMX
-269744,Comida rápida,CMX
-269733,Comida rápida,CMX
-269713,Taquería en calle,CMX
-269677,Fonda c/desayuno,CMX
-269617,Comida rápida,CMX
-269610,Fonda c/desayuno,CMX
-269609,Fonda s/desayuno,CMX
-269574,Fonda c/desayuno,CMX
-269508,Fonda c/desayuno,CMX
-269431,Cafetería,CMX
-269411,Comida especializada,CMX
-269396,Comida rápida,CMX
-269349,Comida rápida,CMX
-269344,Fonda c/desayuno,CMX
-269327,Taquería en calle,CMX
-269205,Cafetería,CMX
-269163,Fonda c/desayuno,CMX
-269106,Comida especializada,CMX
-269068,Comida especializada,CMX
-269006,Fonda c/desayuno,CMX
-268982,Fonda c/desayuno,CMX
-268967,Juguería/Comida saludable,CMX
-268825,Fonda s/desayuno,CMX
-268738,Comida especializada,CMX
-268728,Fonda c/desayuno,CMX
-268614,Cafetería,CMX
-268612,Fonda c/desayuno,CMX
-268546,Comida rápida,CMX
-268523,Comida especializada,CMX
-268509,Juguería/Comida saludable,CMX
-268485,Fonda s/desayuno,CMX
-268434,Taquería en calle,CMX
-268419,Fonda c/desayuno,CMX
-268372,Panadería/Pastelería,CMX
-268348,Fonda c/desayuno,CMX
-268332,Fonda c/desayuno,CMX
-268215,Cafetería,CMX
-268183,Fonda c/desayuno,CMX
-268180,Fonda c/desayuno,CMX
-268167,Cafetería,CMX
-268148,Fonda s/desayuno,CMX
-268127,Fonda c/desayuno,CMX
-268104,Comida rápida,CMX
-268082,Juguería/Comida saludable,CMX
-268076,Fonda c/desayuno,CMX
-268055,Fonda c/desayuno,CMX
-267953,Taquería en calle,CMX
-267931,Taquería en local,CMX
-267922,Fonda c/desayuno,CMX
-267916,Fonda c/desayuno,CMX
-267892,Fonda c/desayuno,CMX
-267876,Juguería/Comida saludable,CMX
-267855,Fonda c/desayuno,CMX
-267838,Taquería en local,CMX
-267827,Comida especializada,CMX
-267812,Cafetería,CMX
-267795,Fonda c/desayuno,CMX
-267792,Fonda c/desayuno,CMX
-267769,Fonda s/desayuno,CMX
-267759,Comida rápida,CMX
-267724,Fonda s/desayuno,CMX
-267723,Panadería/Pastelería,CMX
-267704,Comida especializada,CMX
-267694,Comida rápida,CMX
-267681,Comida especializada,CMX
-267680,Fonda c/desayuno,CMX
-267625,Fonda c/desayuno,CMX
-267606,Cafetería,CMX
-267589,Fonda s/desayuno,CMX
-267577,Taquería en calle,CMX
-267566,Comida especializada,CMX
-267563,Panadería/Pastelería,CMX
-267510,Comida rápida,CMX
-267411,Comida rápida,CMX
-267391,Cafetería,CMX
-267382,Fonda c/desayuno,CMX
-267293,Panadería/Pastelería,CMX
-267277,Fonda c/desayuno,CMX
-267252,Cafetería,CMX
-267201,Fonda c/desayuno,CMX
-267043,Comida especializada,CMX
-267017,Juguería/Comida saludable,CMX
-266978,Comida rápida,CMX
-266928,Comida especializada,CMX
-266856,Cafetería,CMX
-266839,Fonda s/desayuno,CMX
-266803,Fonda c/desayuno,CMX
-266762,Fonda c/desayuno,CMX
-266711,Fonda c/desayuno,CMX
-266676,Fonda c/desayuno,CMX
-266663,Comida especializada,CMX
-266656,Fonda s/desayuno,CMX
-266602,Fonda s/desayuno,CMX
-266478,Fonda c/desayuno,CMX
-266410,Juguería/Comida saludable,CMX
-266332,Juguería/Comida saludable,CMX
-266297,Fonda c/desayuno,CMX
-266226,Cafetería,CMX
-266203,Comida rápida,CMX
-266189,Fonda s/desayuno,CMX
-266159,Juguería/Comida saludable,CMX
-266132,Panadería/Pastelería,CMX
-266095,Panadería/Pastelería,CMX
-266082,Cafetería,CMX
-265913,Fonda c/desayuno,CMX
-265746,Cafetería,CMX
-265728,Comida rápida,CMX
-265723,Panadería/Pastelería,CMX
-265690,Cafetería,CMX
-265670,Cafetería,CMX
-265641,Comida especializada,CMX
-265606,Comida especializada,CMX
-265572,Comida especializada,CMX
-265562,Fonda c/desayuno,CMX
-265471,Fonda s/desayuno,CMX
-265447,Fonda c/desayuno,CMX
-265438,Fonda c/desayuno,CMX
-265418,Fonda c/desayuno,CMX
-265414,Comida rápida,CMX
-265413,Juguería/Comida saludable,CMX
-265397,Comida rápida,CMX
-265378,Fonda s/desayuno,CMX
-265344,Fonda c/desayuno,CMX
-265343,Cafetería,CMX
-265340,Fonda c/desayuno,CMX
-265306,Cafetería,CMX
-265292,Fonda c/desayuno,CMX
-265236,Juguería/Comida saludable,CMX
-265195,Panadería/Pastelería,CMX
-265194,Comida rápida,CMX
-265185,Fonda c/desayuno,CMX
-265178,Fonda c/desayuno,CMX
-265167,Fonda c/desayuno,CMX
-265146,Fonda c/desayuno,CMX
-265138,Comida especializada,CMX
-265117,Comida rápida,CMX
-264986,Comida especializada,CMX
-264942,Fonda c/desayuno,CMX
-264933,Fonda c/desayuno,CMX
-264930,Juguería/Comida saludable,CMX
-264875,Comida especializada,CMX
-264874,Taquería en calle,CMX
-264865,Fonda c/desayuno,CMX
-264840,Cafetería,CMX
-264832,Comida rápida,CMX
-264811,Fonda c/desayuno,CMX
-264697,Panadería/Pastelería,CMX
-264688,Fonda s/desayuno,CMX
-264602,Fonda c/desayuno,CMX
-264551,Fonda c/desayuno,CMX
-264549,Fonda s/desayuno,CMX
-264516,Fonda s/desayuno,CMX
-264508,Fonda c/desayuno,CMX
-264466,Fonda c/desayuno,CMX
-264394,Fonda c/desayuno,CMX
-264393,Comida especializada,CMX
-264386,Comida rápida,CMX
-264373,Fonda c/desayuno,CMX
-264316,Fonda c/desayuno,CMX
-264240,Taquería en calle,CMX
-264190,Fonda c/desayuno,CMX
-264152,Taquería en calle,CMX
-264097,Comida rápida,CMX
-264060,Juguería/Comida saludable,CMX
-264029,Fonda c/desayuno,CMX
-264022,Cafetería,CMX
-263875,Cafetería,CMX
-263862,Fonda c/desayuno,CMX
-263844,Cafetería,CMX
-263776,Comida rápida,CMX
-263737,Fonda c/desayuno,CMX
-263715,Fonda c/desayuno,CMX
-263656,Cafetería,CMX
-263628,Juguería/Comida saludable,CMX
-263577,Fonda s/desayuno,CMX
-263555,Comida rápida,CMX
-263546,Fonda c/desayuno,CMX
-263520,Cafetería,CMX
-263490,Fonda c/desayuno,CMX
-263475,Juguería/Comida saludable,CMX
-263467,Fonda c/desayuno,CMX
-263458,Fonda c/desayuno,CMX
-263442,Comida rápida,CMX
-263414,Fonda c/desayuno,CMX
-263373,Comida especializada,CMX
-263362,Taquería en calle,CMX
-263333,Cafetería,CMX
-263326,Fonda c/desayuno,CMX
-263276,Fonda c/desayuno,CMX
-263241,Taquería en calle,CMX
-263183,Cafetería,CMX
-263168,Cafetería,CMX
-263123,Fonda c/desayuno,CMX
-263049,Fonda c/desayuno,CMX
-262963,Comida rápida,CMX
-262905,Comida especializada,CMX
-262892,Fonda c/desayuno,CMX
-262855,Fonda s/desayuno,CMX
-262813,Juguería/Comida saludable,CMX
-262809,Comida especializada,CMX
-262648,Juguería/Comida saludable,CMX
-262642,Taquería en local,CMX
-262627,Fonda c/desayuno,CMX
-262616,Fonda c/desayuno,CMX
-262561,Comida rápida,CMX
-262411,Comida especializada,CMX
-262410,Comida rápida,CMX
-262409,Comida especializada,CMX
-262353,Panadería/Pastelería,CMX
-262324,Fonda c/desayuno,CMX
-262309,Panadería/Pastelería,CMX
-262241,Fonda s/desayuno,CMX
-262227,Fonda s/desayuno,CMX
-262211,Fonda s/desayuno,CMX
-262209,Fonda c/desayuno,CMX
-262172,Fonda c/desayuno,CMX
-262146,Comida especializada,CMX
-262128,Fonda c/desayuno,CMX
-262043,Juguería/Comida saludable,CMX
-262035,Cafetería,CMX
-261982,Juguería/Comida saludable,CMX
-261970,Fonda c/desayuno,CMX
-261969,Fonda c/desayuno,CMX
-261962,Fonda s/desayuno,CMX
-261885,Juguería/Comida saludable,CMX
-261839,Comida rápida,CMX
-261786,Fonda c/desayuno,CMX
-261755,Cafetería,CMX
-261719,Comida rápida,CMX
-261676,Fonda c/desayuno,CMX
-261635,Comida rápida,CMX
-261577,Fonda c/desayuno,CMX
-261560,Fonda c/desayuno,CMX
-261555,Comida rápida,CMX
-261518,Fonda s/desayuno,CMX
-261501,Taquería en local,CMX
-261486,Taquería en local,CMX
-261482,Fonda s/desayuno,CMX
-261478,Fonda s/desayuno,CMX
-261422,Fonda c/desayuno,CMX
-261368,Comida rápida,CMX
-261359,Comida especializada,CMX
-261333,Taquería en calle,CMX
-261315,Fonda s/desayuno,CMX
-261265,Fonda s/desayuno,CMX
-261233,Fonda c/desayuno,CMX
-261209,Fonda c/desayuno,CMX
-261163,Fonda c/desayuno,CMX
-261159,Taquería en calle,CMX
-261141,Juguería/Comida saludable,CMX
-261135,Fonda c/desayuno,CMX
-261084,Cafetería,CMX
-261073,Fonda c/desayuno,CMX
-260999,Fonda s/desayuno,CMX
-260843,Fonda c/desayuno,CMX
-260830,Comida rápida,CMX
-260775,Juguería/Comida saludable,CMX
-260745,Taquería en calle,CMX
-260738,Fonda c/desayuno,CMX
-260548,Fonda s/desayuno,CMX
-260542,Fonda s/desayuno,CMX
-260527,Fonda c/desayuno,CMX
-260502,Juguería/Comida saludable,CMX
-260500,Juguería/Comida saludable,CMX
-260449,Comida rápida,CMX
-260415,Comida especializada,CMX
-260388,Fonda c/desayuno,CMX
-260364,Juguería/Comida saludable,CMX
-260353,Taquería en calle,CMX
-260320,Taquería en calle,CMX
-260318,Comida rápida,CMX
-260240,Comida rápida,CMX
-260228,Taquería en local,CMX
-260125,Panadería/Pastelería,CMX
-260091,Fonda s/desayuno,CMX
-260051,Fonda c/desayuno,CMX
-260046,Fonda c/desayuno,CMX
-260033,Comida especializada,CMX
-259984,Taquería en calle,CMX
-259939,Fonda c/desayuno,CMX
-259934,Comida especializada,CMX
-259917,Comida especializada,CMX
-259885,Comida rápida,CMX
-259833,Taquería en calle,CMX
-259829,Juguería/Comida saludable,CMX
-259818,Juguería/Comida saludable,CMX
-259813,Fonda c/desayuno,CMX
-259780,Fonda c/desayuno,CMX
-259775,Fonda c/desayuno,CMX
-259737,Fonda s/desayuno,CMX
