microsegment,subcat,name,sku_ids
Corrientazo,Arroz,Arroz parbolizado Doña Pepa 12kg  Paquete 25 unidades x 500g - Paquete,57248
Corrientazo,Arroz,Arroz Super San Rafael x  50 Kg  Bulto x 50kg - Desde 1 Bulto,314041
Corrientazo,Arroz,Arroz Super San Rafael x 25 Kg  Bulto x 25Kg - Desde 1 Bulto,314039
Corrientazo,Bebidas sin alcohol,Agua brisa gas pet 600ml x 24 un  Paca x 24 unidades de 600ml c/u - Desde 1 Paca,257289
Corrientazo,Bebidas sin alcohol,Agua brisa pet 600ml x 24 un  Paca x 24 unidades de 600ml c/u - Desde 1 Paca,257291
Corrientazo,Bebidas sin alcohol,Agua Manantial con Gas x 600 ml x 12 un  Paca x 12 un - Desde 1 Paca,194395
Corrientazo,Bebidas sin alcohol,Coca Cola 1.5lt pet caja x 12 un  Paca x 12 Unidades de 1.5 Lts c/u - Desde 1 Paca,227091
Corrientazo,Bebidas sin alcohol,Coca Cola 250 ml x 12 un  Paca x 12 un - Desde 1 Paca,194393
Corrientazo,Bebidas sin alcohol,"Coca Cola sin azúcar 2.5lt pet caja x 8 un  Paca x 8 Unidades de 2.5 Lts c/u - Desde 1 Paca, Coca Cola sin azúcar 2.5lt pet caja x 8 un  Paca x 8 Unidades de 2.5 Lts c/u - Desde 3 pacas","227093, 249881"
Corrientazo,Bebidas sin alcohol,Coca Cola sin azúcar 400 ml x 12 un  Paca x 12 un - Desde 1 Paca,194389
Corrientazo,Bebidas sin alcohol,"Colombiana 1.5L  Botella x 1500 ml - Desde 1 botella, Colombiana 1.5L  Botella x 1500 ml - Desde 6 botellas","271114, 271115, 271116"
Corrientazo,Bebidas sin alcohol,"Colombiana 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca, Colombiana 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 2 pacas","271092, 271093"
Corrientazo,Bebidas sin alcohol,Colombiana Cero 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca,271089
Corrientazo,Bebidas sin alcohol,Dvfresh citrus 500ml pet x 12 un  Paca x 12 unidades de 500ml c/u - Desde 1 Paca,257297
Corrientazo,Bebidas sin alcohol,Fuze negro limon pet 400ml  Paca x 6 unidades de 400ml c/u - Desde 1 Paca,257327
Corrientazo,Bebidas sin alcohol,"Manzana Postobon 1.5L  Botella x 1500 ml - Desde 12 botellas, Manzana Postobon 1.5L  Botella x 1500 ml - Desde 1 botella, Manzana Postobon 1.5L  Botella x 1500 ml - Desde 6 botellas",271110
