microsegment,subcat,name,sku_ids
Corrientazo,Bebidas sin alcohol,Agua brisa gas pet 600ml x 24 un  Paca x 24 unidades de 600ml c/u - Desde 1 Paca,253771
Corrientazo,Bebidas sin alcohol,Agua brisa pet 600ml x 24 un  Paca x 24 unidades de 600ml c/u - Desde 1 Paca,253773
Corrientazo,Bebidas sin alcohol,Brisa manzana 600ml pet x 6 un  Paca x 6 unidades de 600ml c/u - Desde 1 Paca,253777
Corrientazo,Bebidas sin alcohol,"Coca Cola 1.5lt pet x 12 un  Paca x 12 Unidades de 1.5 Lts c/u - Desde 1 Paca, Coca Cola 1.5lt pet x 12 un  Paca x 12 Unidades de 1.5 Lts c/u - Desde 3 pacas","226941, 251193"
Corrientazo,Bebidas sin alcohol,"Coca Cola 250 ml x 12  Paca x12 unidades de 250ml c/u - Desde 1 Paca, Coca Cola 250 ml x 12  Paca x12 unidades de 250ml c/u - Desde 3 pacas","226949, 251215"
Corrientazo,Bebidas sin alcohol,"Coca Cola 3lt pet x 6 un  Paca x 6 Unidades de 3 Lts c/u - Desde 1 Paca, Coca Cola 3lt pet x 6 un  Paca x 6 Unidades de 3 Lts c/u - Desde 3 pacas","226939, 251188"
Corrientazo,Bebidas sin alcohol,"Coca Cola sin azúcar 400ml pet x 12  Paca x12 unidades de 400ml c/u - Desde 3 pacas, Coca Cola sin azúcar 400ml pet x 12  Paca x12 unidades de 400ml c/u - Desde 1 Paca","251205, 226945"
Corrientazo,Bebidas sin alcohol,"Coca-cola 400ml pet x 12 un  Paca x12 unidades de 400ml c/u - Desde 1 Paca, Coca-cola 400ml pet x 12 un  Paca x12 unidades de 400ml c/u - Desde 3 pacas","226955, 251220"
Corrientazo,Bebidas sin alcohol,"Coca-cola sin azúcar 250ml pet x 12 un  Paca x12 unidades de 250ml c/u - Desde 1 Paca, Coca-cola sin azúcar 250ml pet x 12 un  Paca x12 unidades de 250ml c/u - Desde 3 pacas","226959, 254487"
Corrientazo,Bebidas sin alcohol,Colombiana 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca,271648
Corrientazo,Bebidas sin alcohol,Fuze negro limon pet 400 x 6 un  Paca x 6 unidades de 400ml c/u - Desde 1 Paca,254659
Corrientazo,Bebidas sin alcohol,"Hit Mango 500 ml  Paca x 15 unidades de 500 ml c/u - Desde 2 pacas, Hit Mango 500 ml  Paca x 15 unidades de 500 ml c/u - Desde 1 Paca","271697, 271696"
Corrientazo,Bebidas sin alcohol,Kola Roman 1.5 lt nr pet x 12 un  Paca x 12 unidades de 1500ml c/u - Desde 1 Paca,254663
Corrientazo,Bebidas sin alcohol,Kola roman 400 ml x 12 un  Paca x 12 unidades de 400ml c/u - Desde 1 Paca,254661
Corrientazo,Bebidas sin alcohol,"Manzana Postobon 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 2 pacas, Manzana Postobon 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca","271654, 271655"
Corrientazo,Bebidas sin alcohol,Manzana Postobon Cero 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca,271651
Corrientazo,Bebidas sin alcohol,Mr Tea Limón 500 ml  Paca x 12 unidades de 500 ml c/u - Desde 2 pacas,271681
Corrientazo,Bebidas sin alcohol,"Pepsi 1.5L  Botella x 1500 ml - Desde 1 botella, Pepsi 1.5L  Botella x 1500 ml - Desde 12 botellas","271674, 271676, 271675"
Corrientazo,Bebidas sin alcohol,Pepsi 400 ml  Paca x 15 unidades de 400 ml c/u - Desde 1 Paca,"271660, 271661"
Corrientazo,Bebidas sin alcohol,Powerade ion4 ft 500ml pet x 6 un  Paca x 6 undiades de 500ml c/u - Desde 1 Paca,254665
