microsegment,subcat,name,sku_ids
Fonda,Arroz,"Arroz SOS Super Extra Grano Grueso  1kg   Bolsa de 1 Kg - Desde 3 unidades, Arroz SOS Super Extra Grano Grueso  1kg   Bolsa de 1 Kg - Desde 1 unidad, Arroz SOS Super Extra Grano Grueso  1kg   Bolsa de 1 Kg - Desde 10 unidades, Arroz SOS Super Extra Grano Grueso  1kg   Bolsa de 1 Kg - Desde 5 unidades","308865, 275939, 308869, 308867"
Fonda,Arroz,"Arroz SOS Super Extra Grano Largo  1kg   Bolsa de 1 Kg - Desde 10 unidades, Arroz SOS Super Extra Grano Largo  1kg   Bolsa de 1 Kg - Desde 1 unidad, Arroz SOS Super Extra Grano Largo  1kg   Bolsa de 1 Kg - Desde 5 unidades, Arroz SOS Super Extra Grano Largo  1kg   Bolsa de 1 Kg - Desde 3 unidades","295514, 275941, 295512, 295506"
Fonda,Arroz,"Arroz SOS Super Extra Precocido  1kg   Bolsa de 1 Kg - Desde 1 unidad, Arroz SOS Super Extra Precocido  1kg   Bolsa de 1 Kg - Desde 3 unidades, Arroz SOS Super Extra Precocido  1kg   Bolsa de 1 Kg - Desde 5 unidades, Arroz SOS Super Extra Precocido  1kg   Bolsa de 1 Kg - Desde 10 unidades","275945, 295534, 295888, 295890"
Fonda,Arroz,"Arroz Super Extra La Merced  Bolsa de 1 kg. - Desde 1 bolsa, Arroz Super Extra La Merced  Bolsa de 1 kg. - Desde 10 bolsas, Arroz Super Extra La Merced  Bolsa de 1 kg. - Desde 5 bolsas","287391, 287393, 287392"
Fonda,Cerdo,Carne de Cerdo Para Al Pastor y Adobar  Congelado - Bolsa de 3 Kg - Desde 1 bolsa,325486
Fonda,Cerdo,"Carne de Cerdo Para Al Pastor y Adobar - SuKarne  Bolsa de 3.5 Kg ( corte de 9 mm de 325 g con 11 unidades) - 1 Bolsa (3.5 Kg), Carne de Cerdo Para Al Pastor y Adobar - SuKarne  Refrigerada - Bolsa de 3.5 Kg (11 unidades 325 gr c/u corte de 9 mm) - Desde 2 Bolsas (7 Kg), Carne de Cerdo Para Al Pastor y Adobar - SuKarne  Refrigerada - Bolsa de 3.5 Kg (11 unidades 325 gr c/u corte de 9 mm) - Desde 4 Bolsas (14 Kg), Carne de Cerdo Para Al Pastor y Adobar - SuKarne  Refrigerada - Bolsa de 3.5 Kg (11 unidades 325 gr c/u corte de 9 mm) - 1 Bolsa (3.5 Kg)","185451, 181339, 181340"
Fonda,Cerdo,"Carrillera de Cerdo  Congelado - Bolsa de 2 Kg - Desde 1 bolsa, Carrillera de Cerdo  Congelado - Bolsa de 2 Kg - Desde 3 Bolsas","290136, 290135"
Fonda,Cerdo,"Chuleta Ahumada Rebanada de Cerdo   Congelado - Bolsa de 1 Kg - Desde 3 Bolsas, Chuleta Ahumada Rebanada de Cerdo   Congelado - Bolsa de 1 Kg - Desde 6 Bolsas","290142, 290141"
Fonda,Cerdo,"Costilla Corbata de Cerdo  Sin Rebanar  Congelado - Bolsa de 2 Kg - Desde 1 bolsa, Costilla Corbata de Cerdo  Sin Rebanar  Congelado - Bolsa de 2 Kg - Desde 3 Bolsas","290155, 290154"
Fonda,Cerdo,"Espinazo de Cerdo  Congelado - Bolsa de 1 Kg - Desde 2 Bolsas, Espinazo de Cerdo  Congelado - Bolsa de 1 Kg - Desde 4 Bolsas","290176, 290175"
Fonda,Chiles Secos,"Chile Ancho seco Entero La Merced  Bolsa de 100 g - Desde 5 bolsas, Chile Ancho seco Entero La Merced  Bolsa de 100 g - Desde 10 bolsas, Chile Ancho seco Entero La Merced  Bolsa de 100 g - Desde 3 Bolsas","288250, 288251, 288249"
Fonda,Chiles Secos,"Chile Chipotle Entero Seco La Merced  Bolsa de 100 g - Desde 3 Bolsas, Chile Chipotle Entero Seco La Merced  Bolsa de 100 g - Desde 5 bolsas","287411, 287412"
Fonda,Chiles Secos,"Chile Guajillo Seco Entero La Merced  Bolsa de 100 g - Desde 3 Bolsas, Chile Guajillo Seco Entero La Merced  Bolsa de 100 g - Desde 5 bolsas, Chile Guajillo Seco Entero La Merced  Bolsa de 100 g - Desde 10 bolsas","287416, 287417, 287418"
Fonda,Chiles Secos,"Chile Pasilla Entero Seco La Merced  Bolsa de 100 g - Desde 5 bolsas, Chile Pasilla Entero Seco La Merced  Bolsa de 100 g - Desde 10 bolsas, Chile Pasilla Entero Seco La Merced  Bolsa de 100 g - Desde 3 Bolsas","287422, 287423, 287421"
Fonda,Chiles Secos,"Ciruela Pasa sin Hueso La Merced  bolsa de 250 g - Desde 1 bolsa, Ciruela Pasa sin Hueso La Merced  bolsa de 250 g - Desde 4 Bolsas","287425, 287426"
Fonda,Enlatados,Chiles Chipotles Enteros en Adobo San Marcos  2.8 kg  Lata de 2.8 kg - Desde 1 unidad,289359
