microsegment,subcat,name,sku_ids
Prato do dia,Água,Água Mineral Frescca com gás 510ml  Garrafa de 510ml - A partir de 36 unidades,244570
Prato do dia,Água,"Água Mineral Frescca sem gás 510ml  Garrafa de 510ml - Mais de 72 unidades, Água Mineral Frescca sem gás 510ml  Garrafa de 510ml - A partir de 12 unidades, Água Mineral Frescca sem gás 510ml  Garrafa de 510ml - A partir de 36 unidades","244567, 244568, 246590"
Prato do dia,Água,"Água mineral sem gás Claríssima  Garrafa de 510ml - A partir de 12 unidades, Água mineral sem gás Claríssima  Garrafa de 510ml - A partir de 72 unidades",254539
Prato do dia,Alimentos Congelados,"Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - Mais de 10 pacotes, Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - 1 pacote, Batata Pré-Frita Corte Fino 2.25Kg - Simplot  Pacote de 2.25kg - Mais de 5 pacotes","180321, 180320, 180319"
Prato do dia,Alimentos Congelados,"Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 6 pacotes, Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - A partir de 1 pacote, Batata Pré-Frita Corte Tradicional 2.5kg - McCain  Congelado - Pacote de 2.5kg - Mais de 3 pacotes","243665, 243664, 243663"
Prato do dia,Alimentos Congelados,"Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - Mais de 10 pacotes, Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - 1 pacote, Batata Pré-Frita Extra Crunch 2.5Kg - Simplot  Pacote de 2.5kg - Mais de 5 pacotes","180325, 180324, 180323"
Prato do dia,Alimentos Congelados,"Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - Mais de 5 pacotes (10kg), Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - 1 pacote (2kg), Batata Pré-Frita Tradicional - Cool Mind  Pacote de 2kg - Mais de 10 pacotes (20kg)","166184, 166186, 166188"
Prato do dia,,"Mandioca Pré-Cozida Supreme - SEARA  Pacote de 1.5kg - 1 pacote (1.5kg), Mandioca Pré-Cozida Supreme - SEARA  Pacote de 1.5kg - Mais de 10 pacotes (15kg), Mandioca Pré-Cozida Supreme - SEARA  Pacote de 1.5kg - Mais de 5 pacotes (7.5kg) Total",
Prato do dia,Alimentos Congelados,"Mandioca Tolete Pré-Cozida 1kg - Canção  Pacote de 1kg - A partir de 2 pacotes, Mandioca Tolete Pré-Cozida 1kg - Canção  Pacote de 1kg - Mais de 5 pacotes, Mandioca Tolete Pré-Cozida 1kg - Canção  Pacote de 1kg - Mais de 10 pacotes","225193, 225194, 225195"
Prato do dia,Alimentos Congelados,"Polenta Palito - Prontinha  Pacote de 1kg - A partir de 2 pacotes (2kg), Polenta Palito - Prontinha  Pacote de 1kg - Mais de 5 pacotes (5kg), Polenta Palito - Prontinha  Pacote de 1kg - Mais de 10 pacotes (10kg)","166088, 166092, 166090"
